年別,總計,不識字,識字計,識字自修,識字國小,識字國中、初職,識字高中,識字高職,識字專科,識字大學以上
106年,100.00,1.21,98.79,0.24,11.36,12.08,8.17,21.85,11.76,33.32
105年,100.00,1.30,98.70,0.26,11.77,12.24,8.26,21.99,11.84,32.35
104年,100.00,1.40,98.60,0.28,12.18,12.53,8.33,22.06,11.90,31.32
103年,100.00,1.50,98.50,0.30,12.58,12.73,8.43,22.18,11.98,30.30
102年,100.00,1.61,98.39,0.31,12.99,12.95,8.58,22.32,12.07,29.16
101年,100.00,1.71,98.29,0.33,13.41,13.24,8.83,22.50,12.18,27.79
100年,100.00,1.83,98.17,0.35,13.87,13.44,9.10,22.71,12.29,26.41
99年,100.00,1.96,98.04,0.37,14.33,13.74,9.19,22.86,12.45,25.11
98年,100.00,2.09,97.91,0.39,14.78,14.04,9.35,22.99,12.66,23.72
97年,100.00,2.22,97.78,0.41,15.23,14.31,9.43,23.00,12.92,22.48
96年,100.00,2.37,97.63,0.43,15.69,14.46,9.60,23.10,13.20,21.15
95年,100.00,2.52,97.48,0.46,16.17,14.75,9.71,23.21,13.49,19.69
94年,100.00,2.67,97.33,0.48,16.64,15.11,9.69,23.29,13.75,18.37
93年,100.00,2.84,97.16,0.50,17.18,15.42,9.60,23.35,13.95,17.15
92年,100.00,3.03,96.97,0.53,17.69,15.66,9.62,23.45,14.09,15.94
91年,100.00,3.97,96.03,0.62,19.82,18.16,8.61,23.12,12.63,13.08
90年,100.00,4.21,95.79,0.65,20.50,19.68,8.53,22.91,12.03,11.49
89年,100.00,4.45,95.55,0.68,21.37,21.74,8.42,22.46,11.01,9.88
88年,100.00,4.72,95.28,0.71,22.80,23.57,8.30,21.63,9.76,8.51
87年,100.00,5.08,94.92,0.76,24.97,24.14,8.04,20.27,8.95,7.80
86年,100.00,5.34,94.66,0.79,22.97,24.35,9.03,21.14,8.88,7.51
""
