年別,總計,不識字,識字計,識字自修,識字國小,識字國中、初職,識字高中,識字高職,識字專科,識字大學以上
106年,100.00,2.16,97.84,0.36,14.01,11.72,7.89,20.34,11.56,31.96
105年,100.00,2.31,97.69,0.39,14.40,11.82,7.95,20.50,11.63,30.99
104年,100.00,2.48,97.52,0.41,14.80,12.05,8.00,20.61,11.69,29.96
103年,100.00,2.66,97.34,0.43,15.18,12.18,8.07,20.78,11.76,28.95
102年,100.00,2.85,97.15,0.45,15.57,12.35,8.19,20.96,11.85,27.80
101年,100.00,3.03,96.97,0.47,15.95,12.57,8.40,21.19,11.96,26.44
100年,100.00,3.24,96.76,0.48,16.38,12.70,8.65,21.42,12.05,25.07
99年,100.00,3.44,96.56,0.50,16.81,12.93,8.69,21.60,12.21,23.80
98年,100.00,3.67,96.33,0.52,17.22,13.14,8.82,21.78,12.43,22.42
97年,100.00,3.90,96.10,0.54,17.63,13.31,8.87,21.87,12.70,21.18
96年,100.00,4.15,95.85,0.56,18.05,13.37,9.01,22.05,12.99,19.83
95年,100.00,4.40,95.60,0.59,18.47,13.58,9.11,22.25,13.27,18.32
94年,100.00,4.66,95.34,0.62,18.90,13.86,9.04,22.38,13.53,17.00
93年,100.00,4.95,95.05,0.63,19.38,14.11,8.94,22.54,13.71,15.74
92年,100.00,5.26,94.74,0.65,19.85,14.30,8.91,22.74,13.80,14.50
91年,100.00,6.74,93.26,0.64,21.74,16.43,7.92,22.42,12.38,11.73
90年,100.00,7.13,92.87,0.64,22.36,17.90,7.83,22.36,11.65,10.12
89年,100.00,7.51,92.49,0.66,23.18,19.92,7.70,22.10,10.45,8.47
88年,100.00,7.96,92.04,0.69,24.58,21.67,7.59,21.38,9.10,7.04
87年,100.00,8.54,91.46,0.71,26.63,22.16,7.32,20.03,8.26,6.34
86年,100.00,8.93,91.07,0.73,24.51,22.54,8.32,20.82,8.12,6.03
""
