學年別,縣市別,總計計,總計國立,總計直轄市立,總計私立,獨立學院計,獨立學院國立,獨立學院直轄市立,獨立學院私立,大學計,大學國立,大學直轄市立,大學私立
106學年,總計,70,32,1,37,4,-,-,4,66,32,1,33
106學年,新北市,8,2,-,6,2,-,-,2,6,2,-,4
106學年,臺北市,15,6,1,8,-,-,-,-,15,6,1,8
106學年,桃園市,6,2,-,4,-,-,-,-,6,2,-,4
106學年,臺中市,9,3,-,6,-,-,-,-,9,3,-,6
106學年,臺南市,6,3,-,3,1,-,-,1,5,3,-,2
106學年,高雄市,5,3,-,2,-,-,-,-,5,3,-,2
106學年,宜蘭縣,2,1,-,1,-,-,-,-,2,1,-,1
106學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-
106學年,苗栗縣,1,1,-,-,-,-,-,-,1,1,-,-
106學年,彰化縣,3,1,-,2,-,-,-,-,3,1,-,2
106學年,南投縣,1,1,-,-,-,-,-,-,1,1,-,-
106學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-
106學年,嘉義縣,3,1,-,2,1,-,-,1,2,1,-,1
106學年,屏東縣,1,1,-,-,-,-,-,-,1,1,-,-
106學年,臺東縣,1,1,-,-,-,-,-,-,1,1,-,-
106學年,花蓮縣,2,1,-,1,-,-,-,-,2,1,-,1
106學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,1,1,-,-,-,-,-,-,1,1,-,-
106學年,新竹市,4,2,-,2,-,-,-,-,4,2,-,2
106學年,嘉義市,1,1,-,-,-,-,-,-,1,1,-,-
106學年,金門縣,1,1,-,-,-,-,-,-,1,1,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,71,33,1,37,4,-,-,4,67,33,1,33
105學年,新北市,8,2,-,6,2,-,-,2,6,2,-,4
105學年,臺北市,15,6,1,8,-,-,-,-,15,6,1,8
105學年,桃園市,6,2,-,4,-,-,-,-,6,2,-,4
105學年,臺中市,9,3,-,6,-,-,-,-,9,3,-,6
105學年,臺南市,6,3,-,3,1,-,-,1,5,3,-,2
105學年,高雄市,5,3,-,2,-,-,-,-,5,3,-,2
105學年,宜蘭縣,2,1,-,1,-,-,-,-,2,1,-,1
105學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-
105學年,苗栗縣,1,1,-,-,-,-,-,-,1,1,-,-
105學年,彰化縣,3,1,-,2,-,-,-,-,3,1,-,2
105學年,南投縣,1,1,-,-,-,-,-,-,1,1,-,-
105學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-
105學年,嘉義縣,3,1,-,2,1,-,-,1,2,1,-,1
105學年,屏東縣,1,1,-,-,-,-,-,-,1,1,-,-
105學年,臺東縣,1,1,-,-,-,-,-,-,1,1,-,-
105學年,花蓮縣,2,1,-,1,-,-,-,-,2,1,-,1
105學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,1,1,-,-,-,-,-,-,1,1,-,-
105學年,新竹市,5,3,-,2,-,-,-,-,5,3,-,2
105學年,嘉義市,1,1,-,-,-,-,-,-,1,1,-,-
105學年,金門縣,1,1,-,-,-,-,-,-,1,1,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,71,33,1,37,4,-,-,4,67,33,1,33
104學年,新北市,8,2,-,6,2,-,-,2,6,2,-,4
104學年,臺北市,15,6,1,8,-,-,-,-,15,6,1,8
104學年,桃園市,6,2,-,4,-,-,-,-,6,2,-,4
104學年,臺中市,9,3,-,6,-,-,-,-,9,3,-,6
104學年,臺南市,6,3,-,3,1,-,-,1,5,3,-,2
104學年,高雄市,5,3,-,2,-,-,-,-,5,3,-,2
104學年,宜蘭縣,2,1,-,1,-,-,-,-,2,1,-,1
104學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-
104學年,苗栗縣,1,1,-,-,-,-,-,-,1,1,-,-
104學年,彰化縣,3,1,-,2,-,-,-,-,3,1,-,2
104學年,南投縣,1,1,-,-,-,-,-,-,1,1,-,-
104學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-
104學年,嘉義縣,3,1,-,2,1,-,-,1,2,1,-,1
104學年,屏東縣,1,1,-,-,-,-,-,-,1,1,-,-
104學年,臺東縣,1,1,-,-,-,-,-,-,1,1,-,-
104學年,花蓮縣,2,1,-,1,-,-,-,-,2,1,-,1
104學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,1,1,-,-,-,-,-,-,1,1,-,-
104學年,新竹市,5,3,-,2,-,-,-,-,5,3,-,2
104學年,嘉義市,1,1,-,-,-,-,-,-,1,1,-,-
104學年,金門縣,1,1,-,-,-,-,-,-,1,1,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,71,33,1,37,4,-,-,4,67,33,1,33
103學年,新北市,8,2,-,6,2,-,-,2,6,2,-,4
103學年,臺北市,14,6,1,7,-,-,-,-,14,6,1,7
103學年,臺中市,9,3,-,6,-,-,-,-,9,3,-,6
103學年,臺南市,7,3,-,4,1,-,-,1,6,3,-,3
103學年,高雄市,5,3,-,2,-,-,-,-,5,3,-,2
103學年,宜蘭縣,2,1,-,1,-,-,-,-,2,1,-,1
103學年,桃園縣,6,2,-,4,-,-,-,-,6,2,-,4
103學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-
103學年,苗栗縣,1,1,-,-,-,-,-,-,1,1,-,-
103學年,彰化縣,3,1,-,2,-,-,-,-,3,1,-,2
103學年,南投縣,1,1,-,-,-,-,-,-,1,1,-,-
103學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-
103學年,嘉義縣,3,1,-,2,1,-,-,1,2,1,-,1
103學年,屏東縣,1,1,-,-,-,-,-,-,1,1,-,-
103學年,臺東縣,1,1,-,-,-,-,-,-,1,1,-,-
103學年,花蓮縣,2,1,-,1,-,-,-,-,2,1,-,1
103學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,1,1,-,-,-,-,-,-,1,1,-,-
103學年,新竹市,5,3,-,2,-,-,-,-,5,3,-,2
103學年,嘉義市,1,1,-,-,-,-,-,-,1,1,-,-
103學年,金門縣,1,1,-,-,-,-,-,-,1,1,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,70,33,1,36,3,-,-,3,67,33,1,33
102學年,新北市,7,2,-,5,1,-,-,1,6,2,-,4
102學年,臺北市,14,6,1,7,-,-,-,-,14,6,1,7
102學年,臺中市,9,3,-,6,-,-,-,-,9,3,-,6
102學年,臺南市,7,3,-,4,1,-,-,1,6,3,-,3
102學年,高雄市,5,3,-,2,-,-,-,-,5,3,-,2
102學年,宜蘭縣,2,1,-,1,-,-,-,-,2,1,-,1
102學年,桃園縣,6,2,-,4,-,-,-,-,6,2,-,4
102學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-
102學年,苗栗縣,1,1,-,-,-,-,-,-,1,1,-,-
102學年,彰化縣,3,1,-,2,-,-,-,-,3,1,-,2
102學年,南投縣,1,1,-,-,-,-,-,-,1,1,-,-
102學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-
102學年,嘉義縣,3,1,-,2,1,-,-,1,2,1,-,1
102學年,屏東縣,1,1,-,-,-,-,-,-,1,1,-,-
102學年,臺東縣,1,1,-,-,-,-,-,-,1,1,-,-
102學年,花蓮縣,2,1,-,1,-,-,-,-,2,1,-,1
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,1,1,-,-,-,-,-,-,1,1,-,-
102學年,新竹市,5,3,-,2,-,-,-,-,5,3,-,2
102學年,嘉義市,1,1,-,-,-,-,-,-,1,1,-,-
102學年,金門縣,1,1,-,-,-,-,-,-,1,1,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,71,33,2,36,4,-,1,3,67,33,1,33
101學年,新北市,7,2,-,5,1,-,-,1,6,2,-,4
101學年,臺北市,15,6,2,7,1,-,1,-,14,6,1,7
101學年,臺中市,9,3,-,6,-,-,-,-,9,3,-,6
101學年,臺南市,7,3,-,4,1,-,-,1,6,3,-,3
101學年,高雄市,5,3,-,2,-,-,-,-,5,3,-,2
101學年,宜蘭縣,2,1,-,1,-,-,-,-,2,1,-,1
101學年,桃園縣,6,2,-,4,-,-,-,-,6,2,-,4
101學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-
101學年,苗栗縣,1,1,-,-,-,-,-,-,1,1,-,-
101學年,彰化縣,3,1,-,2,-,-,-,-,3,1,-,2
101學年,南投縣,1,1,-,-,-,-,-,-,1,1,-,-
101學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-
101學年,嘉義縣,3,1,-,2,1,-,-,1,2,1,-,1
101學年,屏東縣,1,1,-,-,-,-,-,-,1,1,-,-
101學年,臺東縣,1,1,-,-,-,-,-,-,1,1,-,-
101學年,花蓮縣,2,1,-,1,-,-,-,-,2,1,-,1
101學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,1,1,-,-,-,-,-,-,1,1,-,-
101學年,新竹市,5,3,-,2,-,-,-,-,5,3,-,2
101學年,嘉義市,1,1,-,-,-,-,-,-,1,1,-,-
101學年,金門縣,1,1,-,-,-,-,-,-,1,1,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,71,33,2,36,4,-,1,3,67,33,1,33
100學年,新北市,7,2,-,5,1,-,-,1,6,2,-,4
100學年,臺北市,15,6,2,7,1,-,1,-,14,6,1,7
100學年,臺中市,9,3,-,6,-,-,-,-,9,3,-,6
100學年,臺南市,7,3,-,4,1,-,-,1,6,3,-,3
100學年,高雄市,5,3,-,2,-,-,-,-,5,3,-,2
100學年,宜蘭縣,2,1,-,1,-,-,-,-,2,1,-,1
100學年,桃園縣,6,2,-,4,-,-,-,-,6,2,-,4
100學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-
100學年,苗栗縣,1,1,-,-,-,-,-,-,1,1,-,-
100學年,彰化縣,3,1,-,2,-,-,-,-,3,1,-,2
100學年,南投縣,1,1,-,-,-,-,-,-,1,1,-,-
100學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-
100學年,嘉義縣,3,1,-,2,1,-,-,1,2,1,-,1
100學年,屏東縣,1,1,-,-,-,-,-,-,1,1,-,-
100學年,臺東縣,1,1,-,-,-,-,-,-,1,1,-,-
100學年,花蓮縣,2,1,-,1,-,-,-,-,2,1,-,1
100學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,1,1,-,-,-,-,-,-,1,1,-,-
100學年,新竹市,5,3,-,2,-,-,-,-,5,3,-,2
100學年,嘉義市,1,1,-,-,-,-,-,-,1,1,-,-
100學年,金門縣,1,1,-,-,-,-,-,-,1,1,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,71,33,2,36,5,1,1,3,66,32,1,33
99學年,臺北市,15,6,2,7,1,-,1,-,14,6,1,7
99學年,高雄市,4,3,-,1,-,-,-,-,4,3,-,1
99學年,臺北縣,7,2,-,5,1,-,-,1,6,2,-,4
99學年,宜蘭縣,2,1,-,1,-,-,-,-,2,1,-,1
99學年,桃園縣,6,2,-,4,-,-,-,-,6,2,-,4
99學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-
99學年,苗栗縣,1,1,-,-,-,-,-,-,1,1,-,-
99學年,臺中縣,2,-,-,2,-,-,-,-,2,-,-,2
99學年,彰化縣,3,1,-,2,-,-,-,-,3,1,-,2
99學年,南投縣,1,1,-,-,-,-,-,-,1,1,-,-
99學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-
99學年,嘉義縣,3,1,-,2,1,-,-,1,2,1,-,1
99學年,臺南縣,3,1,-,2,-,-,-,-,3,1,-,2
99學年,高雄縣,1,-,-,1,-,-,-,-,1,-,-,1
99學年,屏東縣,1,1,-,-,-,-,-,-,1,1,-,-
99學年,臺東縣,1,1,-,-,-,-,-,-,1,1,-,-
99學年,花蓮縣,2,1,-,1,-,-,-,-,2,1,-,1
99學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,1,1,-,-,-,-,-,-,1,1,-,-
99學年,新竹市,5,3,-,2,-,-,-,-,5,3,-,2
99學年,臺中市,7,3,-,4,1,1,-,-,6,2,-,4
99學年,嘉義市,1,1,-,-,-,-,-,-,1,1,-,-
99學年,臺南市,4,2,-,2,1,-,-,1,3,2,-,1
99學年,金門縣,1,1,-,-,-,-,-,-,1,1,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,71,32,2,37,7,1,1,5,64,31,1,32
98學年,臺北市,15,6,2,7,1,-,1,-,14,6,1,7
98學年,高雄市,4,3,-,1,-,-,-,-,4,3,-,1
98學年,臺北縣,8,2,-,6,2,-,-,2,6,2,-,4
98學年,宜蘭縣,2,1,-,1,-,-,-,-,2,1,-,1
98學年,桃園縣,6,2,-,4,-,-,-,-,6,2,-,4
98學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-
98學年,苗栗縣,1,1,-,-,-,-,-,-,1,1,-,-
98學年,臺中縣,2,-,-,2,-,-,-,-,2,-,-,2
98學年,彰化縣,3,1,-,2,-,-,-,-,3,1,-,2
98學年,南投縣,1,1,-,-,-,-,-,-,1,1,-,-
98學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-
98學年,嘉義縣,3,1,-,2,1,-,-,1,2,1,-,1
98學年,臺南縣,3,1,-,2,1,-,-,1,2,1,-,1
98學年,高雄縣,1,-,-,1,-,-,-,-,1,-,-,1
98學年,屏東縣,1,1,-,-,-,-,-,-,1,1,-,-
98學年,臺東縣,1,1,-,-,-,-,-,-,1,1,-,-
98學年,花蓮縣,2,1,-,1,-,-,-,-,2,1,-,1
98學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,1,1,-,-,-,-,-,-,1,1,-,-
98學年,新竹市,5,3,-,2,-,-,-,-,5,3,-,2
98學年,臺中市,7,3,-,4,1,1,-,-,6,2,-,4
98學年,嘉義市,1,1,-,-,-,-,-,-,1,1,-,-
98學年,臺南市,4,2,-,2,1,-,-,1,3,2,-,1
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,69,31,2,36,5,-,1,4,64,31,1,32
97學年,臺北市,15,6,2,7,1,-,1,-,14,6,1,7
97學年,高雄市,4,3,-,1,-,-,-,-,4,3,-,1
97學年,臺北縣,7,2,-,5,1,-,-,1,6,2,-,4
97學年,宜蘭縣,2,1,-,1,-,-,-,-,2,1,-,1
97學年,桃園縣,6,2,-,4,-,-,-,-,6,2,-,4
97學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-
97學年,苗栗縣,1,1,-,-,-,-,-,-,1,1,-,-
97學年,臺中縣,2,-,-,2,-,-,-,-,2,-,-,2
97學年,彰化縣,3,1,-,2,-,-,-,-,3,1,-,2
97學年,南投縣,1,1,-,-,-,-,-,-,1,1,-,-
97學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-
97學年,嘉義縣,3,1,-,2,1,-,-,1,2,1,-,1
97學年,臺南縣,3,1,-,2,1,-,-,1,2,1,-,1
97學年,高雄縣,1,-,-,1,-,-,-,-,1,-,-,1
97學年,屏東縣,1,1,-,-,-,-,-,-,1,1,-,-
97學年,臺東縣,1,1,-,-,-,-,-,-,1,1,-,-
97學年,花蓮縣,2,1,-,1,-,-,-,-,2,1,-,1
97學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,1,1,-,-,-,-,-,-,1,1,-,-
97學年,新竹市,5,3,-,2,-,-,-,-,5,3,-,2
97學年,臺中市,6,2,-,4,-,-,-,-,6,2,-,4
97學年,嘉義市,1,1,-,-,-,-,-,-,1,1,-,-
97學年,臺南市,4,2,-,2,1,-,-,1,3,2,-,1
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-
""
