學年別,總計,幼兒(稚)園,國小,國中,高級中等學校普通科,高級中等學校綜合高中,高級中等學校專業群(職業)科,高級中等學校實用技能學程,高級中等學校進修部(學校),特殊教育學校,國小補校,國中補校
106學年,26.59,-,22.79,27.49,37.15,35.80,36.68,34.09,25.22,9.97,17.23,12.73
105學年,26.95,-,22.97,27.89,37.29,36.58,37.92,35.04,26.47,10.31,16.40,12.52
104學年,27.32,-,23.17,28.70,37.58,37.62,38.51,35.48,27.22,10.10,15.95,12.55
103學年,27.78,-,23.40,29.48,38.16,38.81,39.27,35.91,28.17,10.37,15.51,12.64
102學年,28.35,-,23.74,30.10,39.28,40.07,40.56,36.78,29.76,10.54,15.72,13.22
101學年,28.93,-,24.35,30.76,39.67,40.51,41.36,37.48,31.29,10.76,15.73,13.57
100學年,28.81,20.33,25.13,31.59,39.59,40.25,41.42,38.69,32.91,10.96,16.17,14.08
99學年,29.38,19.37,25.91,32.68,39.50,40.59,41.49,40.27,33.72,11.02,17.08,14.50
98學年,29.98,18.96,26.79,33.48,39.62,40.69,41.66,40.70,34.80,11.25,19.10,14.71
97學年,30.43,18.91,27.67,33.85,39.52,40.60,41.54,39.72,35.90,11.09,19.58,15.15
""
