學年別,設立別,總計,幼兒(稚)園,國小,國中,高級中等學校普通科,高級中等學校綜合高中,高級中等學校專業群(職業)科,高級中等學校實用技能學程,高級中等學校進修部(學校),特殊教育學校,國小補校,國中補校
106學年,總計,96523,-,50311,23761,8352,1255,8605,969,1650,597,568,455
106學年,公立,84793,-,49191,21600,6474,875,3865,389,800,585,568,446
106學年,私立,11730,-,1120,2161,1878,380,4740,580,850,12,-,9
105學年,總計,98654,-,51097,24637,8343,1387,8761,993,1788,600,585,463
105學年,公立,86488,-,50015,22445,6415,952,3794,397,843,588,585,454
105學年,私立,12166,-,1082,2192,1928,435,4967,596,945,12,-,9
104學年,總計,101603,-,52404,26052,8233,1528,8760,1006,1923,620,598,479
104學年,公立,89225,-,51343,23811,6344,1023,3746,400,890,600,598,470
104學年,私立,12378,-,1061,2241,1889,505,5014,606,1033,20,-,9
103學年,總計,104304,-,53541,27251,8156,1676,8810,1051,2092,619,617,491
103學年,公立,91617,-,52500,24999,6261,1085,3721,407,944,601,617,482
103學年,私立,12687,-,1041,2252,1895,591,5089,644,1148,18,-,9
102學年,總計,106299,-,54641,27639,8131,1844,8881,1102,2248,640,657,516
102學年,公立,93267,-,53634,25415,6171,1157,3703,414,988,621,657,507
102學年,私立,13032,-,1007,2224,1960,687,5178,688,1260,19,-,9
101學年,總計,108340,-,56391,27468,8147,1963,8932,1182,2387,640,698,532
101學年,公立,94986,-,55411,25281,6101,1217,3690,426,1018,621,698,523
101學年,私立,13354,-,980,2187,2046,746,5242,756,1369,19,-,9
100學年,總計,119618,9335,57986,27639,8040,2079,8847,1241,2515,640,747,549
100學年,公立,99949,3112,57035,25471,6001,1280,3657,431,1054,621,747,540
100學年,私立,19669,6223,951,2168,2039,799,5190,810,1461,19,-,9
99學年,總計,120979,9492,58652,28146,7887,2195,8738,1289,2595,636,780,569
99學年,公立,101082,3076,57739,25957,5879,1320,3626,447,1078,620,780,560
99學年,私立,19897,6416,913,2189,2008,875,5112,842,1517,16,-,9
98學年,總計,121986,9602,59478,28332,7743,2369,8512,1257,2665,635,805,588
98學年,公立,102080,3062,58599,26154,5771,1356,3591,445,1100,618,805,579
98學年,私立,19906,6540,879,2178,1972,1013,4921,812,1565,17,-,9
97學年,總計,123114,9820,60630,28124,7660,2551,8342,1191,2740,620,833,603
97學年,公立,103005,3051,59771,25970,5700,1375,3560,440,1110,601,833,594
97學年,私立,20109,6769,859,2154,1960,1176,4782,751,1630,19,-,9
""
