年別,國小平均,國小男,國小女,國中平均,國中男,國中女,高級中等學校普通科及綜合高中平均,高級中等學校普通科及綜合高中男,高級中等學校普通科及綜合高中女,高級中等學校專業群(職業)科平均,高級中等學校專業群(職業)科男,高級中等學校專業群(職業)科女
106年,100.00,100.00,100.00,99.78,99.72,99.85,95.95,94.85,97.01,79.25,75.62,83.63
105年,100.00,100.00,100.00,99.75,99.69,99.82,95.80,94.44,97.11,79.33,75.64,83.81
104年,99.99,99.99,99.99,99.59,99.50,99.69,95.50,94.35,96.64,80.11,76.57,84.28
103年,99.95,99.94,99.96,99.52,99.41,99.64,95.70,94.34,97.00,81.01,77.69,84.94
102年,99.85,99.87,99.84,99.39,99.35,99.44,95.50,94.22,96.73,81.10,78.42,84.28
101年,99.91,99.96,99.85,99.15,98.99,99.33,94.75,93.39,96.09,83.51,81.54,85.82
100年,99.91,99.91,99.90,97.67,97.32,98.04,94.67,93.59,95.72,81.91,80.46,83.64
99年,99.89,99.92,99.85,98.15,97.83,98.50,95.24,94.45,96.01,79.64,78.02,81.62
98年,99.85,99.93,99.76,97.63,97.42,97.86,95.56,94.88,96.23,76.91,75.27,78.90
97年,99.78,99.74,99.82,95.38,94.76,96.06,95.32,94.73,95.90,76.37,74.89,78.14
""
