學年別,年齡別,偏遠國小總計計,偏遠國小總計男,偏遠國小總計女,偏遠國小國立計,偏遠國小國立男,偏遠國小國立女,偏遠國小直轄市立計,偏遠國小直轄市立男,偏遠國小直轄市立女,偏遠國小縣市立計,偏遠國小縣市立男,偏遠國小縣市立女,偏遠國小私立計,偏遠國小私立男,偏遠國小私立女,偏遠國中總計計,偏遠國中總計男,偏遠國中總計女,偏遠國中國立計,偏遠國中國立男,偏遠國中國立女,偏遠國中直轄市立計,偏遠國中直轄市立男,偏遠國中直轄市立女,偏遠國中縣市立計,偏遠國中縣市立男,偏遠國中縣市立女,偏遠國中私立計,偏遠國中私立男,偏遠國中私立女
106學年,總計,12714,4917,7797,72,18,54,4375,1595,2780,8246,3299,4947,21,5,16,5354,2086,3268,-,-,-,1442,542,900,3844,1520,2324,68,24,44
106學年,未滿25歲,273,42,231,1,-,1,90,18,72,182,24,158,-,-,-,101,24,77,-,-,-,21,8,13,80,16,64,-,-,-
106學年,25歲至未滿30歲,1130,297,833,2,1,1,435,97,338,690,199,491,3,-,3,577,140,437,-,-,-,203,46,157,366,91,275,8,3,5
106學年,30歲至未滿35歲,1481,437,1044,14,1,13,646,159,487,816,276,540,5,1,4,968,321,647,-,-,-,320,101,219,640,218,422,8,2,6
106學年,35歲至未滿40歲,2469,967,1502,10,4,6,884,312,572,1569,651,918,6,-,6,1208,462,746,-,-,-,308,122,186,889,338,551,11,2,9
106學年,40歲至未滿45歲,2638,1095,1543,16,4,12,829,338,491,1788,750,1038,5,3,2,1066,464,602,-,-,-,257,112,145,788,344,444,21,8,13
106學年,45歲至未滿50歲,2829,1356,1473,17,4,13,863,421,442,1949,931,1018,-,-,-,767,342,425,-,-,-,191,92,99,568,246,322,8,4,4
106學年,50歲至未滿55歲,1392,522,870,11,4,7,471,191,280,909,326,583,1,1,-,455,220,235,-,-,-,95,42,53,351,174,177,9,4,5
106學年,55歲至未滿60歲,382,148,234,1,-,1,125,46,79,255,102,153,1,-,1,163,87,76,-,-,-,39,17,22,121,69,52,3,1,2
106學年,60歲至未滿65歲,119,53,66,-,-,-,31,13,18,88,40,48,-,-,-,48,26,22,-,-,-,8,2,6,40,24,16,-,-,-
106學年,65歲以上,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-
105學年,總計,12480,4930,7550,72,18,54,4343,1585,2758,8046,3323,4723,19,4,15,5447,2128,3319,-,-,-,1468,552,916,3910,1552,2358,69,24,45
105學年,未滿25歲,278,39,239,1,-,1,97,15,82,180,24,156,-,-,-,111,18,93,-,-,-,24,4,20,86,14,72,1,-,1
105學年,25歲至未滿30歲,1080,278,802,2,1,1,433,88,345,643,189,454,2,-,2,727,195,532,-,-,-,258,58,200,458,133,325,11,4,7
105學年,30歲至未滿35歲,1589,507,1082,14,1,13,674,185,489,896,320,576,5,1,4,1047,360,687,-,-,-,342,122,220,702,237,465,3,1,2
105學年,35歲至未滿40歲,2602,1014,1588,12,4,8,883,324,559,1703,686,1017,4,-,4,1241,485,756,-,-,-,299,115,184,928,367,561,14,3,11
105學年,40歲至未滿45歲,2578,1122,1456,15,4,11,803,326,477,1754,790,964,6,2,4,986,452,534,-,-,-,241,121,120,724,322,402,21,9,12
105學年,45歲至未滿50歲,2730,1323,1407,20,5,15,922,437,485,1788,881,907,-,-,-,736,327,409,-,-,-,188,83,105,540,241,299,8,3,5
105學年,50歲至未滿55歲,1175,449,726,8,3,5,405,158,247,761,287,474,1,1,-,417,192,225,-,-,-,78,34,44,331,155,176,8,3,5
105學年,55歲至未滿60歲,339,148,191,-,-,-,99,41,58,239,107,132,1,-,1,145,81,64,-,-,-,31,12,19,112,68,44,2,1,1
105學年,60歲至未滿65歲,105,48,57,-,-,-,26,11,15,79,37,42,-,-,-,37,18,19,-,-,-,7,3,4,29,15,14,1,-,1
105學年,65歲以上,4,2,2,-,-,-,1,-,1,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,12638,5030,7608,72,17,55,4408,1598,2810,8139,3413,4726,19,2,17,5627,2199,3428,-,-,-,1513,578,935,4047,1599,2448,67,22,45
104學年,未滿25歲,224,30,194,-,-,-,94,12,82,130,18,112,-,-,-,137,14,123,-,-,-,47,5,42,89,8,81,1,1,-
104學年,25歲至未滿30歲,1143,273,870,6,1,5,467,94,373,669,178,491,1,-,1,826,229,597,-,-,-,285,75,210,537,152,385,4,2,2
104學年,30歲至未滿35歲,1778,618,1160,12,3,9,736,206,530,1027,409,618,3,-,3,1162,430,732,-,-,-,355,142,213,801,288,513,6,-,6
104學年,35歲至未滿40歲,2647,1036,1611,12,3,9,906,330,576,1720,703,1017,9,-,9,1257,485,772,-,-,-,306,118,188,931,360,571,20,7,13
104學年,40歲至未滿45歲,2635,1168,1467,17,3,14,817,337,480,1797,826,971,4,2,2,969,440,529,-,-,-,248,122,126,703,313,390,18,5,13
104學年,45歲至未滿50歲,2678,1289,1389,21,4,17,884,430,454,1772,855,917,1,-,1,694,302,392,-,-,-,152,61,91,535,239,296,7,2,5
104學年,50歲至未滿55歲,1091,417,674,4,3,1,392,148,244,695,266,429,-,-,-,400,199,201,-,-,-,81,39,42,312,156,156,7,4,3
104學年,55歲至未滿60歲,341,151,190,-,-,-,88,33,55,252,118,134,1,-,1,133,72,61,-,-,-,28,13,15,101,58,43,4,1,3
104學年,60歲至未滿65歲,101,48,53,-,-,-,24,8,16,77,40,37,-,-,-,49,28,21,-,-,-,11,3,8,38,25,13,-,-,-
104學年,65歲以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,12811,5186,7625,72,16,56,4062,1493,2569,8649,3672,4977,28,5,23,5765,2280,3485,-,-,-,1252,500,752,4433,1751,2682,80,29,51
103學年,未滿25歲,250,32,218,-,-,-,82,11,71,168,21,147,-,-,-,169,41,128,-,-,-,45,10,35,123,31,92,1,-,1
103學年,25歲至未滿30歲,1143,268,875,5,-,5,455,66,389,677,201,476,6,1,5,953,258,695,-,-,-,273,69,204,673,187,486,7,2,5
103學年,30歲至未滿35歲,2031,749,1282,12,3,9,714,231,483,1299,513,786,6,2,4,1264,493,771,-,-,-,271,115,156,985,377,608,8,1,7
103學年,35歲至未滿40歲,2708,1080,1628,11,3,8,816,306,510,1869,769,1100,12,2,10,1249,509,740,-,-,-,271,120,151,951,379,572,27,10,17
103學年,40歲至未滿45歲,2798,1312,1486,17,3,14,791,351,440,1988,958,1030,2,-,2,907,403,504,-,-,-,185,88,97,708,308,400,14,7,7
103學年,45歲至未滿50歲,2425,1133,1292,22,4,18,754,360,394,1648,769,879,1,-,1,668,298,370,-,-,-,117,59,58,542,236,306,9,3,6
103學年,50歲至未滿55歲,1026,408,618,5,3,2,348,127,221,673,278,395,-,-,-,372,186,186,-,-,-,60,29,31,304,153,151,8,4,4
103學年,55歲至未滿60歲,339,154,185,-,-,-,84,35,49,254,119,135,1,-,1,141,72,69,-,-,-,21,7,14,114,63,51,6,2,4
103學年,60歲至未滿65歲,90,49,41,-,-,-,18,6,12,72,43,29,-,-,-,42,20,22,-,-,-,9,3,6,33,17,16,-,-,-
103學年,65歲以上,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,12610,5256,7354,72,16,56,3958,1499,2459,8554,3737,4817,26,4,22,5818,2310,3508,-,-,-,1285,503,782,4445,1773,2672,88,34,54
102學年,未滿25歲,167,17,150,1,-,1,54,4,50,112,13,99,-,-,-,205,40,165,-,-,-,61,11,50,142,29,113,2,-,2
102學年,25歲至未滿30歲,1109,254,855,10,1,9,449,67,382,646,185,461,4,1,3,1050,307,743,-,-,-,277,77,200,767,228,539,6,2,4
102學年,30歲至未滿35歲,2285,909,1376,8,2,6,752,259,493,1515,647,868,10,1,9,1330,501,829,-,-,-,296,121,175,1016,369,647,18,11,7
102學年,35歲至未滿40歲,2685,1101,1584,13,4,9,770,294,476,1893,801,1092,9,2,7,1209,512,697,-,-,-,260,110,150,921,393,528,28,9,19
102學年,40歲至未滿45歲,2832,1384,1448,12,2,10,814,387,427,2004,995,1009,2,-,2,827,354,473,-,-,-,172,81,91,644,269,375,11,4,7
102學年,45歲至未滿50歲,2204,991,1213,21,4,17,733,332,401,1450,655,795,-,-,-,682,320,362,-,-,-,129,55,74,545,263,282,8,2,6
