學年別,年齡別,原民區國小總計計,原民區國小總計男,原民區國小總計女,原民區國小國立計,原民區國小國立男,原民區國小國立女,原民區國小直轄市立計,原民區國小直轄市立男,原民區國小直轄市立女,原民區國小縣市立計,原民區國小縣市立男,原民區國小縣市立女,原民區國小私立計,原民區國小私立男,原民區國小私立女,原民區國中總計計,原民區國中總計男,原民區國中總計女,原民區國中國立計,原民區國中國立男,原民區國中國立女,原民區國中直轄市立計,原民區國中直轄市立男,原民區國中直轄市立女,原民區國中縣市立計,原民區國中縣市立男,原民區國中縣市立女,原民區國中私立計,原民區國中私立男,原民區國中私立女
106學年,總計,5383,2019,3364,130,35,95,408,159,249,4758,1807,2951,87,18,69,1996,764,1232,-,-,-,119,54,65,1877,710,1167,-,-,-
106學年,未滿25歲,122,25,97,1,-,1,12,4,8,105,20,85,4,1,3,39,13,26,-,-,-,3,2,1,36,11,25,-,-,-
106學年,25歲至未滿30歲,509,163,346,6,3,3,61,19,42,432,140,292,10,1,9,193,59,134,-,-,-,14,6,8,179,53,126,-,-,-
106學年,30歲至未滿35歲,578,203,375,25,3,22,72,21,51,465,174,291,16,5,11,314,102,212,-,-,-,34,14,20,280,88,192,-,-,-
106學年,35歲至未滿40歲,914,357,557,19,7,12,79,30,49,801,318,483,15,2,13,410,151,259,-,-,-,23,9,14,387,142,245,-,-,-
106學年,40歲至未滿45歲,1099,406,693,24,6,18,53,18,35,1007,379,628,15,3,12,387,153,234,-,-,-,22,13,9,365,140,225,-,-,-
106學年,45歲至未滿50歲,1283,563,720,34,9,25,72,37,35,1159,513,646,18,4,14,330,141,189,-,-,-,11,6,5,319,135,184,-,-,-
106學年,50歲至未滿55歲,627,211,416,17,5,12,40,21,19,564,183,381,6,2,4,212,95,117,-,-,-,6,4,2,206,91,115,-,-,-
106學年,55歲至未滿60歲,187,67,120,3,2,1,13,7,6,168,58,110,3,-,3,81,33,48,-,-,-,6,-,6,75,33,42,-,-,-
106學年,60歲至未滿65歲,64,24,40,1,-,1,6,2,4,57,22,35,-,-,-,29,17,12,-,-,-,-,-,-,29,17,12,-,-,-
106學年,65歲以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-
105學年,總計,5352,2036,3316,130,33,97,396,155,241,4739,1833,2906,87,15,72,2042,782,1260,-,-,-,117,51,66,1925,731,1194,-,-,-
105學年,未滿25歲,123,20,103,4,-,4,14,2,12,103,17,86,2,1,1,49,10,39,-,-,-,2,2,-,47,8,39,-,-,-
105學年,25歲至未滿30歲,495,152,343,6,2,4,58,17,41,421,133,288,10,-,10,212,68,144,-,-,-,18,6,12,194,62,132,-,-,-
105學年,30歲至未滿35歲,601,216,385,24,3,21,63,20,43,491,186,305,23,7,16,355,121,234,-,-,-,33,14,19,322,107,215,-,-,-
105學年,35歲至未滿40歲,1010,386,624,20,6,14,80,32,48,897,346,551,13,2,11,421,161,260,-,-,-,19,7,12,402,154,248,-,-,-
105學年,40歲至未滿45歲,1093,431,662,26,7,19,54,19,35,994,403,591,19,2,17,392,164,228,-,-,-,19,11,8,373,153,220,-,-,-
105學年,45歲至未滿50歲,1258,562,696,34,9,25,82,45,37,1130,505,625,12,3,9,322,129,193,-,-,-,15,8,7,307,121,186,-,-,-
105學年,50歲至未滿55歲,529,178,351,14,5,9,27,12,15,484,161,323,4,-,4,196,84,112,-,-,-,6,3,3,190,81,109,-,-,-
105學年,55歲至未滿60歲,184,71,113,2,1,1,13,7,6,166,63,103,3,-,3,75,36,39,-,-,-,5,-,5,70,36,34,-,-,-
105學年,60歲至未滿65歲,56,19,37,-,-,-,5,1,4,51,18,33,-,-,-,20,9,11,-,-,-,-,-,-,20,9,11,-,-,-
105學年,65歲以上,3,1,2,-,-,-,-,-,-,2,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,5437,2056,3381,129,31,98,401,157,244,4824,1856,2968,83,12,71,2106,813,1293,-,-,-,116,49,67,1990,764,1226,-,-,-
104學年,未滿25歲,98,16,82,2,-,2,12,3,9,82,13,69,2,-,2,50,13,37,-,-,-,-,-,-,50,13,37,-,-,-
104學年,25歲至未滿30歲,501,126,375,8,1,7,52,10,42,429,114,315,12,1,11,264,82,182,-,-,-,23,8,15,241,74,167,-,-,-
104學年,30歲至未滿35歲,667,247,420,24,5,19,80,25,55,543,211,332,20,6,14,372,126,246,-,-,-,31,14,17,341,112,229,-,-,-
104學年,35歲至未滿40歲,1080,422,658,19,5,14,81,32,49,969,385,584,11,-,11,435,159,276,-,-,-,21,8,13,414,151,263,-,-,-
104學年,40歲至未滿45歲,1143,458,685,28,6,22,66,29,37,1030,421,609,19,2,17,375,169,206,-,-,-,18,12,6,357,157,200,-,-,-
104學年,45歲至未滿50歲,1222,533,689,37,8,29,65,39,26,1109,483,626,11,3,8,328,134,194,-,-,-,12,4,8,316,130,186,-,-,-
104學年,50歲至未滿55歲,481,158,323,9,5,4,28,12,16,440,141,299,4,-,4,192,79,113,-,-,-,9,3,6,183,76,107,-,-,-
104學年,55歲至未滿60歲,192,77,115,2,1,1,13,6,7,174,70,104,3,-,3,63,37,26,-,-,-,2,-,2,61,37,24,-,-,-
104學年,60歲至未滿65歲,52,19,33,-,-,-,4,1,3,47,18,29,1,-,1,27,14,13,-,-,-,-,-,-,27,14,13,-,-,-
104學年,65歲以上,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,5479,2106,3373,127,31,96,265,115,150,5007,1948,3059,80,12,68,2171,847,1324,-,-,-,90,35,55,2068,805,1263,13,7,6
103學年,未滿25歲,115,17,98,-,-,-,6,1,5,109,16,93,-,-,-,48,12,36,-,-,-,1,-,1,47,12,35,-,-,-
103學年,25歲至未滿30歲,495,135,360,10,-,10,44,8,36,424,124,300,17,3,14,290,78,212,-,-,-,15,4,11,272,73,199,3,1,2
103學年,30歲至未滿35歲,749,273,476,25,7,18,48,19,29,657,243,414,19,4,15,410,152,258,-,-,-,27,11,16,379,140,239,4,1,3
103學年,35歲至未滿40歲,1130,437,693,19,6,13,50,23,27,1047,406,641,14,2,12,430,176,254,-,-,-,20,7,13,408,167,241,2,2,-
103學年,40歲至未滿45歲,1178,509,669,25,5,20,39,18,21,1099,486,613,15,-,15,385,167,218,-,-,-,14,7,7,369,159,210,2,1,1
103學年,45歲至未滿50歲,1127,474,653,36,7,29,45,31,14,1037,433,604,9,3,6,326,134,192,-,-,-,6,4,2,319,129,190,1,1,-
103學年,50歲至未滿55歲,455,165,290,10,5,5,22,8,14,419,152,267,4,-,4,188,79,109,-,-,-,6,2,4,181,76,105,1,1,-
103學年,55歲至未滿60歲,187,73,114,2,1,1,10,6,4,174,66,108,1,-,1,68,38,30,-,-,-,1,-,1,67,38,29,-,-,-
103學年,60歲至未滿65歲,42,22,20,-,-,-,1,1,-,40,21,19,1,-,1,26,11,15,-,-,-,-,-,-,26,11,15,-,-,-
103學年,65歲以上,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,5354,2132,3222,127,33,94,252,110,142,4903,1976,2927,72,13,59,2188,863,1325,-,-,-,89,32,57,2080,821,1259,19,10,9
102學年,未滿25歲,81,12,69,1,-,1,3,-,3,77,12,65,-,-,-,57,11,46,-,-,-,9,1,8,48,10,38,-,-,-
102學年,25歲至未滿30歲,472,128,344,13,2,11,41,7,34,401,114,287,17,5,12,332,106,226,-,-,-,23,10,13,306,95,211,3,1,2
102學年,30歲至未滿35歲,855,356,499,20,5,15,57,25,32,756,324,432,22,2,20,426,142,284,-,-,-,18,5,13,404,135,269,4,2,2
102學年,35歲至未滿40歲,1120,434,686,20,7,13,45,18,27,1047,407,640,8,2,6,428,187,241,-,-,-,19,9,10,403,175,228,6,3,3
102學年,40歲至未滿45歲,1234,547,687,24,5,19,33,19,14,1162,519,643,15,4,11,366,160,206,-,-,-,9,4,5,356,155,201,1,1,-
102學年,45歲至未滿50歲,983,399,584,33,6,27,41,24,17,905,369,536,4,-,4,315,134,181,-,-,-,4,1,3,310,132,178,1,1,-
102學年,50歲至未滿55歲,389,153,236,14,7,7,23,12,11,347,134,213,5,-,5,165,73,92,-,-,-,7,2,5,157,70,87,1,1,-
102學年,55歲至未滿60歲,177,81,96,2,1,1,8,5,3,167,75,92,-,-,-,76,39,37,-,-,-,-,-,-,74,38,36,2,1,1
102學年,60歲至未滿65歲,42,22,20,-,-,-,1,-,1,40,22,18,1,-,1,23,11,12,-,-,-,-,-,-,22,11,11,1,-,1
102學年,65歲以上,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,5263,2160,3103,131,35,96,234,120,114,4820,1988,2832,78,17,61,2129,845,1284,-,-,-,88,36,52,2027,804,1223,14,5,9
101學年,未滿25歲,60,11,49,-,-,-,3,-,3,53,11,42,4,-,4,52,12,40,-,-,-,4,2,2,48,10,38,-,-,-
101學年,25歲至未滿30歲,490,152,338,21,5,16,36,9,27,415,131,284,18,7,11,318,95,223,-,-,-,28,10,18,289,85,204,1,-,1
101學年,30歲至未滿35歲,937,398,539,14,3,11,61,28,33,842,365,477,20,2,18,422,154,268,-,-,-,18,7,11,401,144,257,3,3,-
101學年,35歲至未滿40歲,1091,427,664,26,7,19,26,14,12,1024,402,622,15,4,11,408,179,229,-,-,-,20,9,11,384,169,215,4,1,3
101學年,40歲至未滿45歲,1257,566,691,28,6,22,40,24,16,1177,533,644,12,3,9,347,145,202,-,-,-,7,4,3,340,141,199,-,-,-
101學年,45歲至未滿50歲,839,330,509,34,11,23,30,20,10,771,298,473,4,1,3,302,134,168,-,-,-,5,2,3,294,132,162,3,-,3
101學年,50歲至未滿55歲,388,173,215,8,3,5,30,19,11,346,151,195,4,-,4,185,77,108,-,-,-,6,2,4,178,74,104,1,1,-
101學年,55歲至未滿60歲,157,78,79,-,-,-,8,6,2,149,72,77,-,-,-,69,35,34,-,-,-,-,-,-,68,35,33,1,-,1
101學年,60歲至未滿65歲,44,25,19,-,-,-,-,-,-,43,25,18,1,-,1,25,13,12,-,-,-,-,-,-,24,13,11,1,-,1
101學年,65歲以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-
100學年,總計,5343,2192,3151,127,34,93,235,124,111,4900,2019,2881,81,15,66,2084,853,1231,-,-,-,79,36,43,1991,812,1179,14,5,9
100學年,未滿25歲,75,12,63,-,-,-,4,-,4,68,12,56,3,-,3,52,8,44,-,-,-,2,1,1,50,7,43,-,-,-
100學年,25歲至未滿30歲,554,176,378,21,3,18,37,13,24,475,154,321,21,6,15,304,93,211,-,-,-,20,9,11,281,84,197,3,-,3
100學年,30歲至未滿35歲,1027,428,599,17,3,14,60,28,32,934,396,538,16,1,15,440,172,268,-,-,-,25,9,16,410,161,249,5,2,3
100學年,35歲至未滿40歲,1108,440,668,18,4,14,29,17,12,1047,416,631,14,3,11,382,177,205,-,-,-,15,8,7,366,168,198,1,1,-
100學年,40歲至未滿45歲,1273,577,696,32,8,24,43,25,18,1184,541,643,14,3,11,336,141,195,-,-,-,7,5,2,327,135,192,2,1,1
100學年,45歲至未滿50歲,722,271,451,30,11,19,23,14,9,663,244,419,6,2,4,300,126,174,-,-,-,5,2,3,295,124,171,-,-,-
100學年,50歲至未滿55歲,392,181,211,8,5,3,28,19,9,351,157,194,5,-,5,183,88,95,-,-,-,5,2,3,176,85,91,2,1,1
100學年,55歲至未滿60歲,157,85,72,1,-,1,11,8,3,145,77,68,-,-,-,60,29,31,-,-,-,-,-,-,60,29,31,-,-,-
100學年,60歲至未滿65歲,35,22,13,-,-,-,-,-,-,33,22,11,2,-,2,25,18,7,-,-,-,-,-,-,24,18,6,1,-,1
100學年,65歲以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,2,1,1,-,-,-
99學年,總計,5477,2267,3210,128,33,95,-,-,-,5273,2218,3055,76,16,60,2110,842,1268,-,-,-,-,-,-,2099,839,1260,11,3,8
99學年,未滿25歲,104,9,95,1,-,1,-,-,-,93,9,84,10,-,10,58,10,48,-,-,-,-,-,-,58,10,48,-,-,-
99學年,25歲至未滿30歲,652,232,420,14,1,13,-,-,-,624,226,398,14,5,9,347,110,237,-,-,-,-,-,-,345,110,235,2,-,2
99學年,30歲至未滿35歲,1123,460,663,12,2,10,-,-,-,1090,455,635,21,3,18,455,165,290,-,-,-,-,-,-,452,164,288,3,1,2
99學年,35歲至未滿40歲,1121,470,651,22,6,16,-,-,-,1086,460,626,13,4,9,361,166,195,-,-,-,-,-,-,360,166,194,1,-,1
99學年,40歲至未滿45歲,1236,553,683,35,6,29,-,-,-,1192,544,648,9,3,6,326,133,193,-,-,-,-,-,-,325,133,192,1,-,1
99學年,45歲至未滿50歲,647,236,411,30,14,16,-,-,-,613,222,391,4,-,4,288,119,169,-,-,-,-,-,-,288,119,169,-,-,-
99學年,50歲至未滿55歲,422,206,216,13,3,10,-,-,-,406,202,204,3,1,2,178,76,102,-,-,-,-,-,-,177,75,102,1,1,-
99學年,55歲至未滿60歲,139,80,59,1,1,-,-,-,-,137,79,58,1,-,1,72,43,29,-,-,-,-,-,-,69,42,27,3,1,2
99學年,60歲至未滿65歲,32,20,12,-,-,-,-,-,-,31,20,11,1,-,1,23,18,5,-,-,-,-,-,-,23,18,5,-,-,-
99學年,65歲以上,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-
98學年,總計,5579,2332,3247,126,35,91,-,-,-,5372,2281,3091,81,16,65,2112,860,1252,-,-,-,-,-,-,2098,855,1243,14,5,9
98學年,未滿25歲,97,18,79,-,-,-,-,-,-,94,18,76,3,-,3,62,11,51,-,-,-,-,-,-,60,11,49,2,-,2
98學年,25歲至未滿30歲,771,300,471,11,1,10,-,-,-,745,296,449,15,3,12,360,118,242,-,-,-,-,-,-,357,117,240,3,1,2
98學年,30歲至未滿35歲,1184,479,705,20,6,14,-,-,-,1145,469,676,19,4,15,441,165,276,-,-,-,-,-,-,438,163,275,3,2,1
98學年,35歲至未滿40歲,1201,520,681,17,4,13,-,-,-,1168,513,655,16,3,13,376,172,204,-,-,-,-,-,-,375,172,203,1,-,1
