學年別,國民小學主任,國民小學組長,國民中學主任,國民中學組長,高級中等學校主任,高級中等學校組長,高級中學主任,高級中學組長,職業學校主任,職業學校組長
106學年,49.35,60.96,52.04,60.93,45.16,50.22,-,-,-,-
105學年,48.75,59.92,51.19,60.62,44.86,49.62,-,-,-,-
104學年,47.34,59.59,50.23,60.34,44.06,49.52,-,-,-,-
103學年,46.55,58.28,49.51,59.29,43.10,48.89,-,-,-,-
102學年,44.86,57.90,48.59,58.84,-,-,44.06,52.46,40.35,42.51
101學年,44.18,57.03,48.64,57.41,-,-,43.65,52.15,38.44,42.37
100學年,43.37,55.24,47.93,57.10,-,-,42.48,50.36,38.47,41.58
99學年,43.23,54.00,47.87,56.90,-,-,42.05,49.16,36.76,41.09
98學年,42.38,53.49,47.32,56.33,-,-,41.72,48.19,36.09,39.86
97學年,41.58,53.29,46.45,55.85,-,-,40.19,46.22,33.10,39.96
""
