學年別,總計,幼兒(稚)園,國小,國中,高級中等學校,專科,大學以上,宗教研修學院,特殊教育學校,其他
106學年,48.56,47.84,47.80,47.65,46.28,73.93,48.83,55.56,38.59,65.81
105學年,48.52,47.70,47.77,47.62,46.31,73.23,48.82,57.21,38.33,65.29
104學年,48.43,47.61,47.69,47.78,46.21,73.33,48.60,59.38,38.22,63.91
103學年,48.37,47.47,47.65,47.78,46.32,73.50,48.43,59.51,37.87,63.32
102學年,48.29,47.36,47.67,47.84,46.47,73.02,48.05,64.92,38.20,63.31
101學年,48.19,47.33,47.68,47.84,46.58,72.60,47.71,68.00,39.78,61.72
100學年,48.24,47.52,47.70,47.92,46.57,72.33,47.61,68.09,39.66,61.86
99學年,48.22,47.55,47.71,47.94,46.57,71.25,47.49,71.67,39.77,62.08
98學年,48.20,47.43,47.79,48.01,46.45,68.87,47.38,-,39.27,62.69
97學年,48.19,47.62,47.83,48.02,46.47,65.51,47.32,-,39.42,62.20
""
