學年別,總計,幼兒(稚)園,國民小學,國民中學,高級中等學校,高級中學,職業學校,專科學校,獨立學院,大學,宗教研修學院,特殊教育學校,高級中等進修學校,實用技能學程,空大及大專進修學校
106學年,67.32,98.57,71.04,69.12,58.18,-,-,71.50,37.95,34.56,44.00,73.82,-,-,35.96
105學年,66.85,98.65,70.89,68.95,57.87,-,-,71.39,37.39,34.17,38.30,72.91,-,-,37.63
104學年,66.61,98.69,70.75,68.82,57.85,-,-,69.84,37.60,34.11,25.93,72.48,-,-,30.00
103學年,66.32,98.69,70.50,68.60,57.89,-,-,68.78,40.12,33.62,26.32,72.06,-,-,31.62
102學年,66.02,98.69,70.05,68.42,-,60.86,52.23,67.95,38.31,33.45,28.13,71.59,47.66,34.09,30.71
101學年,65.79,98.77,69.60,68.24,-,60.79,52.55,68.70,38.58,33.01,34.62,72.69,49.09,48.65,40.94
100學年,61.93,99.13,69.32,68.16,-,60.61,52.49,68.54,39.28,32.34,33.33,71.79,48.78,59.46,31.39
99學年,61.66,99.04,69.01,68.09,-,60.26,52.25,69.09,40.60,31.71,30.77,72.74,49.83,53.85,33.33
98學年,61.71,98.84,68.65,67.88,-,60.35,51.79,67.42,40.08,31.20,-,73.30,50.44,56.10,34.95
97學年,61.68,98.87,68.51,67.76,-,60.01,51.05,67.11,39.55,32.11,-,72.66,48.19,55.17,37.14
""
