學年別,國民小學,國民中學,高級中等學校,高級中學,職業學校,專科學校,獨立學院,大學
106學年,30.38,33.20,20.94,-,-,23.08,26.67,7.75
105學年,30.49,33.56,20.36,-,-,23.08,15.79,7.14
104學年,30.12,33.42,20.16,-,-,23.08,15.79,7.14
103學年,29.77,34.42,19.48,-,-,14.29,-,5.65
102學年,30.08,32.79,-,24.71,12.90,7.14,-,6.56
101學年,29.70,32.16,-,25.88,10.97,7.14,3.57,6.67
100學年,29.18,31.00,-,22.02,10.97,13.33,6.25,6.03
99學年,28.41,30.27,-,21.19,10.90,20.00,8.33,4.46
98學年,27.95,29.46,-,20.30,10.90,20.00,6.82,5.71
97學年,27.20,28.38,-,19.31,10.90,33.33,8.89,4.90
""
