學年別,總計,幼兒(稚)園,國小,國中,高級中等學校普通科,高級中等學校綜合高中,高級中等學校專業群(職業)科,高級中等學校實用技能學程,高級中等學校進修部(學校),大專校院專科,大專校院學士班,大專校院碩士班,大專校院博士班,宗教研修學院,特殊教育學校,國小補校,國中補校,空大及進修學校二專,空大及進修學校二技,空大及進修學校學士班
106學年,186.83,22.14,48.65,27.71,13.16,1.91,13.39,1.40,1.77,3.85,41.83,7.16,1.20,0.01,0.25,0.42,0.25,0.71,0.52,0.49
105學年,191.35,20.93,49.87,29.19,13.21,2.16,14.11,1.48,2.01,4.06,43.14,7.20,1.22,0.01,0.26,0.41,0.25,0.81,0.53,0.50
104學年,196.50,19.67,51.69,31.83,13.17,2.45,14.36,1.52,2.23,4.15,44.07,7.25,1.25,0.01,0.27,0.41,0.26,0.89,0.52,0.51
103學年,201.82,18.97,53.46,34.28,13.28,2.78,14.76,1.61,2.51,4.24,44.26,7.38,1.30,0.01,0.27,0.41,0.26,0.95,0.57,0.53
102學年,207.91,19.18,55.50,35.59,13.67,3.16,15.41,1.73,2.86,4.35,44.30,7.59,1.35,0.01,0.29,0.44,0.29,1.01,0.64,0.54
101學年,214.76,19.71,58.90,36.24,13.86,3.41,15.84,1.90,3.20,4.35,44.52,7.85,1.40,0.01,0.30,0.47,0.31,1.15,0.74,0.59
100學年,209.26,8.17,62.73,37.60,13.70,3.60,15.78,2.07,3.56,4.36,44.48,7.93,1.45,0.01,0.30,0.52,0.33,1.17,0.84,0.65
99學年,214.39,7.94,65.61,39.71,13.45,3.85,15.65,2.24,3.78,4.44,44.11,7.99,1.48,0.01,0.30,0.58,0.36,1.24,0.94,0.72
98學年,219.12,7.87,68.92,41.03,13.27,4.17,15.34,2.21,4.01,4.70,43.73,7.93,1.46,-,0.31,0.67,0.37,1.37,1.07,0.69
97學年,224.24,8.06,72.81,41.32,13.14,4.50,15.04,2.05,4.27,5.11,43.67,7.85,1.43,-,0.30,0.71,0.40,1.66,1.19,0.73
""
