學年別,設立別,總計計,總計男,總計女,幼兒(稚)園計,幼兒(稚)園男,幼兒(稚)園女,國小計,國小男,國小女,國中計,國中男,國中女,高級中等學校普通科計,高級中等學校普通科男,高級中等學校普通科女,高級中等學校綜合高中計,高級中等學校綜合高中男,高級中等學校綜合高中女,高級中等學校專業群(職業)科計,高級中等學校專業群(職業)科男,高級中等學校專業群(職業)科女,高級中等學校實用技能學程計,高級中等學校實用技能學程男,高級中等學校實用技能學程女,高級中等學校進修部(學校)計,高級中等學校進修部(學校)男,高級中等學校進修部(學校)女,大專校院專科計,大專校院專科男,大專校院專科女,大專校院學士班計,大專校院學士班男,大專校院學士班女,大專校院碩士班計,大專校院碩士班男,大專校院碩士班女,大專校院博士班計,大專校院博士班男,大專校院博士班女,宗教研修學院計,宗教研修學院男,宗教研修學院女,特殊教育學校計,特殊教育學校男,特殊教育學校女,國小補校計,國小補校男,國小補校女,國中補校計,國中補校男,國中補校女,空大及進修學校二專計,空大及進修學校二專男,空大及進修學校二專女,空大及進修學校二技計,空大及進修學校二技男,空大及進修學校二技女,空大及進修學校學士班計,空大及進修學校學士班男,空大及進修學校學士班女
106學年,總計,4403701,2265265,2138436,521904,272206,249698,1146679,598546,548133,653273,341965,311308,310239,155511,154728,44929,21090,23839,315649,179493,136156,33038,19852,13186,41605,24544,17061,90838,23685,67153,985927,494187,491740,168783,92210,76573,28346,18958,9388,297,132,165,5953,3656,2297,9785,774,9011,5794,1063,4731,16651,7244,9407,12369,5556,6813,11642,4593,7049
106學年,公立,2729832,1433309,1296523,152618,78216,74402,1109935,579280,530655,566532,296301,270231,232749,116198,116551,29334,13800,15534,128586,79506,49080,10743,6716,4027,16235,10424,5811,9828,2759,7069,290266,156000,134266,116061,64575,51486,22074,14949,7125,-,-,-,5887,3612,2275,9785,774,9011,5584,853,4731,7130,2636,4494,4843,2117,2726,11642,4593,7049
106學年,私立,1673869,831956,841913,369286,193990,175296,36744,19266,17478,86741,45664,41077,77490,39313,38177,15595,7290,8305,187063,99987,87076,22295,13136,9159,25370,14120,11250,81010,20926,60084,695661,338187,357474,52722,27635,25087,6272,4009,2263,297,132,165,66,44,22,-,-,-,210,210,-,9521,4608,4913,7526,3439,4087,-,-,-
105學年,總計,4504363,2318647,2185716,492781,257742,235039,1173885,613157,560728,687212,359949,327263,311077,156265,154812,50737,23846,26891,332184,188184,144000,34794,20494,14300,47321,27919,19402,95684,25613,70071,1015398,508206,507192,169538,93583,75955,28821,19464,9357,229,98,131,6188,3816,2372,9594,736,8858,5796,1081,4715,18980,8453,10527,12365,5597,6768,11779,4444,7335
105學年,公立,2785759,1463594,1322165,145225,74883,70342,1138119,594308,543811,598062,312841,285221,229990,115053,114937,32407,15332,17075,129068,79615,49453,11330,6965,4365,18213,11592,6621,10339,2863,7476,289332,155199,134133,115452,64735,50717,22557,15392,7165,-,-,-,6105,3762,2343,9594,736,8858,5586,871,4715,7318,2734,4584,5283,2269,3014,11779,4444,7335
105學年,私立,1718604,855053,863551,347556,182859,164697,35766,18849,16917,89150,47108,42042,81087,41212,39875,18330,8514,9816,203116,108569,94547,23464,13529,9935,29108,16327,12781,85345,22750,62595,726066,353007,373059,54086,28848,25238,6264,4072,2192,229,98,131,83,54,29,-,-,-,210,210,-,11662,5719,5943,7082,3328,3754,-,-,-
104學年,總計,4616078,2380564,2235514,462115,242096,220019,1214360,635202,579158,747724,390473,357251,309410,155995,153415,57481,27447,30034,337354,191058,146296,35696,20672,15024,52349,30997,21352,97466,25990,71476,1035218,519902,515316,170428,94884,75544,29333,19999,9334,192,78,114,6261,3868,2393,9536,674,8862,6012,1166,4846,20917,9819,11098,12284,5763,6521,11942,4481,7461
104學年,公立,2884826,1514798,1370028,138979,71015,67964,1179134,616468,562666,655208,341584,313624,230285,115471,114814,35867,17108,18759,130717,80142,50575,11619,7033,4586,20388,12816,7572,10727,2905,7822,287029,153834,133195,114966,65046,49920,23166,15973,7193,-,-,-,6147,3795,2352,9536,674,8862,5779,933,4846,7566,2940,4626,5771,2580,3191,11942,4481,7461
104學年,私立,1731252,865766,865486,323136,171081,152055,35226,18734,16492,92516,48889,43627,79125,40524,38601,21614,10339,11275,206637,110916,95721,24077,13639,10438,31961,18181,13780,86739,23085,63654,748189,366068,382121,55462,29838,25624,6167,4026,2141,192,78,114,114,73,41,-,-,-,233,233,-,13351,6879,6472,6513,3183,3330,-,-,-
103學年,總計,4729465,2441816,2287649,444457,233464,210993,1252762,655841,596921,803233,419415,383818,311213,157719,153494,65042,31121,33921,345937,194292,151645,37741,21627,16114,58933,34787,24146,99270,26302,72968,1037062,522090,514972,172968,96694,76274,30549,21042,9507,163,66,97,6417,3987,2430,9568,613,8955,6205,1233,4972,22335,10622,11713,13270,6205,7065,12340,4696,7644
103學年,公立,2985206,1566864,1418342,134154,68593,65561,1218479,637430,581049,708894,369252,339642,232170,117121,115049,39251,18863,20388,133855,81304,52551,12118,7281,4837,22340,13813,8527,11214,3042,8172,283854,151450,132404,115205,65269,49936,24382,16983,7399,-,-,-,6302,3917,2385,9568,613,8955,5957,985,4972,8511,3363,5148,6612,2889,3723,12340,4696,7644
103學年,私立,1744259,874952,869307,310303,164871,145432,34283,18411,15872,94339,50163,44176,79043,40598,38445,25791,12258,13533,212082,112988,99094,25623,14346,11277,36593,20974,15619,88056,23260,64796,753208,370640,382568,57763,31425,26338,6167,4059,2108,163,66,97,115,70,45,-,-,-,248,248,-,13824,7259,6565,6658,3316,3342,-,-,-
102學年,總計,4859558,2512750,2346808,448189,235920,212269,1297120,678774,618346,831925,433967,397958,319422,162088,157334,73891,35238,38653,360206,201077,159129,40530,23165,17365,66909,39294,27615,101659,27428,74231,1035534,524160,511374,177305,100398,76907,31475,21890,9585,248,87,161,6746,4169,2577,10329,606,9723,6820,1313,5507,23680,11576,12104,15031,7184,7847,12539,4416,8123
102學年,公立,3075612,1612370,1463242,131910,67638,64272,1264084,660973,603111,738346,383873,354473,236449,119634,116815,43063,20715,22348,135447,81520,53927,13006,7741,5265,25335,15180,10155,11426,3057,8369,281317,150198,131119,117327,66808,50519,25357,17847,7510,-,-,-,6620,4091,2529,10329,606,9723,6579,1072,5507,8884,3504,5380,7594,3497,4097,12539,4416,8123
102學年,私立,1783946,900380,883566,316279,168282,147997,33036,17801,15235,93579,50094,43485,82973,42454,40519,30828,14523,16305,224759,119557,105202,27524,15424,12100,41574,24114,17460,90233,24371,65862,754217,373962,380255,59978,33590,26388,6118,4043,2075,248,87,161,126,78,48,-,-,-,241,241,-,14796,8072,6724,7437,3687,3750,-,-,-
101學年,總計,5007275,2594024,2413251,459653,242080,217573,1373366,718515,654851,844884,440711,404173,323170,164634,158536,79519,37392,42127,369436,205292,164144,44301,25057,19244,74698,43644,31054,101424,27789,73635,1038041,528515,509526,183094,104219,78875,32731,22923,9808,200,64,136,6885,4146,2739,10981,646,10335,7219,1504,5715,26789,13515,13274,17188,8433,8755,13696,4945,8751
101學年,公立,3175170,1665007,1510163,131423,67557,63866,1340762,700785,639977,752936,391250,361686,235041,120132,114909,45183,21785,23398,135004,81115,53889,13891,8185,5706,27727,16099,11628,10777,2762,8015,280348,149758,130590,119277,68025,51252,26624,18883,7741,-,-,-,6763,4067,2696,10981,646,10335,6953,1238,5715,9501,3829,5672,8283,3946,4337,13696,4945,8751
101學年,私立,1832105,929017,903088,328230,174523,153707,32604,17730,14874,91948,49461,42487,88129,44502,43627,34336,15607,18729,234432,124177,110255,30410,16872,13538,46971,27545,19426,90647,25027,65620,757693,378757,378936,63817,36194,27623,6107,4040,2067,200,64,136,122,79,43,-,-,-,266,266,-,17288,9686,7602,8905,4487,4418,-,-,-
100學年,總計,4860022,2515663,2344359,189792,99605,90187,1457004,762016,694988,873226,454815,418411,318284,162452,155832,83674,39252,44422,366449,203473,162976,48018,27130,20888,82763,48165,34598,101300,28027,73273,1032985,527456,505529,184113,104188,79925,33686,23696,9990,141,45,96,7014,4232,2782,12081,588,11493,7730,1582,6148,27202,13740,13462,19572,9578,9994,14988,5623,9365
100學年,公立,3233880,1693058,1540822,71335,36442,34893,1425102,744643,680459,782612,405990,376622,230440,118418,112022,46989,22519,24470,133464,79888,53576,14738,8651,6087,31700,17940,13760,10699,2762,7937,279050,148855,130195,119487,67340,52147,27625,19656,7969,-,-,-,6899,4160,2739,12081,588,11493,7460,1312,6148,10107,3954,6153,9104,4317,4787,14988,5623,9365
100學年,私立,1626142,822605,803537,118457,63163,55294,31902,17373,14529,90614,48825,41789,87844,44034,43810,36685,16733,19952,232985,123585,109400,33280,18479,14801,51063,30225,20838,90601,25265,65336,753935,378601,375334,64626,36848,27778,6061,4040,2021,141,45,96,115,72,43,-,-,-,270,270,-,17095,9786,7309,10468,5261,5207,-,-,-
99學年,總計,4965690,2571212,2394478,183901,96455,87446,1519746,794652,725094,919802,478868,440934,311554,159363,152191,89088,41555,47533,362514,201424,161090,51904,29677,22227,87494,50175,37319,102789,29555,73234,1021636,522307,499329,185000,104894,80106,34178,24298,9880,120,34,86,7006,4220,2786,13320,588,12732,8253,1690,6563,28801,14553,14248,21858,10370,11488,16726,6534,10192
99學年,公立,3348164,1749995,1598169,72027,36722,35305,1489022,777905,711117,828458,429699,398759,225490,116194,109296,48676,23047,25629,132062,78129,53933,15877,9377,6500,34002,18699,15303,11131,2926,8205,276890,147989,128901,119981,67315,52666,28214,20297,7917,-,-,-,6894,4147,2747,13320,588,12732,7997,1434,6563,11510,4605,6905,9887,4388,5499,16726,6534,10192
99學年,私立,1617526,821217,796309,111874,59733,52141,30724,16747,13977,91344,49169,42175,86064,43169,42895,40412,18508,21904,230452,123295,107157,36027,20300,15727,53492,31476,22016,91658,26629,65029,744746,374318,370428,65019,37579,27440,5964,4001,1963,120,34,86,112,73,39,-,-,-,256,256,-,17291,9948,7343,11971,5982,5989,-,-,-
98學年,總計,5065962,2624080,2441882,182049,95704,86345,1593398,831989,761409,948534,493111,455423,306787,157545,149242,96396,45183,51213,354608,197745,156863,51166,29803,21363,92752,52631,40121,108555,33792,74763,1010952,517021,493931,183401,105084,78317,33751,24141,9610,-,-,-,7145,4339,2806,15379,629,14750,8652,1876,6776,31775,16123,15652,24633,11561,13072,16029,5803,10226
98學年,公立,3451538,1800577,1650961,72991,37423,35568,1563363,815634,747729,856949,443759,413190,222773,114995,107778,50038,23582,26456,131173,77257,53916,16169,9726,6443,37258,20079,17179,11699,3095,8604,272422,145660,126762,118141,66756,51385,28046,20297,7749,-,-,-,7027,4261,2766,15379,629,14750,8422,1646,6776,13128,5478,7650,10531,4497,6034,16029,5803,10226
98學年,私立,1614424,823503,790921,109058,58281,50777,30035,16355,13680,91585,49352,42233,84014,42550,41464,46358,21601,24757,223435,120488,102947,34997,20077,14920,55494,32552,22942,96856,30697,66159,738530,371361,367169,65260,38328,26932,5705,3844,1861,-,-,-,118,78,40,-,-,-,230,230,-,18647,10645,8002,14102,7064,7038,-,-,-
97學年,總計,5165817,2676310,2489507,185668,97256,88412,1677439,875122,802317,951976,494875,457101,302741,155136,147605,103575,48820,54755,346563,193827,152736,47309,27894,19415,98376,55333,43043,117653,40575,77078,1006102,513338,492764,180809,105470,75339,32891,23731,9160,-,-,-,6875,4165,2710,16313,591,15722,9138,2046,7092,38143,20038,18105,27495,12572,14923,16751,5521,11230
97學年,公立,3533108,1841441,1691667,73329,37463,35866,1647522,858893,788629,859792,445084,414708,219596,113218,106378,50395,23819,26576,129710,76014,53696,15960,9799,6161,38585,20427,18158,12154,3288,8866,266782,142660,124122,116362,67091,49271,27438,20051,7387,-,-,-,6747,4080,2667,16313,591,15722,8914,1822,7092,15481,6903,8578,11277,4717,6560,16751,5521,11230
97學年,私立,1632709,834869,797840,112339,59793,52546,29917,16229,13688,92184,49791,42393,83145,41918,41227,53180,25001,28179,216853,117813,99040,31349,18095,13254,59791,34906,24885,105499,37287,68212,739320,370678,368642,64447,38379,26068,5453,3680,1773,-,-,-,128,85,43,-,-,-,224,224,-,22662,13135,9527,16218,7855,8363,-,-,-
""
