學年別,總計,幼兒(稚)園,國小,國中,高級中等學校,專科,大學以上,宗教研修學院,特殊教育學校,其他
106學年,100.000,11.851,26.039,14.835,16.928,2.063,26.865,0.007,0.135,1.277
105學年,100.000,10.940,26.061,15.257,17.230,2.124,26.946,0.005,0.137,1.299
104學年,100.000,10.011,26.307,16.198,17.164,2.111,26.754,0.004,0.136,1.315
103學年,100.000,9.398,26.488,16.984,17.314,2.099,26.231,0.003,0.136,1.347
102學年,100.000,9.223,26.692,17.119,17.717,2.092,25.605,0.005,0.139,1.408
101學年,100.000,9.180,27.427,16.873,17.797,2.026,25.041,0.004,0.137,1.515
100學年,100.000,3.905,29.979,17.968,18.502,2.084,25.736,0.003,0.144,1.678
99學年,100.000,3.703,30.605,18.523,18.176,2.070,24.988,0.002,0.141,1.791
98學年,100.000,3.594,31.453,18.724,17.799,2.143,24.242,-,0.141,1.904
97學年,100.000,3.594,32.472,18.428,17.394,2.278,23.613,-,0.133,2.088
""
