學年別,設立別,總計計,總計男,總計女,幼兒(稚)園計,幼兒(稚)園男,幼兒(稚)園女,國民小學計,國民小學男,國民小學女,國民中學計,國民中學男,國民中學女,高級中等學校計,高級中等學校男,高級中等學校女,高級中學計,高級中學男,高級中學女,職業學校計,職業學校男,職業學校女,專科學校計,專科學校男,專科學校女,獨立學院計,獨立學院男,獨立學院女,大學計,大學男,大學女,宗教研修學院計,宗教研修學院男,宗教研修學院女,特殊教育學校計,特殊教育學校男,特殊教育學校女,高級中等進修學校計,高級中等進修學校男,高級中等進修學校女,實用技能學程計,實用技能學程男,實用技能學程女,專科進修學校(含空專)計,專科進修學校(含空專)男,專科進修學校(含空專)女,進修學院(含空院)計,進修學院(含空院)男,進修學院(含空院)女,空中大學計,空中大學男,空中大學女
106學年,總計,293538,95933,197605,49089,703,48386,94407,27340,67067,46772,14441,32331,53943,22557,31386,-,-,-,-,-,-,1730,493,1237,1270,788,482,44412,29061,15351,50,28,22,1776,465,1311,-,-,-,-,-,-,6,5,1,16,7,9,67,45,22
106學年,公立,210153,70338,139815,13750,247,13503,92471,26943,65528,46302,14257,32045,36299,14910,21389,-,-,-,-,-,-,149,63,86,34,17,17,19340,13400,5940,-,-,-,1739,455,1284,-,-,-,-,-,-,1,1,-,1,-,1,67,45,22
106學年,私立,83385,25595,57790,35339,456,34883,1936,397,1539,470,184,286,17644,7647,9997,-,-,-,-,-,-,1581,430,1151,1236,771,465,25072,15661,9411,50,28,22,37,10,27,-,-,-,-,-,-,5,4,1,15,7,8,-,-,-
105學年,總計,294911,97749,197162,47184,635,46549,95081,27674,67407,48063,14922,33141,54575,22993,31582,-,-,-,-,-,-,1716,491,1225,1963,1229,734,44417,29238,15179,47,29,18,1772,480,1292,-,-,-,-,-,-,7,5,2,16,7,9,70,46,24
105學年,公立,211535,71269,140266,13200,218,12982,93157,27303,65854,47598,14733,32865,36218,14957,21261,-,-,-,-,-,-,151,63,88,34,19,15,19372,13458,5914,-,-,-,1733,471,1262,-,-,-,-,-,-,1,1,-,1,-,1,70,46,24
105學年,私立,83376,26480,56896,33984,417,33567,1924,371,1553,465,189,276,18357,8036,10321,-,-,-,-,-,-,1565,428,1137,1929,1210,719,25045,15780,9265,47,29,18,39,9,30,-,-,-,-,-,-,6,4,2,15,7,8,-,-,-
104學年,總計,299917,100142,199775,46169,605,45564,97368,28478,68890,50394,15711,34683,55340,23324,32016,-,-,-,-,-,-,1638,494,1144,2029,1266,763,45029,29668,15361,27,20,7,1813,499,1314,-,-,-,-,-,-,24,19,5,11,7,4,75,51,24
104學年,公立,216381,73133,143248,12882,216,12666,95488,28117,67371,49929,15510,34419,36540,15073,21467,-,-,-,-,-,-,123,68,55,34,18,16,19542,13591,5951,-,-,-,1768,489,1279,-,-,-,-,-,-,-,-,-,-,-,-,75,51,24
104學年,私立,83536,27009,56527,33287,389,32898,1880,361,1519,465,201,264,18800,8251,10549,-,-,-,-,-,-,1515,426,1089,1995,1248,747,25487,16077,9410,27,20,7,45,10,35,-,-,-,-,-,-,24,19,5,11,7,4,-,-,-
103學年,總計,303078,102086,200992,45341,593,44748,98580,29083,69497,52154,16378,35776,55699,23454,32245,-,-,-,-,-,-,1765,551,1214,2535,1518,1017,45057,29909,15148,19,14,5,1811,506,1305,-,-,-,-,-,-,28,22,6,13,6,7,76,52,24
103學年,公立,219078,74426,144652,12671,217,12454,96742,28744,67998,51616,16150,35466,36424,15010,21414,-,-,-,-,-,-,121,61,60,34,18,16,19628,13677,5951,-,-,-,1766,497,1269,-,-,-,-,-,-,-,-,-,-,-,-,76,52,24
103學年,私立,84000,27660,56340,32670,376,32294,1838,339,1499,538,228,310,19275,8444,10831,-,-,-,-,-,-,1644,490,1154,2501,1500,1001,25429,16232,9197,19,14,5,45,9,36,-,-,-,-,-,-,28,22,6,13,6,7,-,-,-
102學年,總計,303113,103000,200113,45296,595,44701,97436,29178,68258,52451,16563,35888,-,-,-,37842,14813,23029,17045,8143,8902,1741,558,1183,3310,2042,1268,44973,29928,15045,32,23,9,1813,515,1298,1003,525,478,44,29,15,35,27,8,14,8,6,78,53,25
102學年,公立,217915,74569,143346,12459,217,12242,95703,28850,66853,51932,16338,35594,-,-,-,23917,8864,15053,11986,5876,6110,122,61,61,379,209,170,19297,13479,5818,-,-,-,1767,479,1288,275,143,132,-,-,-,-,-,-,-,-,-,78,53,25
102學年,私立,85198,28431,56767,32837,378,32459,1733,328,1405,519,225,294,-,-,-,13925,5949,7976,5059,2267,2792,1619,497,1122,2931,1833,1098,25676,16449,9227,32,23,9,46,36,10,728,382,346,44,29,15,35,27,8,14,8,6,-,-,-
101學年,總計,301911,103282,198629,45004,554,44450,97466,29626,67840,51872,16474,35398,-,-,-,37159,14569,22590,17166,8146,9020,1738,544,1194,3976,2442,1534,44444,29771,14673,26,17,9,1827,499,1328,1047,533,514,37,19,18,33,27,6,19,11,8,97,50,47
101學年,公立,216412,74682,141730,12066,187,11879,95793,29305,66488,51317,16229,35088,-,-,-,23328,8666,14662,12072,5905,6167,147,58,89,498,281,217,19088,13395,5693,-,-,-,1785,490,1295,221,116,105,-,-,-,-,-,-,-,-,-,97,50,47
101學年,私立,85499,28600,56899,32938,367,32571,1673,321,1352,555,245,310,-,-,-,13831,5903,7928,5094,2241,2853,1591,486,1105,3478,2161,1317,25356,16376,8980,26,17,9,42,9,33,826,417,409,37,19,18,33,27,6,19,11,8,-,-,-
100學年,總計,271523,103360,168163,14918,130,14788,98559,30233,68326,51200,16304,34896,-,-,-,36407,14341,22066,16976,8066,8910,1691,532,1159,5196,3155,2041,43445,29393,14052,21,14,7,1829,516,1313,1107,567,540,37,15,22,35,27,8,25,16,9,77,51,26
100學年,公立,209939,74769,135170,6074,52,6022,96887,29928,66959,50666,16084,34582,-,-,-,22683,8464,14219,11920,5885,6035,204,68,136,859,443,416,18557,13168,5389,-,-,-,1789,507,1282,223,119,104,-,-,-,-,-,-,-,-,-,77,51,26
100學年,私立,61584,28591,32993,8844,78,8766,1672,305,1367,534,220,314,-,-,-,13724,5877,7847,5056,2181,2875,1487,464,1023,4337,2712,1625,24888,16225,8663,21,14,7,40,9,31,884,448,436,37,15,22,35,27,8,25,16,9,-,-,-
99學年,總計,273189,104732,168457,14630,141,14489,99562,30859,68703,51965,16582,35383,-,-,-,36257,14407,21850,16906,8073,8833,1598,494,1104,6318,3753,2565,42768,29208,13560,26,18,8,1790,488,1302,1170,587,583,52,24,28,30,22,8,35,21,14,82,55,27
99學年,公立,210863,75451,135412,5801,41,5760,97897,30556,67341,51426,16347,35079,-,-,-,22506,8457,14049,11801,5847,5954,189,57,132,937,489,448,18249,13001,5248,-,-,-,1752,481,1271,223,120,103,-,-,-,-,-,-,-,-,-,82,55,27
