學年別,設立別,總計計,總計男,總計女,幼兒(稚)園計,幼兒(稚)園男,幼兒(稚)園女,國民小學計,國民小學男,國民小學女,國民中學計,國民中學男,國民中學女,高級中等學校計,高級中等學校男,高級中等學校女,高級中學計,高級中學男,高級中學女,職業學校計,職業學校男,職業學校女,專科學校計,專科學校男,專科學校女,獨立學院計,獨立學院男,獨立學院女,大學計,大學男,大學女,宗教研修學院計,宗教研修學院男,宗教研修學院女,特殊教育學校計,特殊教育學校男,特殊教育學校女,高級中等進修學校計,高級中等進修學校男,高級中等進修學校女,實用技能學程計,實用技能學程男,實用技能學程女,專科進修學校(含空專)計,專科進修學校(含空專)男,專科進修學校(含空專)女,進修學院(含空院)計,進修學院(含空院)男,進修學院(含空院)女,空中大學計,空中大學男,空中大學女
106學年,總計,75891,19955,55936,16321,4318,12003,9026,1486,7540,6565,1387,5178,10880,3503,7377,-,-,-,-,-,-,807,210,597,931,299,632,29772,8417,21355,96,31,65,1196,236,960,-,-,-,-,-,-,4,-,4,61,9,52,232,59,173
106學年,公立,41215,9519,31696,3975,459,3516,8775,1445,7330,6437,1342,5095,6662,2127,4535,-,-,-,-,-,-,125,46,79,58,17,41,13746,3789,9957,-,-,-,1167,231,936,-,-,-,-,-,-,-,-,-,38,4,34,232,59,173
106學年,私立,34676,10436,24240,12346,3859,8487,251,41,210,128,45,83,4218,1376,2842,-,-,-,-,-,-,682,164,518,873,282,591,16026,4628,11398,96,31,65,29,5,24,-,-,-,-,-,-,4,-,4,23,5,18,-,-,-
105學年,總計,75026,19750,55276,15758,4211,11547,8985,1458,7527,6645,1390,5255,10969,3500,7469,-,-,-,-,-,-,774,197,577,1273,395,878,29041,8253,20788,81,24,57,1190,244,946,-,-,-,-,-,-,1,-,1,79,20,59,230,58,172
105學年,公立,40741,9390,31351,3925,454,3471,8736,1417,7319,6522,1347,5175,6613,2113,4500,-,-,-,-,-,-,116,36,80,54,17,37,13344,3705,9639,-,-,-,1164,239,925,-,-,-,-,-,-,-,-,-,37,4,33,230,58,172
105學年,私立,34285,10360,23925,11833,3757,8076,249,41,208,123,43,80,4356,1387,2969,-,-,-,-,-,-,658,161,497,1219,378,841,15697,4548,11149,81,24,57,26,5,21,-,-,-,-,-,-,1,-,1,42,16,26,-,-,-
104學年,總計,74144,19546,54598,15448,4203,11245,8936,1458,7478,6659,1375,5284,10969,3456,7513,-,-,-,-,-,-,738,184,554,1283,401,882,28635,8146,20489,48,12,36,1192,250,942,-,-,-,-,-,-,1,-,1,80,18,62,155,43,112
104學年,公立,40244,9277,30967,3866,468,3398,8686,1415,7271,6543,1333,5210,6593,2083,4510,-,-,-,-,-,-,104,30,74,58,19,39,13030,3636,9394,-,-,-,1173,245,928,-,-,-,-,-,-,-,-,-,36,5,31,155,43,112
104學年,私立,33900,10269,23631,11582,3735,7847,250,43,207,116,42,74,4376,1373,3003,-,-,-,-,-,-,634,154,480,1225,382,843,15605,4510,11095,48,12,36,19,5,14,-,-,-,-,-,-,1,-,1,44,13,31,-,-,-
103學年,總計,73767,19486,54281,15093,4154,10939,8805,1408,7397,6717,1382,5335,11012,3407,7605,-,-,-,-,-,-,800,195,605,1591,478,1113,28303,8160,20143,40,7,33,1178,235,943,-,-,-,-,-,-,6,2,4,90,22,68,132,36,96
103學年,公立,39871,9149,30722,3759,478,3281,8562,1361,7201,6578,1331,5247,6479,2002,4477,-,-,-,-,-,-,101,34,67,60,20,40,13002,3651,9351,-,-,-,1160,231,929,-,-,-,-,-,-,-,-,-,38,5,33,132,36,96
103學年,私立,33896,10337,23559,11334,3676,7658,243,47,196,139,51,88,4533,1405,3128,-,-,-,-,-,-,699,161,538,1531,458,1073,15301,4509,10792,40,7,33,18,4,14,-,-,-,-,-,-,6,2,4,52,17,35,-,-,-
102學年,總計,72863,19142,53721,14552,3836,10716,8621,1397,7224,6592,1360,5232,-,-,-,6760,1801,4959,4063,1513,2550,770,204,566,1982,581,1401,27865,8071,19794,72,22,50,1144,234,910,232,64,168,6,2,4,24,6,18,79,17,62,101,34,67
102學年,公立,39445,9093,30352,3682,490,3192,8341,1344,6997,6484,1324,5160,-,-,-,3728,879,2849,2608,1030,1578,106,34,72,244,57,187,12893,3644,9249,-,-,-,1125,229,896,78,23,55,-,-,-,14,2,12,41,3,38,101,34,67
102學年,私立,33418,10049,23369,10870,3346,7524,280,53,227,108,36,72,-,-,-,3032,922,2110,1455,483,972,664,170,494,1738,524,1214,14972,4427,10545,72,22,50,19,5,14,154,41,113,6,2,4,10,4,6,38,14,24,-,-,-
101學年,總計,71685,18977,52708,14121,3779,10342,8322,1271,7051,6480,1334,5146,-,-,-,6635,1769,4866,4040,1532,2508,765,194,571,2228,674,1554,27407,8028,19379,69,19,50,1105,237,868,256,75,181,7,2,5,30,8,22,74,13,61,146,42,104
