學年別,國民小學學士,國民小學碩士,國民小學博士,國民小學其他,國民中學學士,國民中學碩士,國民中學博士,國民中學其他,高級中等學校學士,高級中等學校碩士,高級中等學校博士,高級中等學校其他,高級中學學士,高級中學碩士,高級中學博士,高級中學其他,職業學校學士,職業學校碩士,職業學校博士,職業學校其他,專科學校學士,專科學校碩士,專科學校博士,專科學校其他,獨立學院學士,獨立學院碩士,獨立學院博士,獨立學院其他,大學學士,大學碩士,大學博士,大學其他
106學年,42.42,56.12,1.09,0.37,42.84,56.17,0.92,0.07,36.64,59.72,1.94,1.69,-,-,-,-,-,-,-,-,16.88,55.95,26.42,0.75,6.30,38.03,52.68,2.99,2.92,17.81,78.87,0.40
105學年,44.47,54.13,0.94,0.46,46.06,52.82,1.01,0.10,38.74,57.49,1.81,1.96,-,-,-,-,-,-,-,-,17.60,55.36,26.22,0.82,5.55,40.09,51.60,2.75,3.10,18.00,78.53,0.38
104學年,47.73,50.76,0.96,0.56,50.76,48.44,0.68,0.12,41.01,55.21,1.67,2.11,-,-,-,-,-,-,-,-,15.69,57.51,25.95,0.85,4.93,40.81,51.11,3.15,3.27,18.74,77.63,0.36
103學年,51.49,47.02,0.80,0.69,54.70,44.37,0.73,0.20,43.03,53.24,1.53,2.21,-,-,-,-,-,-,-,-,14.73,58.81,25.78,0.68,4.42,41.34,51.83,2.41,3.46,19.24,76.87,0.43
102學年,55.21,43.04,0.74,1.00,58.73,40.41,0.52,0.34,-,-,-,-,45.74,51.24,1.22,1.80,44.14,50.78,1.58,3.49,13.33,61.40,24.47,0.80,4.56,42.05,51.69,1.69,3.59,19.92,76.08,0.41
101學年,59.00,39.21,0.58,1.21,61.91,37.01,0.40,0.67,-,-,-,-,48.60,48.39,1.05,1.95,46.99,48.16,1.38,3.47,14.84,62.31,22.32,0.52,4.45,43.54,50.55,1.46,4.01,20.56,75.01,0.42
100學年,63.68,34.53,0.53,1.26,66.26,32.93,0.46,0.35,-,-,-,-,51.13,45.57,0.94,2.36,49.87,45.31,1.18,3.64,13.54,63.63,22.53,0.30,4.79,44.53,49.29,1.39,4.60,20.75,74.25,0.40
99學年,68.24,29.76,0.42,1.59,70.47,28.77,0.33,0.43,-,-,-,-,54.16,42.50,0.83,2.52,52.69,42.44,1.05,3.82,13.64,64.33,21.53,0.50,5.75,47.66,45.36,1.23,5.16,21.49,72.93,0.43
98學年,72.35,25.42,0.34,1.89,73.44,25.74,0.34,0.47,-,-,-,-,56.51,40.73,-,2.76,55.01,41.03,-,3.96,10.36,68.44,20.93,0.27,5.96,49.92,42.98,1.15,5.48,22.01,72.11,0.40
97學年,76.41,21.08,0.23,2.28,76.24,22.87,0.27,0.62,-,-,-,-,58.28,38.82,-,2.91,57.24,38.12,-,4.63,11.74,68.59,19.04,0.63,6.88,52.17,39.81,1.13,7.21,23.56,68.74,0.49
""
