學年別,設立別,總計計,總計男,總計女,國小計,國小男,國小女,國中計,國中男,國中女,高級中等學校普通科計,高級中等學校普通科男,高級中等學校普通科女,高級中等學校綜合高中計,高級中等學校綜合高中男,高級中等學校綜合高中女,高級中等學校專業群(職業)科計,高級中等學校專業群(職業)科男,高級中等學校專業群(職業)科女,高級中等學校實用技能學程計,高級中等學校實用技能學程男,高級中等學校實用技能學程女,高級中等學校進修部(學校)計,高級中等學校進修部(學校)男,高級中等學校進修部(學校)女,大專校院副學士計,大專校院副學士男,大專校院副學士女,大專校院學士計,大專校院學士男,大專校院學士女,大專校院碩士計,大專校院碩士男,大專校院碩士女,大專校院博士計,大專校院博士男,大專校院博士女,宗教研修學院計,宗教研修學院男,宗教研修學院女,特殊教育學校計,特殊教育學校男,特殊教育學校女,國小補校計,國小補校男,國小補校女,國中補校計,國中補校男,國中補校女,空大及進修學校副學士計,空大及進修學校副學士男,空大及進修學校副學士女,空大及進修學校二年制學士計,空大及進修學校二年制學士男,空大及進修學校二年制學士女,空大及進修學校四年制學士計,空大及進修學校四年制學士男,空大及進修學校四年制學士女
105學年,總計,1001893,505193,496700,208832,108750,100082,236042,121894,114148,94269,46604,47665,16524,7495,9029,98425,53792,44633,9875,5436,4439,14549,8345,6204,17403,4219,13184,228793,107933,120860,54941,30857,24084,3512,2415,1097,41,13,28,1846,1148,698,1541,78,1463,1427,329,1098,6483,2797,3686,5455,2332,3123,1935,756,1179
105學年,公立,654918,340264,314654,203277,105780,97497,206503,106303,100200,69804,34296,35508,10507,4743,5764,38793,23218,15575,3019,1774,1245,4917,2960,1957,2058,540,1518,65226,33384,31842,36919,21389,15530,2790,1947,843,-,-,-,1813,1124,689,1541,78,1463,1359,261,1098,1967,684,1283,2490,1027,1463,1935,756,1179
105學年,私立,346975,164929,182046,5555,2970,2585,29539,15591,13948,24465,12308,12157,6017,2752,3265,59632,30574,29058,6856,3662,3194,9632,5385,4247,15345,3679,11666,163567,74549,89018,18022,9468,8554,722,468,254,41,13,28,33,24,9,-,-,-,68,68,-,4516,2113,2403,2965,1305,1660,-,-,-
104學年,總計,1059904,537749,522155,214785,113006,101779,265886,136821,129065,98624,48771,49853,20587,9649,10938,103398,56668,46730,10934,6146,4788,16629,9608,7021,17485,4386,13099,232417,110738,121679,55752,31282,24470,3623,2475,1148,48,19,29,1906,1191,715,1560,85,1475,1696,355,1341,7378,3409,3969,5380,2475,2905,1816,665,1151
104學年,公立,700485,364079,336406,209506,110135,99371,234812,120430,114382,74339,36219,38120,12314,5592,6722,41402,24191,17211,3382,1971,1411,6187,3652,2535,2176,539,1637,65069,33726,31343,37021,21583,15438,2898,2005,893,-,-,-,1874,1169,705,1560,85,1475,1622,281,1341,2109,777,1332,2398,1059,1339,1816,665,1151
104學年,私立,359419,173670,185749,5279,2871,2408,31074,16391,14683,24285,12552,11733,8273,4057,4216,61996,32477,29519,7552,4175,3377,10442,5956,4486,15309,3847,11462,167348,77012,90336,18731,9699,9032,725,470,255,48,19,29,32,22,10,-,-,-,74,74,-,5269,2632,2637,2982,1416,1566,-,-,-
103學年,總計,1110507,563660,546847,230012,120368,109644,276628,143189,133439,105132,52929,52203,23686,10986,12700,112454,60913,51541,12304,6907,5397,19062,10770,8292,18842,4640,14202,229546,109280,120266,57461,32102,25359,4000,2804,1196,13,5,8,2105,1268,837,1747,82,1665,1643,382,1261,7776,3354,4422,6242,2870,3372,1854,811,1043
103學年,公立,733450,381387,352063,224771,117529,107242,245604,126692,118912,76685,38446,38239,13490,6378,7112,41986,24570,17416,3817,2224,1593,6470,3693,2777,2543,648,1895,64039,32357,31682,37653,21783,15870,3278,2344,934,-,-,-,2080,1254,826,1747,82,1665,1571,310,1261,2636,865,1771,3226,1401,1825,1854,811,1043
103學年,私立,377057,182273,194784,5241,2839,2402,31024,16497,14527,28447,14483,13964,10196,4608,5588,70468,36343,34125,8487,4683,3804,12592,7077,5515,16299,3992,12307,165507,76923,88584,19808,10319,9489,722,460,262,13,5,8,25,14,11,-,-,-,72,72,-,5140,2489,2651,3016,1469,1547,-,-,-
102學年,總計,1121216,570896,550320,242831,126857,115974,267798,138973,128825,103559,51676,51883,25399,11635,13764,113779,61649,52130,12582,6945,5637,21728,12262,9466,18240,4580,13660,228762,109490,119272,59991,34484,25507,4048,2870,1178,13,7,6,2086,1262,824,1783,83,1700,1848,386,1462,7816,3690,4126,7003,3342,3661,1950,705,1245
102學年,公立,741239,386187,355052,237575,124046,113529,238449,123178,115271,75041,37428,37613,14464,6713,7751,41609,24444,17165,3874,2233,1641,7592,4192,3400,2180,511,1669,64443,33068,31375,39561,23237,16324,3364,2414,950,-,-,-,2075,1256,819,1783,83,1700,1780,318,1462,2197,779,1418,3302,1582,1720,1950,705,1245
102學年,私立,379977,184709,195268,5256,2811,2445,29349,15795,13554,28518,14248,14270,10935,4922,6013,72170,37205,34965,8708,4712,3996,14136,8070,6066,16060,4069,11991,164319,76422,87897,20430,11247,9183,684,456,228,13,7,6,11,6,5,-,-,-,68,68,-,5619,2911,2708,3701,1760,1941,-,-,-
101學年,總計,1171773,598138,573635,275346,143475,131871,284579,147527,137052,102634,51468,51166,26197,11883,14314,111933,60618,51315,14160,7776,6384,22986,13043,9943,18075,4766,13309,226799,109442,117357,60218,34706,25512,4241,3007,1234,30,9,21,2004,1179,825,2097,103,1994,2010,488,1522,8598,3994,4604,7395,3501,3894,2471,1153,1318
101學年,公立,789660,411551,378109,269784,140503,129281,255159,131764,123395,73756,37217,36539,14670,6818,7852,41318,24163,17155,4121,2328,1793,8075,4415,3660,2174,492,1682,63890,33105,30785,39328,23174,16154,3538,2545,993,-,-,-,1989,1168,821,2097,103,1994,1916,394,1522,2344,790,1554,3030,1419,1611,2471,1153,1318
