學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,1年級計,1年級國立,1年級直轄市立,1年級縣市立,1年級私立,2年級計,2年級國立,2年級直轄市立,2年級縣市立,2年級私立,3年級計,3年級國立,3年級直轄市立,3年級縣市立,3年級私立
106學年,總計,455,-,322,124,9,144,-,104,37,3,151,-,108,40,3,160,-,110,47,3
106學年,新北市,84,-,84,-,-,28,-,28,-,-,26,-,26,-,-,30,-,30,-,-
106學年,臺北市,37,-,37,-,-,12,-,12,-,-,13,-,13,-,-,12,-,12,-,-
106學年,桃園市,45,-,42,-,3,15,-,14,-,1,16,-,15,-,1,14,-,13,-,1
106學年,臺中市,94,-,94,-,-,31,-,31,-,-,31,-,31,-,-,32,-,32,-,-
106學年,臺南市,24,-,21,-,3,8,-,7,-,1,7,-,6,-,1,9,-,8,-,1
106學年,高雄市,44,-,44,-,-,12,-,12,-,-,17,-,17,-,-,15,-,15,-,-
106學年,宜蘭縣,12,-,-,12,-,4,-,-,4,-,4,-,-,4,-,4,-,-,4,-
106學年,新竹縣,6,-,-,6,-,2,-,-,2,-,2,-,-,2,-,2,-,-,2,-
106學年,苗栗縣,2,-,-,2,-,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-
106學年,彰化縣,22,-,-,22,-,6,-,-,6,-,7,-,-,7,-,9,-,-,9,-
106學年,南投縣,10,-,-,10,-,3,-,-,3,-,4,-,-,4,-,3,-,-,3,-
106學年,雲林縣,10,-,-,10,-,1,-,-,1,-,4,-,-,4,-,5,-,-,5,-
106學年,嘉義縣,4,-,-,4,-,1,-,-,1,-,3,-,-,3,-,-,-,-,-,-
106學年,屏東縣,19,-,-,19,-,5,-,-,5,-,5,-,-,5,-,9,-,-,9,-
106學年,臺東縣,3,-,-,3,-,1,-,-,1,-,-,-,-,-,-,2,-,-,2,-
106學年,花蓮縣,12,-,-,9,3,5,-,-,4,1,3,-,-,2,1,4,-,-,3,1
106學年,澎湖縣,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
106學年,基隆市,13,-,-,13,-,5,-,-,5,-,4,-,-,4,-,4,-,-,4,-
106學年,新竹市,4,-,-,4,-,1,-,-,1,-,1,-,-,1,-,2,-,-,2,-
106學年,嘉義市,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
106學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,463,-,321,133,9,152,-,109,40,3,159,-,109,47,3,152,-,103,46,3
105學年,新北市,83,-,83,-,-,26,-,26,-,-,30,-,30,-,-,27,-,27,-,-
105學年,臺北市,37,-,37,-,-,13,-,13,-,-,12,-,12,-,-,12,-,12,-,-
105學年,桃園市,45,-,42,-,3,17,-,16,-,1,13,-,12,-,1,15,-,14,-,1
105學年,臺中市,93,-,93,-,-,31,-,31,-,-,32,-,32,-,-,30,-,30,-,-
105學年,臺南市,25,-,22,-,3,7,-,6,-,1,9,-,8,-,1,9,-,8,-,1
105學年,高雄市,44,-,44,-,-,17,-,17,-,-,15,-,15,-,-,12,-,12,-,-
105學年,宜蘭縣,12,-,-,12,-,4,-,-,4,-,4,-,-,4,-,4,-,-,4,-
105學年,新竹縣,5,-,-,5,-,2,-,-,2,-,2,-,-,2,-,1,-,-,1,-
105學年,苗栗縣,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
105學年,彰化縣,24,-,-,24,-,7,-,-,7,-,9,-,-,9,-,8,-,-,8,-
105學年,南投縣,10,-,-,10,-,4,-,-,4,-,3,-,-,3,-,3,-,-,3,-
105學年,雲林縣,13,-,-,13,-,4,-,-,4,-,4,-,-,4,-,5,-,-,5,-
105學年,嘉義縣,4,-,-,4,-,3,-,-,3,-,-,-,-,-,-,1,-,-,1,-
105學年,屏東縣,23,-,-,23,-,5,-,-,5,-,9,-,-,9,-,9,-,-,9,-
105學年,臺東縣,3,-,-,3,-,-,-,-,-,-,2,-,-,2,-,1,-,-,1,-
105學年,花蓮縣,12,-,-,9,3,3,-,-,2,1,5,-,-,4,1,4,-,-,3,1
105學年,澎湖縣,2,-,-,2,-,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-
105學年,基隆市,14,-,-,14,-,4,-,-,4,-,4,-,-,4,-,6,-,-,6,-
105學年,新竹市,4,-,-,4,-,1,-,-,1,-,2,-,-,2,-,1,-,-,1,-
105學年,嘉義市,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
105學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,479,-,327,143,9,161,-,111,47,3,152,-,102,47,3,166,-,114,49,3
104學年,新北市,87,-,87,-,-,30,-,30,-,-,27,-,27,-,-,30,-,30,-,-
104學年,臺北市,37,-,37,-,-,13,-,13,-,-,12,-,12,-,-,12,-,12,-,-
104學年,桃園市,44,-,41,-,3,14,-,13,-,1,14,-,13,-,1,16,-,15,-,1
104學年,臺中市,92,-,92,-,-,32,-,32,-,-,30,-,30,-,-,30,-,30,-,-
104學年,臺南市,27,-,24,-,3,9,-,8,-,1,9,-,8,-,1,9,-,8,-,1
104學年,高雄市,46,-,46,-,-,15,-,15,-,-,12,-,12,-,-,19,-,19,-,-
104學年,宜蘭縣,15,-,-,15,-,5,-,-,5,-,5,-,-,5,-,5,-,-,5,-
104學年,新竹縣,5,-,-,5,-,2,-,-,2,-,1,-,-,1,-,2,-,-,2,-
104學年,苗栗縣,2,-,-,2,-,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-
104學年,彰化縣,26,-,-,26,-,9,-,-,9,-,8,-,-,8,-,9,-,-,9,-
104學年,南投縣,10,-,-,10,-,3,-,-,3,-,3,-,-,3,-,4,-,-,4,-
104學年,雲林縣,14,-,-,14,-,4,-,-,4,-,5,-,-,5,-,5,-,-,5,-
104學年,嘉義縣,4,-,-,4,-,-,-,-,-,-,1,-,-,1,-,3,-,-,3,-
104學年,屏東縣,26,-,-,26,-,9,-,-,9,-,9,-,-,9,-,8,-,-,8,-
104學年,臺東縣,3,-,-,3,-,2,-,-,2,-,1,-,-,1,-,-,-,-,-,-
104學年,花蓮縣,12,-,-,9,3,5,-,-,4,1,4,-,-,3,1,3,-,-,2,1
104學年,澎湖縣,2,-,-,2,-,-,-,-,-,-,1,-,-,1,-,1,-,-,1,-
104學年,基隆市,16,-,-,16,-,4,-,-,4,-,6,-,-,6,-,6,-,-,6,-
104學年,新竹市,2,-,-,2,-,1,-,-,1,-,1,-,-,1,-,-,-,-,-,-
104學年,嘉義市,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
104學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,491,-,291,191,9,154,-,90,61,3,164,-,100,61,3,173,-,101,69,3
103學年,新北市,86,-,86,-,-,27,-,27,-,-,30,-,30,-,-,29,-,29,-,-
103學年,臺北市,38,-,38,-,-,13,-,13,-,-,12,-,12,-,-,13,-,13,-,-
103學年,臺中市,92,-,92,-,-,30,-,30,-,-,30,-,30,-,-,32,-,32,-,-
103學年,臺南市,29,-,26,-,3,9,-,8,-,1,10,-,9,-,1,10,-,9,-,1
103學年,高雄市,49,-,49,-,-,12,-,12,-,-,19,-,19,-,-,18,-,18,-,-
103學年,宜蘭縣,15,-,-,15,-,5,-,-,5,-,5,-,-,5,-,5,-,-,5,-
103學年,桃園縣,44,-,-,41,3,14,-,-,13,1,14,-,-,13,1,16,-,-,15,1
103學年,新竹縣,6,-,-,6,-,2,-,-,2,-,2,-,-,2,-,2,-,-,2,-
103學年,苗栗縣,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
103學年,彰化縣,25,-,-,25,-,7,-,-,7,-,8,-,-,8,-,10,-,-,10,-
103學年,南投縣,10,-,-,10,-,3,-,-,3,-,4,-,-,4,-,3,-,-,3,-
103學年,雲林縣,15,-,-,15,-,5,-,-,5,-,5,-,-,5,-,5,-,-,5,-
103學年,嘉義縣,4,-,-,4,-,1,-,-,1,-,3,-,-,3,-,-,-,-,-,-
103學年,屏東縣,27,-,-,27,-,9,-,-,9,-,8,-,-,8,-,10,-,-,10,-
103學年,臺東縣,2,-,-,2,-,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-
103學年,花蓮縣,13,-,-,10,3,4,-,-,3,1,3,-,-,2,1,6,-,-,5,1
103學年,澎湖縣,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
103學年,基隆市,19,-,-,19,-,6,-,-,6,-,6,-,-,6,-,7,-,-,7,-
103學年,新竹市,2,-,-,2,-,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-
103學年,嘉義市,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
103學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,516,-,308,199,9,166,-,101,62,3,171,-,102,66,3,179,-,105,71,3
102學年,新北市,88,-,88,-,-,30,-,30,-,-,29,-,29,-,-,29,-,29,-,-
102學年,臺北市,39,-,39,-,-,13,-,13,-,-,13,-,13,-,-,13,-,13,-,-
