學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,初級部計,初級部國立,初級部直轄市立,初級部縣市立,初級部私立,高級部1年級計,高級部1年級國立,高級部1年級直轄市立,高級部1年級縣市立,高級部1年級私立,高級部2年級計,高級部2年級國立,高級部2年級直轄市立,高級部2年級縣市立,高級部2年級私立
106學年,總計,568,-,423,145,-,196,-,145,51,-,184,-,135,49,-,188,-,143,45,-
106學年,新北市,154,-,154,-,-,55,-,55,-,-,47,-,47,-,-,52,-,52,-,-
106學年,臺北市,69,-,69,-,-,23,-,23,-,-,23,-,23,-,-,23,-,23,-,-
106學年,桃園市,46,-,46,-,-,15,-,15,-,-,17,-,17,-,-,14,-,14,-,-
106學年,臺中市,85,-,85,-,-,27,-,27,-,-,29,-,29,-,-,29,-,29,-,-
106學年,臺南市,46,-,46,-,-,16,-,16,-,-,13,-,13,-,-,17,-,17,-,-
106學年,高雄市,23,-,23,-,-,9,-,9,-,-,6,-,6,-,-,8,-,8,-,-
106學年,宜蘭縣,24,-,-,24,-,10,-,-,10,-,7,-,-,7,-,7,-,-,7,-
106學年,新竹縣,8,-,-,8,-,3,-,-,3,-,3,-,-,3,-,2,-,-,2,-
106學年,苗栗縣,15,-,-,15,-,4,-,-,4,-,6,-,-,6,-,5,-,-,5,-
106學年,彰化縣,9,-,-,9,-,2,-,-,2,-,4,-,-,4,-,3,-,-,3,-
106學年,南投縣,7,-,-,7,-,3,-,-,3,-,2,-,-,2,-,2,-,-,2,-
106學年,雲林縣,17,-,-,17,-,6,-,-,6,-,4,-,-,4,-,7,-,-,7,-
106學年,嘉義縣,6,-,-,6,-,2,-,-,2,-,3,-,-,3,-,1,-,-,1,-
106學年,屏東縣,21,-,-,21,-,6,-,-,6,-,7,-,-,7,-,8,-,-,8,-
106學年,臺東縣,2,-,-,2,-,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-
106學年,花蓮縣,7,-,-,7,-,3,-,-,3,-,3,-,-,3,-,1,-,-,1,-
106學年,澎湖縣,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
106學年,基隆市,18,-,-,18,-,6,-,-,6,-,6,-,-,6,-,6,-,-,6,-
106學年,新竹市,7,-,-,7,-,4,-,-,4,-,2,-,-,2,-,1,-,-,1,-
106學年,嘉義市,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
106學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,585,-,437,148,-,189,-,142,47,-,194,-,146,48,-,202,-,149,53,-
105學年,新北市,160,-,160,-,-,54,-,54,-,-,55,-,55,-,-,51,-,51,-,-
105學年,臺北市,72,-,72,-,-,24,-,24,-,-,24,-,24,-,-,24,-,24,-,-
105學年,桃園市,49,-,49,-,-,16,-,16,-,-,15,-,15,-,-,18,-,18,-,-
105學年,臺中市,83,-,83,-,-,30,-,30,-,-,29,-,29,-,-,24,-,24,-,-
105學年,臺南市,48,-,48,-,-,12,-,12,-,-,15,-,15,-,-,21,-,21,-,-
105學年,高雄市,25,-,25,-,-,6,-,6,-,-,8,-,8,-,-,11,-,11,-,-
105學年,宜蘭縣,24,-,-,24,-,7,-,-,7,-,7,-,-,7,-,10,-,-,10,-
105學年,新竹縣,8,-,-,8,-,3,-,-,3,-,2,-,-,2,-,3,-,-,3,-
105學年,苗栗縣,15,-,-,15,-,5,-,-,5,-,6,-,-,6,-,4,-,-,4,-
105學年,彰化縣,10,-,-,10,-,2,-,-,2,-,3,-,-,3,-,5,-,-,5,-
105學年,南投縣,7,-,-,7,-,2,-,-,2,-,2,-,-,2,-,3,-,-,3,-
105學年,雲林縣,16,-,-,16,-,4,-,-,4,-,6,-,-,6,-,6,-,-,6,-
