學年別,縣市別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
105學年,總計,1427,329,1098,-,-,-,1034,191,843,325,70,255,68,68,-
105學年,新北市,320,48,272,-,-,-,320,48,272,-,-,-,-,-,-
105學年,臺北市,80,15,65,-,-,-,80,15,65,-,-,-,-,-,-
105學年,桃園市,185,65,120,-,-,-,162,42,120,-,-,-,23,23,-
105學年,臺中市,278,54,224,-,-,-,278,54,224,-,-,-,-,-,-
105學年,臺南市,74,40,34,-,-,-,47,13,34,-,-,-,27,27,-
105學年,高雄市,147,19,128,-,-,-,147,19,128,-,-,-,-,-,-
105學年,宜蘭縣,49,14,35,-,-,-,-,-,-,49,14,35,-,-,-
105學年,新竹縣,3,-,3,-,-,-,-,-,-,3,-,3,-,-,-
105學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,彰化縣,65,14,51,-,-,-,-,-,-,65,14,51,-,-,-
105學年,南投縣,24,3,21,-,-,-,-,-,-,24,3,21,-,-,-
105學年,雲林縣,27,3,24,-,-,-,-,-,-,27,3,24,-,-,-
105學年,嘉義縣,13,1,12,-,-,-,-,-,-,13,1,12,-,-,-
105學年,屏東縣,51,15,36,-,-,-,-,-,-,51,15,36,-,-,-
105學年,臺東縣,6,1,5,-,-,-,-,-,-,6,1,5,-,-,-
105學年,花蓮縣,32,23,9,-,-,-,-,-,-,14,5,9,18,18,-
105學年,澎湖縣,5,3,2,-,-,-,-,-,-,5,3,2,-,-,-
105學年,基隆市,43,5,38,-,-,-,-,-,-,43,5,38,-,-,-
105學年,新竹市,11,1,10,-,-,-,-,-,-,11,1,10,-,-,-
105學年,嘉義市,14,5,9,-,-,-,-,-,-,14,5,9,-,-,-
105學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,1696,355,1341,-,-,-,1227,198,1029,395,83,312,74,74,-
104學年,新北市,414,51,363,-,-,-,414,51,363,-,-,-,-,-,-
104學年,臺北市,111,17,94,-,-,-,111,17,94,-,-,-,-,-,-
104學年,桃園市,174,60,114,-,-,-,145,31,114,-,-,-,29,29,-
104學年,臺中市,293,55,238,-,-,-,293,55,238,-,-,-,-,-,-
104學年,臺南市,80,34,46,-,-,-,54,8,46,-,-,-,26,26,-
104學年,高雄市,210,36,174,-,-,-,210,36,174,-,-,-,-,-,-
104學年,宜蘭縣,34,10,24,-,-,-,-,-,-,34,10,24,-,-,-
104學年,新竹縣,11,-,11,-,-,-,-,-,-,11,-,11,-,-,-
104學年,苗栗縣,3,1,2,-,-,-,-,-,-,3,1,2,-,-,-
104學年,彰化縣,129,32,97,-,-,-,-,-,-,129,32,97,-,-,-
104學年,南投縣,29,10,19,-,-,-,-,-,-,29,10,19,-,-,-
104學年,雲林縣,38,6,32,-,-,-,-,-,-,38,6,32,-,-,-
104學年,嘉義縣,26,2,24,-,-,-,-,-,-,26,2,24,-,-,-
104學年,屏東縣,51,12,39,-,-,-,-,-,-,51,12,39,-,-,-
104學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,花蓮縣,29,21,8,-,-,-,-,-,-,10,2,8,19,19,-
104學年,澎湖縣,4,-,4,-,-,-,-,-,-,4,-,4,-,-,-
104學年,基隆市,36,4,32,-,-,-,-,-,-,36,4,32,-,-,-
104學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,嘉義市,24,4,20,-,-,-,-,-,-,24,4,20,-,-,-
104學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,1643,382,1261,-,-,-,1153,211,942,418,99,319,72,72,-
103學年,新北市,414,70,344,-,-,-,414,70,344,-,-,-,-,-,-
103學年,臺北市,125,14,111,-,-,-,125,14,111,-,-,-,-,-,-
103學年,桃園市,158,63,95,-,-,-,132,37,95,-,-,-,26,26,-
103學年,臺中市,264,53,211,-,-,-,264,53,211,-,-,-,-,-,-
103學年,臺南市,75,36,39,-,-,-,50,11,39,-,-,-,25,25,-
103學年,高雄市,168,26,142,-,-,-,168,26,142,-,-,-,-,-,-
103學年,宜蘭縣,65,13,52,-,-,-,-,-,-,65,13,52,-,-,-
103學年,新竹縣,14,4,10,-,-,-,-,-,-,14,4,10,-,-,-
103學年,苗栗縣,3,-,3,-,-,-,-,-,-,3,-,3,-,-,-
103學年,彰化縣,100,37,63,-,-,-,-,-,-,100,37,63,-,-,-
103學年,南投縣,18,1,17,-,-,-,-,-,-,18,1,17,-,-,-
103學年,雲林縣,29,4,25,-,-,-,-,-,-,29,4,25,-,-,-
103學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,屏東縣,69,11,58,-,-,-,-,-,-,69,11,58,-,-,-
103學年,臺東縣,6,-,6,-,-,-,-,-,-,6,-,6,-,-,-
103學年,花蓮縣,49,32,17,-,-,-,-,-,-,28,11,17,21,21,-
103學年,澎湖縣,14,2,12,-,-,-,-,-,-,14,2,12,-,-,-
103學年,基隆市,41,7,34,-,-,-,-,-,-,41,7,34,-,-,-
103學年,新竹市,9,4,5,-,-,-,-,-,-,9,4,5,-,-,-
103學年,嘉義市,22,5,17,-,-,-,-,-,-,22,5,17,-,-,-
103學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,1848,386,1462,-,-,-,1135,185,950,645,133,512,68,68,-
102學年,新北市,457,72,385,-,-,-,457,72,385,-,-,-,-,-,-
102學年,臺北市,129,17,112,-,-,-,129,17,112,-,-,-,-,-,-
102學年,臺中市,253,53,200,-,-,-,253,53,200,-,-,-,-,-,-
102學年,臺南市,100,34,66,-,-,-,76,10,66,-,-,-,24,24,-
102學年,高雄市,220,33,187,-,-,-,220,33,187,-,-,-,-,-,-
102學年,宜蘭縣,61,15,46,-,-,-,-,-,-,61,15,46,-,-,-
102學年,桃園縣,184,70,114,-,-,-,-,-,-,161,47,114,23,23,-
102學年,新竹縣,10,1,9,-,-,-,-,-,-,10,1,9,-,-,-
102學年,苗栗縣,2,-,2,-,-,-,-,-,-,2,-,2,-,-,-
102學年,彰化縣,125,42,83,-,-,-,-,-,-,125,42,83,-,-,-
102學年,南投縣,25,1,24,-,-,-,-,-,-,25,1,24,-,-,-
102學年,雲林縣,49,6,43,-,-,-,-,-,-,49,6,43,-,-,-
102學年,嘉義縣,10,-,10,-,-,-,-,-,-,10,-,10,-,-,-
102學年,屏東縣,80,10,70,-,-,-,-,-,-,80,10,70,-,-,-
102學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,花蓮縣,45,22,23,-,-,-,-,-,-,24,1,23,21,21,-
102學年,澎湖縣,31,1,30,-,-,-,-,-,-,31,1,30,-,-,-
102學年,基隆市,40,4,36,-,-,-,-,-,-,40,4,36,-,-,-
102學年,新竹市,8,-,8,-,-,-,-,-,-,8,-,8,-,-,-
102學年,嘉義市,19,5,14,-,-,-,-,-,-,19,5,14,-,-,-
102學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,2010,488,1522,-,-,-,1170,196,974,746,198,548,94,94,-
101學年,新北市,444,59,385,-,-,-,444,59,385,-,-,-,-,-,-
101學年,臺北市,115,11,104,-,-,-,115,11,104,-,-,-,-,-,-
101學年,臺中市,259,57,202,-,-,-,259,57,202,-,-,-,-,-,-
101學年,臺南市,116,53,63,-,-,-,84,21,63,-,-,-,32,32,-
101學年,高雄市,268,48,220,-,-,-,268,48,220,-,-,-,-,-,-
101學年,宜蘭縣,51,9,42,-,-,-,-,-,-,51,9,42,-,-,-
101學年,桃園縣,219,107,112,-,-,-,-,-,-,186,74,112,33,33,-
101學年,新竹縣,15,1,14,-,-,-,-,-,-,15,1,14,-,-,-
101學年,苗栗縣,4,1,3,-,-,-,-,-,-,4,1,3,-,-,-
101學年,彰化縣,165,64,101,-,-,-,-,-,-,165,64,101,-,-,-
101學年,南投縣,28,4,24,-,-,-,-,-,-,28,4,24,-,-,-
101學年,雲林縣,48,6,42,-,-,-,-,-,-,48,6,42,-,-,-
101學年,嘉義縣,35,7,28,-,-,-,-,-,-,35,7,28,-,-,-
101學年,屏東縣,83,5,78,-,-,-,-,-,-,83,5,78,-,-,-
101學年,臺東縣,8,1,7,-,-,-,-,-,-,8,1,7,-,-,-
101學年,花蓮縣,51,34,17,-,-,-,-,-,-,22,5,17,29,29,-
101學年,澎湖縣,10,2,8,-,-,-,-,-,-,10,2,8,-,-,-
101學年,基隆市,59,12,47,-,-,-,-,-,-,59,12,47,-,-,-
101學年,新竹市,7,2,5,-,-,-,-,-,-,7,2,5,-,-,-
101學年,嘉義市,25,5,20,-,-,-,-,-,-,25,5,20,-,-,-
101學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,2208,555,1653,-,-,-,1348,232,1116,783,246,537,77,77,-
100學年,新北市,559,95,464,-,-,-,559,95,464,-,-,-,-,-,-
100學年,臺北市,120,17,103,-,-,-,120,17,103,-,-,-,-,-,-
100學年,臺中市,332,66,266,-,-,-,332,66,266,-,-,-,-,-,-
100學年,臺南市,121,52,69,-,-,-,90,21,69,-,-,-,31,31,-
100學年,高雄市,247,33,214,-,-,-,247,33,214,-,-,-,-,-,-
100學年,宜蘭縣,75,18,57,-,-,-,-,-,-,75,18,57,-,-,-
100學年,桃園縣,217,105,112,-,-,-,-,-,-,193,81,112,24,24,-
100學年,新竹縣,19,5,14,-,-,-,-,-,-,19,5,14,-,-,-
100學年,苗栗縣,5,-,5,-,-,-,-,-,-,5,-,5,-,-,-
100學年,彰化縣,158,74,84,-,-,-,-,-,-,158,74,84,-,-,-
100學年,南投縣,40,9,31,-,-,-,-,-,-,40,9,31,-,-,-
100學年,雲林縣,57,13,44,-,-,-,-,-,-,57,13,44,-,-,-
100學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
