學年別,縣市別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
105學年,總計,1541,78,1463,-,-,-,1211,69,1142,330,9,321,-,-,-
105學年,新北市,452,26,426,-,-,-,452,26,426,-,-,-,-,-,-
105學年,臺北市,242,19,223,-,-,-,242,19,223,-,-,-,-,-,-
105學年,桃園市,157,9,148,-,-,-,157,9,148,-,-,-,-,-,-
105學年,臺中市,163,10,153,-,-,-,163,10,153,-,-,-,-,-,-
105學年,臺南市,95,3,92,-,-,-,95,3,92,-,-,-,-,-,-
105學年,高雄市,102,2,100,-,-,-,102,2,100,-,-,-,-,-,-
105學年,宜蘭縣,34,2,32,-,-,-,-,-,-,34,2,32,-,-,-
105學年,新竹縣,23,-,23,-,-,-,-,-,-,23,-,23,-,-,-
105學年,苗栗縣,30,2,28,-,-,-,-,-,-,30,2,28,-,-,-
105學年,彰化縣,37,1,36,-,-,-,-,-,-,37,1,36,-,-,-
105學年,南投縣,21,-,21,-,-,-,-,-,-,21,-,21,-,-,-
105學年,雲林縣,26,-,26,-,-,-,-,-,-,26,-,26,-,-,-
105學年,嘉義縣,21,-,21,-,-,-,-,-,-,21,-,21,-,-,-
105學年,屏東縣,44,-,44,-,-,-,-,-,-,44,-,44,-,-,-
105學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,花蓮縣,19,-,19,-,-,-,-,-,-,19,-,19,-,-,-
105學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,34,3,31,-,-,-,-,-,-,34,3,31,-,-,-
105學年,新竹市,31,1,30,-,-,-,-,-,-,31,1,30,-,-,-
105學年,嘉義市,10,-,10,-,-,-,-,-,-,10,-,10,-,-,-
105學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,1560,85,1475,-,-,-,1274,72,1202,286,13,273,-,-,-
104學年,新北市,461,22,439,-,-,-,461,22,439,-,-,-,-,-,-
104學年,臺北市,271,25,246,-,-,-,271,25,246,-,-,-,-,-,-
104學年,桃園市,164,6,158,-,-,-,164,6,158,-,-,-,-,-,-
104學年,臺中市,165,7,158,-,-,-,165,7,158,-,-,-,-,-,-
104學年,臺南市,89,7,82,-,-,-,89,7,82,-,-,-,-,-,-
104學年,高雄市,124,5,119,-,-,-,124,5,119,-,-,-,-,-,-
104學年,宜蘭縣,22,-,22,-,-,-,-,-,-,22,-,22,-,-,-
104學年,新竹縣,24,1,23,-,-,-,-,-,-,24,1,23,-,-,-
104學年,苗栗縣,31,2,29,-,-,-,-,-,-,31,2,29,-,-,-
104學年,彰化縣,10,-,10,-,-,-,-,-,-,10,-,10,-,-,-
104學年,南投縣,8,1,7,-,-,-,-,-,-,8,1,7,-,-,-
104學年,雲林縣,21,-,21,-,-,-,-,-,-,21,-,21,-,-,-
104學年,嘉義縣,12,1,11,-,-,-,-,-,-,12,1,11,-,-,-
104學年,屏東縣,59,4,55,-,-,-,-,-,-,59,4,55,-,-,-
104學年,臺東縣,8,1,7,-,-,-,-,-,-,8,1,7,-,-,-
104學年,花蓮縣,9,-,9,-,-,-,-,-,-,9,-,9,-,-,-
104學年,澎湖縣,7,-,7,-,-,-,-,-,-,7,-,7,-,-,-
104學年,基隆市,40,1,39,-,-,-,-,-,-,40,1,39,-,-,-
104學年,新竹市,30,2,28,-,-,-,-,-,-,30,2,28,-,-,-
104學年,嘉義市,5,-,5,-,-,-,-,-,-,5,-,5,-,-,-
104學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,1747,82,1665,-,-,-,1415,73,1342,332,9,323,-,-,-
103學年,新北市,496,34,462,-,-,-,496,34,462,-,-,-,-,-,-
103學年,臺北市,338,20,318,-,-,-,338,20,318,-,-,-,-,-,-
103學年,桃園市,182,5,177,-,-,-,182,5,177,-,-,-,-,-,-
103學年,臺中市,191,9,182,-,-,-,191,9,182,-,-,-,-,-,-
103學年,臺南市,79,1,78,-,-,-,79,1,78,-,-,-,-,-,-
103學年,高雄市,129,4,125,-,-,-,129,4,125,-,-,-,-,-,-
103學年,宜蘭縣,30,1,29,-,-,-,-,-,-,30,1,29,-,-,-
103學年,新竹縣,35,1,34,-,-,-,-,-,-,35,1,34,-,-,-
103學年,苗栗縣,27,-,27,-,-,-,-,-,-,27,-,27,-,-,-
103學年,彰化縣,39,3,36,-,-,-,-,-,-,39,3,36,-,-,-
103學年,南投縣,14,-,14,-,-,-,-,-,-,14,-,14,-,-,-
103學年,雲林縣,41,2,39,-,-,-,-,-,-,41,2,39,-,-,-
103學年,嘉義縣,9,1,8,-,-,-,-,-,-,9,1,8,-,-,-
103學年,屏東縣,36,-,36,-,-,-,-,-,-,36,-,36,-,-,-
103學年,臺東縣,6,-,6,-,-,-,-,-,-,6,-,6,-,-,-
103學年,花蓮縣,7,-,7,-,-,-,-,-,-,7,-,7,-,-,-
103學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,36,1,35,-,-,-,-,-,-,36,1,35,-,-,-
103學年,新竹市,37,-,37,-,-,-,-,-,-,37,-,37,-,-,-
103學年,嘉義市,15,-,15,-,-,-,-,-,-,15,-,15,-,-,-
103學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,1783,83,1700,-,-,-,1269,59,1210,514,24,490,-,-,-
102學年,新北市,537,25,512,-,-,-,537,25,512,-,-,-,-,-,-
102學年,臺北市,244,16,228,-,-,-,244,16,228,-,-,-,-,-,-
102學年,臺中市,161,7,154,-,-,-,161,7,154,-,-,-,-,-,-
102學年,臺南市,101,4,97,-,-,-,101,4,97,-,-,-,-,-,-
102學年,高雄市,226,7,219,-,-,-,226,7,219,-,-,-,-,-,-
102學年,宜蘭縣,34,6,28,-,-,-,-,-,-,34,6,28,-,-,-
102學年,桃園縣,161,6,155,-,-,-,-,-,-,161,6,155,-,-,-
102學年,新竹縣,14,1,13,-,-,-,-,-,-,14,1,13,-,-,-
102學年,苗栗縣,21,-,21,-,-,-,-,-,-,21,-,21,-,-,-
102學年,彰化縣,19,1,18,-,-,-,-,-,-,19,1,18,-,-,-
102學年,南投縣,25,1,24,-,-,-,-,-,-,25,1,24,-,-,-
102學年,雲林縣,53,2,51,-,-,-,-,-,-,53,2,51,-,-,-
102學年,嘉義縣,25,-,25,-,-,-,-,-,-,25,-,25,-,-,-
102學年,屏東縣,53,1,52,-,-,-,-,-,-,53,1,52,-,-,-
102學年,臺東縣,4,-,4,-,-,-,-,-,-,4,-,4,-,-,-
102學年,花蓮縣,19,2,17,-,-,-,-,-,-,19,2,17,-,-,-
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,54,3,51,-,-,-,-,-,-,54,3,51,-,-,-
102學年,新竹市,27,1,26,-,-,-,-,-,-,27,1,26,-,-,-
102學年,嘉義市,5,-,5,-,-,-,-,-,-,5,-,5,-,-,-
102學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,2097,103,1994,-,-,-,1427,76,1351,670,27,643,-,-,-
101學年,新北市,651,30,621,-,-,-,651,30,621,-,-,-,-,-,-
101學年,臺北市,302,23,279,-,-,-,302,23,279,-,-,-,-,-,-
101學年,臺中市,174,9,165,-,-,-,174,9,165,-,-,-,-,-,-
101學年,臺南市,108,8,100,-,-,-,108,8,100,-,-,-,-,-,-
101學年,高雄市,192,6,186,-,-,-,192,6,186,-,-,-,-,-,-
101學年,宜蘭縣,35,-,35,-,-,-,-,-,-,35,-,35,-,-,-
101學年,桃園縣,194,12,182,-,-,-,-,-,-,194,12,182,-,-,-
101學年,新竹縣,17,-,17,-,-,-,-,-,-,17,-,17,-,-,-
101學年,苗栗縣,31,-,31,-,-,-,-,-,-,31,-,31,-,-,-
101學年,彰化縣,54,3,51,-,-,-,-,-,-,54,3,51,-,-,-
101學年,南投縣,23,2,21,-,-,-,-,-,-,23,2,21,-,-,-
101學年,雲林縣,35,-,35,-,-,-,-,-,-,35,-,35,-,-,-
101學年,嘉義縣,22,-,22,-,-,-,-,-,-,22,-,22,-,-,-
101學年,屏東縣,88,2,86,-,-,-,-,-,-,88,2,86,-,-,-
101學年,臺東縣,11,2,9,-,-,-,-,-,-,11,2,9,-,-,-
101學年,花蓮縣,21,3,18,-,-,-,-,-,-,21,3,18,-,-,-
101學年,澎湖縣,10,-,10,-,-,-,-,-,-,10,-,10,-,-,-
101學年,基隆市,93,2,91,-,-,-,-,-,-,93,2,91,-,-,-
101學年,新竹市,26,-,26,-,-,-,-,-,-,26,-,26,-,-,-
101學年,嘉義市,10,1,9,-,-,-,-,-,-,10,1,9,-,-,-
101學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,2523,118,2405,-,-,-,1719,80,1639,804,38,766,-,-,-
100學年,新北市,779,34,745,-,-,-,779,34,745,-,-,-,-,-,-
100學年,臺北市,320,14,306,-,-,-,320,14,306,-,-,-,-,-,-
100學年,臺中市,262,18,244,-,-,-,262,18,244,-,-,-,-,-,-
100學年,臺南市,131,8,123,-,-,-,131,8,123,-,-,-,-,-,-
100學年,高雄市,227,6,221,-,-,-,227,6,221,-,-,-,-,-,-
100學年,宜蘭縣,42,6,36,-,-,-,-,-,-,42,6,36,-,-,-
100學年,桃園縣,273,18,255,-,-,-,-,-,-,273,18,255,-,-,-
100學年,新竹縣,28,-,28,-,-,-,-,-,-,28,-,28,-,-,-
100學年,苗栗縣,51,3,48,-,-,-,-,-,-,51,3,48,-,-,-
100學年,彰化縣,26,4,22,-,-,-,-,-,-,26,4,22,-,-,-
100學年,南投縣,28,-,28,-,-,-,-,-,-,28,-,28,-,-,-
100學年,雲林縣,71,2,69,-,-,-,-,-,-,71,2,69,-,-,-
100學年,嘉義縣,17,-,17,-,-,-,-,-,-,17,-,17,-,-,-
100學年,屏東縣,61,1,60,-,-,-,-,-,-,61,1,60,-,-,-
100學年,臺東縣,12,1,11,-,-,-,-,-,-,12,1,11,-,-,-
100學年,花蓮縣,21,1,20,-,-,-,-,-,-,21,1,20,-,-,-
100學年,澎湖縣,14,-,14,-,-,-,-,-,-,14,-,14,-,-,-
100學年,基隆市,97,1,96,-,-,-,-,-,-,97,1,96,-,-,-
100學年,新竹市,50,-,50,-,-,-,-,-,-,50,-,50,-,-,-
100學年,嘉義市,13,1,12,-,-,-,-,-,-,13,1,12,-,-,-
100學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,2575,102,2473,-,-,-,1691,66,1625,884,36,848,-,-,-
99學年,新北市,685,30,655,-,-,-,685,30,655,-,-,-,-,-,-
99學年,臺北市,311,16,295,-,-,-,311,16,295,-,-,-,-,-,-
99學年,臺中市,223,10,213,-,-,-,223,10,213,-,-,-,-,-,-
99學年,臺南市,124,1,123,-,-,-,124,1,123,-,-,-,-,-,-
99學年,高雄市,348,9,339,-,-,-,348,9,339,-,-,-,-,-,-
99學年,宜蘭縣,36,1,35,-,-,-,-,-,-,36,1,35,-,-,-
99學年,桃園縣,277,12,265,-,-,-,-,-,-,277,12,265,-,-,-
99學年,新竹縣,22,1,21,-,-,-,-,-,-,22,1,21,-,-,-
99學年,苗栗縣,53,5,48,-,-,-,-,-,-,53,5,48,-,-,-
99學年,彰化縣,57,2,55,-,-,-,-,-,-,57,2,55,-,-,-
