學年別,學生數組別,總計,國立,直轄市立,縣市立,私立
106學年,總計,732,-,383,336,13
106學年,300 人以下,249,-,82,161,6
106學年,301 至 600 人,154,-,73,79,2
106學年,601 至 1200 人,191,-,125,63,3
106學年,1201 至 1800 人,100,-,71,27,2
106學年,1801 至 2400 人,31,-,25,6,-
106學年,2401 至 3000 人,7,-,7,-,-
106學年,3001 至 3600 人,-,-,-,-,-
106學年,3601 至 4200 人,-,-,-,-,-
106學年,4201 至 4800 人,-,-,-,-,-
106學年,4801 人以上,-,-,-,-,-
105學年,總計,736,-,386,336,14
105學年,300 人以下,232,-,73,152,7
105學年,301 至 600 人,155,-,73,80,2
105學年,601 至 1200 人,205,-,131,71,3
105學年,1201 至 1800 人,100,-,73,25,2
105學年,1801 至 2400 人,36,-,28,8,-
105學年,2401 至 3000 人,7,-,7,-,-
105學年,3001 至 3600 人,1,-,1,-,-
105學年,3601 至 4200 人,-,-,-,-,-
105學年,4201 至 4800 人,-,-,-,-,-
105學年,4801 人以上,-,-,-,-,-
104學年,總計,733,-,386,334,13
104學年,300 人以下,212,-,67,139,6
104學年,301 至 600 人,141,-,61,78,2
104學年,601 至 1200 人,203,-,128,72,3
104學年,1201 至 1800 人,105,-,70,33,2
104學年,1801 至 2400 人,56,-,45,11,-
104學年,2401 至 3000 人,14,-,13,1,-
104學年,3001 至 3600 人,2,-,2,-,-
104學年,3601 至 4200 人,-,-,-,-,-
104學年,4201 至 4800 人,-,-,-,-,-
104學年,4801 人以上,-,-,-,-,-
103學年,總計,738,-,329,392,17
103學年,300 人以下,206,-,59,137,10
103學年,301 至 600 人,130,-,48,80,2
103學年,601 至 1200 人,198,-,99,96,3
103學年,1201 至 1800 人,119,-,70,47,2
103學年,1801 至 2400 人,63,-,39,24,-
103學年,2401 至 3000 人,18,-,10,8,-
103學年,3001 至 3600 人,3,-,3,-,-
103學年,3601 至 4200 人,1,-,1,-,-
103學年,4201 至 4800 人,-,-,-,-,-
103學年,4801 人以上,-,-,-,-,-
102學年,總計,738,-,330,391,17
102學年,300 人以下,207,-,59,138,10
102學年,301 至 600 人,122,-,45,75,2
102學年,601 至 1200 人,195,-,95,97,3
102學年,1201 至 1800 人,121,-,72,47,2
102學年,1801 至 2400 人,63,-,37,26,-
102學年,2401 至 3000 人,24,-,16,8,-
102學年,3001 至 3600 人,5,-,5,-,-
102學年,3601 至 4200 人,1,-,1,-,-
102學年,4201 至 4800 人,-,-,-,-,-
102學年,4801 人以上,-,-,-,-,-
101學年,總計,740,-,330,393,17
101學年,300 人以下,205,-,58,138,9
101學年,301 至 600 人,123,-,44,77,2
101學年,601 至 1200 人,193,-,94,96,3
101學年,1201 至 1800 人,117,-,69,46,2
101學年,1801 至 2400 人,65,-,40,24,1
101學年,2401 至 3000 人,25,-,14,11,-
101學年,3001 至 3600 人,9,-,8,1,-
101學年,3601 至 4200 人,3,-,3,-,-
101學年,4201 至 4800 人,-,-,-,-,-
101學年,4801 人以上,-,-,-,-,-
100學年,總計,742,-,331,395,16
100學年,300 人以下,195,-,58,129,8
100學年,301 至 600 人,127,-,43,82,2
100學年,601 至 1200 人,190,-,92,95,3
100學年,1201 至 1800 人,113,-,63,48,2
100學年,1801 至 2400 人,67,-,41,25,1
100學年,2401 至 3000 人,35,-,22,13,-
100學年,3001 至 3600 人,11,-,8,3,-
100學年,3601 至 4200 人,4,-,4,-,-
100學年,4201 至 4800 人,-,-,-,-,-
100學年,4801 人以上,-,-,-,-,-
99學年,總計,740,-,94,630,16
99學年,300 人以下,186,-,7,171,8
99學年,301 至 600 人,122,-,15,106,1
99學年,601 至 1200 人,184,-,27,153,4
99學年,1201 至 1800 人,113,-,14,97,2
99學年,1801 至 2400 人,76,-,20,55,1
99學年,2401 至 3000 人,38,-,8,30,-
99學年,3001 至 3600 人,12,-,2,10,-
99學年,3601 至 4200 人,8,-,1,7,-
99學年,4201 至 4800 人,1,-,-,1,-
99學年,4801 人以上,-,-,-,-,-
98學年,總計,740,-,94,629,17
98學年,300 人以下,175,-,5,162,8
98學年,301 至 600 人,125,-,16,107,2
98學年,601 至 1200 人,180,-,26,150,4
98學年,1201 至 1800 人,117,-,17,99,1
98學年,1801 至 2400 人,81,-,19,60,2
98學年,2401 至 3000 人,39,-,8,31,-
98學年,3001 至 3600 人,11,-,2,9,-
98學年,3601 至 4200 人,10,-,1,9,-
98學年,4201 至 4800 人,2,-,-,2,-
98學年,4801 人以上,-,-,-,-,-
97學年,總計,740,-,94,628,18
97學年,300 人以下,173,-,4,161,8
97學年,301 至 600 人,123,-,18,103,2
97學年,601 至 1200 人,184,-,23,156,5
97學年,1201 至 1800 人,112,-,18,93,1
97學年,1801 至 2400 人,82,-,20,60,2
97學年,2401 至 3000 人,39,-,6,33,-
97學年,3001 至 3600 人,15,-,4,11,-
97學年,3601 至 4200 人,8,-,1,7,-
97學年,4201 至 4800 人,4,-,-,4,-
97學年,4801 人以上,-,-,-,-,-
""
