學年別,班級數組別,總計,國立,直轄市立,縣市立,私立
106學年,總計,732,-,383,336,13
106學年,6 班以下,110,-,30,75,5
106學年,7 至 12 班,125,-,42,80,3
106學年,13 至 24 班,179,-,90,88,1
106學年,25 至 36 班,128,-,77,48,3
106學年,37 至 48 班,78,-,57,21,-
106學年,49 至 60 班,62,-,46,15,1
106學年,61 至 72 班,34,-,28,6,-
106學年,73 至 84 班,9,-,6,3,-
106學年,85 至 96 班,5,-,5,-,-
106學年,97 班以上,2,-,2,-,-
105學年,總計,736,-,386,336,14
105學年,6 班以下,103,-,27,70,6
105學年,7 至 12 班,121,-,44,75,2
105學年,13 至 24 班,175,-,78,95,2
105學年,25 至 36 班,127,-,80,44,3
105學年,37 至 48 班,87,-,62,25,-
105學年,49 至 60 班,62,-,45,16,1
105學年,61 至 72 班,39,-,31,8,-
105學年,73 至 84 班,14,-,11,3,-
105學年,85 至 96 班,6,-,6,-,-
105學年,97 班以上,2,-,2,-,-
104學年,總計,733,-,386,334,13
104學年,6 班以下,94,-,26,63,5
104學年,7 至 12 班,122,-,42,78,2
104學年,13 至 24 班,162,-,74,86,2
104學年,25 至 36 班,124,-,72,49,3
104學年,37 至 48 班,90,-,63,27,-
104學年,49 至 60 班,63,-,47,15,1
104學年,61 至 72 班,51,-,38,13,-
104學年,73 至 84 班,16,-,13,3,-
104學年,85 至 96 班,8,-,8,-,-
104學年,97 班以上,3,-,3,-,-
103學年,總計,738,-,329,392,17
103學年,6 班以下,97,-,25,63,9
103學年,7 至 12 班,118,-,36,81,1
103學年,13 至 24 班,145,-,55,87,3
103學年,25 至 36 班,136,-,64,69,3
103學年,37 至 48 班,88,-,55,33,-
103學年,49 至 60 班,66,-,41,24,1
103學年,61 至 72 班,45,-,22,23,-
103學年,73 至 84 班,27,-,19,8,-
103學年,85 至 96 班,11,-,7,4,-
103學年,97 班以上,5,-,5,-,-
102學年,總計,738,-,330,391,17
102學年,6 班以下,100,-,26,64,10
102學年,7 至 12 班,116,-,35,80,1
102學年,13 至 24 班,143,-,56,85,2
102學年,25 至 36 班,134,-,63,68,3
102學年,37 至 48 班,81,-,47,34,-
102學年,49 至 60 班,72,-,45,26,1
102學年,61 至 72 班,42,-,24,18,-
102學年,73 至 84 班,31,-,19,12,-
102學年,85 至 96 班,12,-,8,4,-
102學年,97 班以上,7,-,7,-,-
101學年,總計,740,-,330,393,17
101學年,6 班以下,99,-,26,64,9
101學年,7 至 12 班,113,-,34,78,1
101學年,13 至 24 班,149,-,58,89,2
101學年,25 至 36 班,134,-,62,68,4
101學年,37 至 48 班,82,-,48,34,-
101學年,49 至 60 班,69,-,43,25,1
101學年,61 至 72 班,46,-,27,19,-
101學年,73 至 84 班,30,-,17,13,-
101學年,85 至 96 班,9,-,7,2,-
101學年,97 班以上,9,-,8,1,-
100學年,總計,742,-,331,395,16
100學年,6 班以下,103,-,27,68,8
100學年,7 至 12 班,115,-,36,78,1
100學年,13 至 24 班,141,-,55,84,2
100學年,25 至 36 班,135,-,59,72,4
100學年,37 至 48 班,82,-,50,32,-
100學年,49 至 60 班,74,-,46,27,1
100學年,61 至 72 班,42,-,24,18,-
100學年,73 至 84 班,28,-,16,12,-
100學年,85 至 96 班,13,-,10,3,-
100學年,97 班以上,9,-,8,1,-
99學年,總計,740,-,94,630,16
99學年,6 班以下,102,-,-,95,7
99學年,7 至 12 班,116,-,10,104,2
99學年,13 至 24 班,137,-,15,120,2
99學年,25 至 36 班,137,-,23,110,4
99學年,37 至 48 班,78,-,11,67,-
99學年,49 至 60 班,71,-,15,55,1
99學年,61 至 72 班,47,-,12,35,-
99學年,73 至 84 班,28,-,5,23,-
99學年,85 至 96 班,14,-,2,12,-
99學年,97 班以上,10,-,1,9,-
98學年,總計,740,-,94,629,17
98學年,6 班以下,101,-,-,93,8
98學年,7 至 12 班,115,-,9,105,1
98學年,13 至 24 班,134,-,16,115,3
98學年,25 至 36 班,135,-,21,110,4
98學年,37 至 48 班,83,-,12,71,-
98學年,49 至 60 班,65,-,15,49,1
98學年,61 至 72 班,54,-,13,41,-
98學年,73 至 84 班,29,-,5,24,-
98學年,85 至 96 班,14,-,2,12,-
98學年,97 班以上,10,-,1,9,-
97學年,總計,740,-,94,628,18
97學年,6 班以下,98,-,-,91,7
97學年,7 至 12 班,116,-,9,104,3
97學年,13 至 24 班,139,-,17,119,3
97學年,25 至 36 班,132,-,20,108,4
97學年,37 至 48 班,83,-,12,71,-
97學年,49 至 60 班,68,-,16,51,1
97學年,61 至 72 班,52,-,12,40,-
97學年,73 至 84 班,25,-,4,21,-
97學年,85 至 96 班,16,-,3,13,-
97學年,97 班以上,11,-,1,10,-
""
