學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
106學年,總計,10191,5162,5029,62,27,35,5843,2795,3048,4174,2296,1878,112,44,68,3976,1907,2069,-,-,-,2218,1014,1204,1704,861,843,54,32,22
106學年,新北市,980,468,512,-,-,-,965,463,502,-,-,-,15,5,10,349,154,195,-,-,-,349,154,195,-,-,-,-,-,-
106學年,臺北市,855,374,481,12,6,6,807,351,456,-,-,-,36,17,19,358,156,202,-,-,-,350,150,200,-,-,-,8,6,2
106學年,桃園市,913,415,498,-,-,-,905,413,492,-,-,-,8,2,6,342,148,194,-,-,-,335,144,191,-,-,-,7,4,3
106學年,臺中市,1212,571,641,7,6,1,1184,559,625,-,-,-,21,6,15,420,218,202,-,-,-,417,216,201,-,-,-,3,2,1
106學年,臺南市,763,408,355,6,3,3,753,402,351,-,-,-,4,3,1,314,146,168,-,-,-,310,143,167,-,-,-,4,3,1
106學年,高雄市,1229,607,622,-,-,-,1229,607,622,-,-,-,-,-,-,457,207,250,-,-,-,457,207,250,-,-,-,-,-,-
106學年,宜蘭縣,243,147,96,-,-,-,-,-,-,243,147,96,-,-,-,124,70,54,-,-,-,-,-,-,124,70,54,-,-,-
106學年,新竹縣,277,109,168,-,-,-,-,-,-,275,108,167,2,1,1,145,59,86,-,-,-,-,-,-,140,56,84,5,3,2
106學年,苗栗縣,353,182,171,-,-,-,-,-,-,353,182,171,-,-,-,153,71,82,-,-,-,-,-,-,153,71,82,-,-,-
106學年,彰化縣,752,419,333,-,-,-,-,-,-,752,419,333,-,-,-,210,107,103,-,-,-,-,-,-,210,107,103,-,-,-
106學年,南投縣,362,220,142,-,-,-,-,-,-,357,217,140,5,3,2,156,64,92,-,-,-,-,-,-,150,61,89,6,3,3
106學年,雲林縣,423,228,195,-,-,-,-,-,-,416,224,192,7,4,3,163,95,68,-,-,-,-,-,-,149,87,62,14,8,6
106學年,嘉義縣,327,200,127,-,-,-,-,-,-,327,200,127,-,-,-,123,60,63,-,-,-,-,-,-,123,60,63,-,-,-
106學年,屏東縣,448,298,150,7,3,4,-,-,-,438,295,143,3,-,3,182,103,79,-,-,-,-,-,-,176,100,76,6,3,3
106學年,臺東縣,209,129,80,7,3,4,-,-,-,202,126,76,-,-,-,99,53,46,-,-,-,-,-,-,99,53,46,-,-,-
106學年,花蓮縣,282,126,156,8,1,7,-,-,-,269,123,146,5,2,3,106,63,43,-,-,-,-,-,-,106,63,43,-,-,-
106學年,澎湖縣,84,55,29,-,-,-,-,-,-,84,55,29,-,-,-,55,29,26,-,-,-,-,-,-,55,29,26,-,-,-
106學年,基隆市,149,83,66,-,-,-,-,-,-,146,82,64,3,1,2,62,28,34,-,-,-,-,-,-,62,28,34,-,-,-
106學年,新竹市,164,44,120,8,1,7,-,-,-,153,43,110,3,-,3,71,26,45,-,-,-,-,-,-,70,26,44,1,-,1
106學年,嘉義市,101,50,51,7,4,3,-,-,-,94,46,48,-,-,-,48,23,25,-,-,-,-,-,-,48,23,25,-,-,-
106學年,金門縣,43,20,23,-,-,-,-,-,-,43,20,23,-,-,-,27,20,7,-,-,-,-,-,-,27,20,7,-,-,-
106學年,連江縣,22,9,13,-,-,-,-,-,-,22,9,13,-,-,-,12,7,5,-,-,-,-,-,-,12,7,5,-,-,-
105學年,總計,10136,5195,4941,63,24,39,5743,2795,2948,4221,2335,1886,109,41,68,3985,1945,2040,-,-,-,2224,1044,1180,1703,865,838,58,36,22
105學年,新北市,989,476,513,-,-,-,973,472,501,-,-,-,16,4,12,354,162,192,-,-,-,354,162,192,-,-,-,-,-,-
105學年,臺北市,848,383,465,13,5,8,800,363,437,-,-,-,35,15,20,358,157,201,-,-,-,350,151,199,-,-,-,8,6,2
105學年,桃園市,815,374,441,-,-,-,807,371,436,-,-,-,8,3,5,348,160,188,-,-,-,341,155,186,-,-,-,7,5,2
105學年,臺中市,1206,571,635,7,4,3,1179,562,617,-,-,-,20,5,15,424,223,201,-,-,-,421,221,200,-,-,-,3,2,1
105學年,臺南市,767,414,353,7,3,4,756,408,348,-,-,-,4,3,1,315,151,164,-,-,-,308,146,162,-,-,-,7,5,2
105學年,高雄市,1228,619,609,-,-,-,1228,619,609,-,-,-,-,-,-,450,209,241,-,-,-,450,209,241,-,-,-,-,-,-
105學年,宜蘭縣,246,151,95,-,-,-,-,-,-,246,151,95,-,-,-,125,70,55,-,-,-,-,-,-,125,70,55,-,-,-
105學年,新竹縣,280,115,165,-,-,-,-,-,-,278,114,164,2,1,1,146,60,86,-,-,-,-,-,-,140,57,83,6,3,3
105學年,苗栗縣,347,174,173,-,-,-,-,-,-,347,174,173,-,-,-,152,68,84,-,-,-,-,-,-,152,68,84,-,-,-
105學年,彰化縣,777,430,347,-,-,-,-,-,-,777,430,347,-,-,-,211,113,98,-,-,-,-,-,-,211,113,98,-,-,-
105學年,南投縣,364,223,141,-,-,-,-,-,-,359,220,139,5,3,2,153,60,93,-,-,-,-,-,-,147,57,90,6,3,3
105學年,雲林縣,435,227,208,-,-,-,-,-,-,429,224,205,6,3,3,166,94,72,-,-,-,-,-,-,152,85,67,14,9,5
