學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
106學年,總計,2630,1831,799,9,5,4,1215,826,389,1371,984,387,35,16,19,732,489,243,-,-,-,383,255,128,336,224,112,13,10,3
106學年,新北市,214,153,61,-,-,-,209,150,59,-,-,-,5,3,2,61,35,26,-,-,-,61,35,26,-,-,-,-,-,-
106學年,臺北市,151,83,68,2,1,1,140,80,60,-,-,-,9,2,7,61,35,26,-,-,-,59,34,25,-,-,-,2,1,1
106學年,桃園市,190,115,75,-,-,-,186,112,74,-,-,-,4,3,1,58,38,20,-,-,-,56,36,20,-,-,-,2,2,-
106學年,臺中市,235,168,67,1,1,-,229,164,65,-,-,-,5,3,2,71,46,25,-,-,-,70,45,25,-,-,-,1,1,-
106學年,臺南市,211,163,48,1,1,-,209,161,48,-,-,-,1,1,-,59,49,10,-,-,-,58,49,9,-,-,-,1,-,1
106學年,高雄市,242,159,83,-,-,-,242,159,83,-,-,-,-,-,-,79,56,23,-,-,-,79,56,23,-,-,-,-,-,-
106學年,宜蘭縣,76,64,12,-,-,-,-,-,-,76,64,12,-,-,-,24,15,9,-,-,-,-,-,-,24,15,9,-,-,-
106學年,新竹縣,86,50,36,-,-,-,-,-,-,84,50,34,2,-,2,29,14,15,-,-,-,-,-,-,28,14,14,1,-,1
106學年,苗栗縣,114,78,36,-,-,-,-,-,-,114,78,36,-,-,-,30,21,9,-,-,-,-,-,-,30,21,9,-,-,-
106學年,彰化縣,175,129,46,-,-,-,-,-,-,175,129,46,-,-,-,36,25,11,-,-,-,-,-,-,36,25,11,-,-,-
106學年,南投縣,139,101,38,-,-,-,-,-,-,137,99,38,2,2,-,32,20,12,-,-,-,-,-,-,31,19,12,1,1,-
106學年,雲林縣,155,112,43,-,-,-,-,-,-,153,111,42,2,1,1,33,25,8,-,-,-,-,-,-,30,22,8,3,3,-
106學年,嘉義縣,124,88,36,-,-,-,-,-,-,124,88,36,-,-,-,24,17,7,-,-,-,-,-,-,24,17,7,-,-,-
106學年,屏東縣,168,129,39,1,1,-,-,-,-,166,128,38,1,-,1,35,24,11,-,-,-,-,-,-,34,23,11,1,1,-
106學年,臺東縣,88,60,28,1,1,-,-,-,-,87,59,28,-,-,-,21,15,6,-,-,-,-,-,-,21,15,6,-,-,-
