學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
106學年,總計,16388,6398,9990,131,39,92,10110,3770,6340,5977,2527,3450,170,62,108,7825,3057,4768,-,-,-,4636,1695,2941,3099,1309,1790,90,53,37
106學年,新北市,1936,715,1221,-,-,-,1915,705,1210,-,-,-,21,10,11,814,275,539,-,-,-,814,275,539,-,-,-,-,-,-
106學年,臺北市,1649,543,1106,22,6,16,1556,511,1045,-,-,-,71,26,45,787,260,527,-,-,-,776,255,521,-,-,-,11,5,6
106學年,桃園市,1628,592,1036,-,-,-,1623,590,1033,-,-,-,5,2,3,753,290,463,-,-,-,747,287,460,-,-,-,6,3,3
106學年,臺中市,2101,831,1270,17,5,12,2051,818,1233,-,-,-,33,8,25,911,375,536,-,-,-,907,373,534,-,-,-,4,2,2
106學年,臺南市,1136,479,657,17,6,11,1109,468,641,-,-,-,10,5,5,572,212,360,-,-,-,564,207,357,-,-,-,8,5,3
106學年,高雄市,1856,678,1178,-,-,-,1856,678,1178,-,-,-,-,-,-,828,298,530,-,-,-,828,298,530,-,-,-,-,-,-
106學年,宜蘭縣,400,183,217,-,-,-,-,-,-,400,183,217,-,-,-,267,118,149,-,-,-,-,-,-,267,118,149,-,-,-
106學年,新竹縣,468,147,321,-,-,-,-,-,-,468,147,321,-,-,-,260,76,184,-,-,-,-,-,-,250,66,184,10,10,-
106學年,苗栗縣,522,209,313,-,-,-,-,-,-,522,209,313,-,-,-,232,86,146,-,-,-,-,-,-,232,86,146,-,-,-
106學年,彰化縣,877,401,476,-,-,-,-,-,-,877,401,476,-,-,-,437,196,241,-,-,-,-,-,-,437,196,241,-,-,-
106學年,南投縣,461,211,250,-,-,-,-,-,-,453,210,243,8,1,7,231,112,119,-,-,-,-,-,-,224,107,117,7,5,2
106學年,雲林縣,652,293,359,-,-,-,-,-,-,642,289,353,10,4,6,314,142,172,-,-,-,-,-,-,285,127,158,29,15,14
106學年,嘉義縣,379,193,186,-,-,-,-,-,-,379,193,186,-,-,-,239,105,134,-,-,-,-,-,-,239,105,134,-,-,-
106學年,屏東縣,678,317,361,15,5,10,-,-,-,660,309,351,3,3,-,325,152,173,-,-,-,-,-,-,314,146,168,11,6,5
106學年,臺東縣,279,113,166,13,3,10,-,-,-,266,110,156,-,-,-,159,66,93,-,-,-,-,-,-,159,66,93,-,-,-
106學年,花蓮縣,339,132,207,15,8,7,-,-,-,322,123,199,2,1,1,170,68,102,-,-,-,-,-,-,170,68,102,-,-,-
106學年,澎湖縣,111,46,65,-,-,-,-,-,-,111,46,65,-,-,-,64,37,27,-,-,-,-,-,-,64,37,27,-,-,-
106學年,基隆市,249,94,155,-,-,-,-,-,-,247,93,154,2,1,1,143,48,95,-,-,-,-,-,-,143,48,95,-,-,-
106學年,新竹市,329,87,242,15,3,12,-,-,-,309,83,226,5,1,4,157,50,107,-,-,-,-,-,-,153,48,105,4,2,2
106學年,嘉義市,246,95,151,17,3,14,-,-,-,229,92,137,-,-,-,102,51,51,-,-,-,-,-,-,102,51,51,-,-,-
106學年,金門縣,77,29,48,-,-,-,-,-,-,77,29,48,-,-,-,48,33,15,-,-,-,-,-,-,48,33,15,-,-,-
106學年,連江縣,15,10,5,-,-,-,-,-,-,15,10,5,-,-,-,12,7,5,-,-,-,-,-,-,12,7,5,-,-,-
105學年,總計,16452,6594,9858,132,36,96,10077,3846,6231,6080,2655,3425,163,57,106,7944,3128,4816,-,-,-,4728,1747,2981,3125,1329,1796,91,52,39
105學年,新北市,1947,724,1223,-,-,-,1926,715,1211,-,-,-,21,9,12,831,281,550,-,-,-,831,281,550,-,-,-,-,-,-
105學年,臺北市,1634,564,1070,21,5,16,1546,535,1011,-,-,-,67,24,43,801,276,525,-,-,-,791,271,520,-,-,-,10,5,5
105學年,桃園市,1557,597,960,-,-,-,1552,595,957,-,-,-,5,2,3,783,300,483,-,-,-,777,297,480,-,-,-,6,3,3
105學年,臺中市,2111,855,1256,17,5,12,2062,841,1221,-,-,-,32,9,23,940,389,551,-,-,-,936,387,549,-,-,-,4,2,2
105學年,臺南市,1138,479,659,17,5,12,1110,469,641,-,-,-,11,5,6,571,221,350,-,-,-,560,214,346,-,-,-,11,7,4
105學年,高雄市,1881,691,1190,-,-,-,1881,691,1190,-,-,-,-,-,-,833,297,536,-,-,-,833,297,536,-,-,-,-,-,-
105學年,宜蘭縣,426,200,226,-,-,-,-,-,-,426,200,226,-,-,-,270,117,153,-,-,-,-,-,-,270,117,153,-,-,-
