學年別,縣市別,國小總計計,國小總計男,國小總計女,國小國立計,國小國立男,國小國立女,國小直轄市立計,國小直轄市立男,國小直轄市立女,國小縣市立計,國小縣市立男,國小縣市立女,國小私立計,國小私立男,國小私立女,國中總計計,國中總計男,國中總計女,國中國立計,國中國立男,國中國立女,國中直轄市立計,國中直轄市立男,國中直轄市立女,國中縣市立計,國中縣市立男,國中縣市立女,國中私立計,國中私立男,國中私立女
106學年,總計,1146679,598546,548133,10180,5291,4889,760235,396403,363832,339520,177586,161934,36744,19266,17478,653273,341965,311308,4625,2348,2277,378647,197834,180813,183260,96119,87141,86741,45664,41077
106學年,新北市,192321,100366,91955,-,-,-,184326,96239,88087,-,-,-,7995,4127,3868,100608,52568,48040,45,16,29,85293,44747,40546,-,-,-,15270,7805,7465
106學年,臺北市,115679,60458,55221,1475,757,718,103798,54274,49524,-,-,-,10406,5427,4979,66746,35027,31719,1392,683,709,54502,28892,25610,-,-,-,10852,5452,5400
106學年,桃園市,122590,64052,58538,-,-,-,120627,63006,57621,-,-,-,1963,1046,917,67375,35310,32065,-,-,-,60086,31387,28699,-,-,-,7289,3923,3366
106學年,臺中市,150412,78294,72118,833,417,416,143601,74726,68875,-,-,-,5978,3151,2827,85244,44387,40857,240,119,121,71057,36776,34281,-,-,-,13947,7492,6455
106學年,臺南市,87329,45493,41836,2245,1154,1091,83394,43454,39940,-,-,-,1690,885,805,50556,26300,24256,643,336,307,40042,20810,19232,-,-,-,9871,5154,4717
106學年,高雄市,125875,65416,60459,176,82,94,124489,64704,59785,-,-,-,1210,630,580,72395,37766,34629,1150,558,592,67667,35222,32445,-,-,-,3578,1986,1592
106學年,宜蘭縣,21563,11152,10411,-,-,-,-,-,-,21263,10968,10295,300,184,116,14108,7557,6551,-,-,-,-,-,-,12396,6481,5915,1712,1076,636
106學年,新竹縣,35578,18662,16916,-,-,-,-,-,-,34168,17962,16206,1410,700,710,17398,9095,8303,-,-,-,-,-,-,15245,7927,7318,2153,1168,985
106學年,苗栗縣,27602,14404,13198,-,-,-,-,-,-,27602,14404,13198,-,-,-,15835,8536,7299,353,183,170,-,-,-,13775,7372,6403,1707,981,726
106學年,彰化縣,62830,32953,29877,-,-,-,-,-,-,62830,32953,29877,-,-,-,37275,19618,17657,-,-,-,-,-,-,34446,18018,16428,2829,1600,1229
106學年,南投縣,23221,12127,11094,-,-,-,-,-,-,22022,11385,10637,1199,742,457,14436,7538,6898,-,-,-,-,-,-,13296,6850,6446,1140,688,452
106學年,雲林縣,32410,17073,15337,-,-,-,-,-,-,31512,16624,14888,898,449,449,21017,10968,10049,-,-,-,-,-,-,15104,8278,6826,5913,2690,3223
106學年,嘉義縣,19569,10250,9319,-,-,-,-,-,-,19569,10250,9319,-,-,-,12207,6423,5784,-,-,-,-,-,-,10941,5692,5249,1266,731,535
106學年,屏東縣,35661,18653,17008,666,358,308,-,-,-,34844,18216,16628,151,79,72,22574,11779,10795,-,-,-,-,-,-,20485,10688,9797,2089,1091,998
106學年,臺東縣,10385,5428,4957,1014,518,496,-,-,-,9259,4857,4402,112,53,59,6303,3346,2957,184,127,57,-,-,-,5891,3096,2795,228,123,105
106學年,花蓮縣,15390,8108,7282,846,460,386,-,-,-,13605,7129,6476,939,519,420,9614,5050,4564,-,-,-,-,-,-,8602,4541,4061,1012,509,503
