學年別,縣市別,國小總計計,國小總計男,國小總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,4年級計,4年級男,4年級女,5年級計,5年級男,5年級女,6年級計,6年級男,6年級女,國中總計計,國中總計男,國中總計女,7年級計,7年級男,7年級女,8年級計,8年級男,8年級女,9年級計,9年級男,9年級女
106學年,總計,1146679,598546,548133,182474,94698,87776,174451,91043,83408,191356,99688,91668,197905,103639,94266,198714,103683,95031,201779,105795,95984,653273,341965,311308,208880,108821,100059,214607,112964,101643,229786,120180,109606
106學年,新北市,192321,100366,91955,31383,16185,15198,29527,15475,14052,32172,16756,15416,33156,17401,15755,33056,17253,15803,33027,17296,15731,100608,52568,48040,31923,16488,15435,33187,17522,15665,35498,18558,16940
106學年,臺北市,115679,60458,55221,19372,10093,9279,18436,9532,8904,19138,10077,9061,19897,10379,9518,19536,10180,9356,19300,10197,9103,66746,35027,31719,21739,11463,10276,21752,11449,10303,23255,12115,11140
106學年,桃園市,122590,64052,58538,19939,10264,9675,18463,9719,8744,20559,10620,9939,21332,11206,10126,21032,11035,9997,21265,11208,10057,67375,35310,32065,21755,11395,10360,22102,11693,10409,23518,12222,11296
106學年,臺中市,150412,78294,72118,24188,12560,11628,23136,12121,11015,24887,13028,11859,25990,13422,12568,26164,13481,12683,26047,13682,12365,85244,44387,40857,27484,14303,13181,27915,14493,13422,29845,15591,14254
106學年,臺南市,87329,45493,41836,13634,7175,6459,13031,6786,6245,14980,7667,7313,15153,7977,7176,15206,7867,7339,15325,8021,7304,50556,26300,24256,16226,8471,7755,16696,8645,8051,17634,9184,8450
106學年,高雄市,125875,65416,60459,19565,10160,9405,18683,9641,9042,21013,10849,10164,21850,11414,10436,22038,11500,10538,22726,11852,10874,72395,37766,34629,23285,12135,11150,23609,12370,11239,25501,13261,12240
106學年,宜蘭縣,21563,11152,10411,3377,1766,1611,3312,1680,1632,3700,1937,1763,3599,1852,1747,3668,1894,1774,3907,2023,1884,14108,7557,6551,4536,2401,2135,4657,2537,2120,4915,2619,2296
106學年,新竹縣,35578,18662,16916,5822,3073,2749,5572,2932,2640,6105,3173,2932,6164,3259,2905,5983,3109,2874,5932,3116,2816,17398,9095,8303,5622,2957,2665,5789,3030,2759,5987,3108,2879
106學年,苗栗縣,27602,14404,13198,4368,2236,2132,4059,2128,1931,4593,2391,2202,4755,2511,2244,4898,2586,2312,4929,2552,2377,15835,8536,7299,5052,2643,2409,5139,2783,2356,5644,3110,2534
106學年,彰化縣,62830,32953,29877,9536,4972,4564,9446,4893,4553,10532,5494,5038,10769,5615,5154,10972,5861,5111,11575,6118,5457,37275,19618,17657,11586,5998,5588,12416,6605,5811,13273,7015,6258
106學年,南投縣,23221,12127,11094,3545,1828,1717,3462,1809,1653,3705,1946,1759,3962,2079,1883,4151,2172,1979,4396,2293,2103,14436,7538,6898,4485,2315,2170,4765,2505,2260,5186,2718,2468
106學年,雲林縣,32410,17073,15337,4737,2443,2294,4755,2500,2255,5306,2817,2489,5617,2954,2663,5826,3103,2723,6169,3256,2913,21017,10968,10049,6564,3396,3168,6960,3651,3309,7493,3921,3572
106學年,嘉義縣,19569,10250,9319,2860,1475,1385,2827,1510,1317,3142,1672,1470,3328,1729,1599,3509,1844,1665,3903,2020,1883,12207,6423,5784,3807,2006,1801,4045,2145,1900,4355,2272,2083
106學年,屏東縣,35661,18653,17008,5321,2774,2547,5251,2758,2493,5796,3011,2785,6066,3203,2863,6482,3348,3134,6745,3559,3186,22574,11779,10795,7088,3643,3445,7394,3935,3459,8092,4201,3891
106學年,臺東縣,10385,5428,4957,1592,808,784,1497,742,755,1692,921,771,1759,947,812,1856,948,908,1989,1062,927,6303,3346,2957,1998,1081,917,2052,1099,953,2253,1166,1087
106學年,花蓮縣,15390,8108,7282,2373,1265,1108,2360,1254,1106,2579,1348,1231,2627,1366,1261,2636,1381,1255,2815,1494,1321,9614,5050,4564,3030,1553,1477,3198,1677,1521,3386,1820,1566
