學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
106學年,總計,94407,27340,67067,724,174,550,58814,16057,42757,32933,10712,22221,1936,397,1539,46772,14441,32331,-,-,-,30631,8892,21739,15671,5365,10306,470,184,286
106學年,新北市,14113,3798,10315,-,-,-,13713,3704,10009,-,-,-,400,94,306,5953,1659,4294,-,-,-,5953,1659,4294,-,-,-,-,-,-
106學年,臺北市,9649,2361,7288,102,21,81,9027,2254,6773,-,-,-,520,86,434,5069,1381,3688,-,-,-,5017,1360,3657,-,-,-,52,21,31
106學年,桃園市,8905,2344,6561,-,-,-,8806,2325,6481,-,-,-,99,19,80,5401,1601,3800,-,-,-,5376,1589,3787,-,-,-,25,12,13
106學年,臺中市,11502,3095,8407,63,19,44,11145,3011,8134,-,-,-,294,65,229,5525,1678,3847,-,-,-,5518,1676,3842,-,-,-,7,2,5
106學年,臺南市,6949,2085,4864,150,36,114,6704,2035,4669,-,-,-,95,14,81,3385,1001,2384,-,-,-,3329,978,2351,-,-,-,56,23,33
106學年,高雄市,9526,2744,6782,10,1,9,9419,2728,6691,-,-,-,97,15,82,5438,1630,3808,-,-,-,5438,1630,3808,-,-,-,-,-,-
106學年,宜蘭縣,2052,775,1277,-,-,-,-,-,-,2032,767,1265,20,8,12,1195,451,744,-,-,-,-,-,-,1195,451,744,-,-,-
106學年,新竹縣,2841,626,2215,-,-,-,-,-,-,2760,600,2160,81,26,55,1350,318,1032,-,-,-,-,-,-,1330,313,1017,20,5,15
106學年,苗栗縣,2667,834,1833,-,-,-,-,-,-,2667,834,1833,-,-,-,1194,376,818,-,-,-,-,-,-,1194,376,818,-,-,-
106學年,彰化縣,5342,1724,3618,-,-,-,-,-,-,5342,1724,3618,-,-,-,2528,894,1634,-,-,-,-,-,-,2528,894,1634,-,-,-
106學年,南投縣,2569,957,1612,-,-,-,-,-,-,2509,937,1572,60,20,40,1275,484,791,-,-,-,-,-,-,1246,468,778,29,16,13
106學年,雲林縣,3305,1155,2150,-,-,-,-,-,-,3240,1141,2099,65,14,51,1430,537,893,-,-,-,-,-,-,1229,462,767,201,75,126
106學年,嘉義縣,2409,934,1475,-,-,-,-,-,-,2409,934,1475,-,-,-,1013,357,656,-,-,-,-,-,-,1013,357,656,-,-,-
106學年,屏東縣,3531,1322,2209,47,12,35,-,-,-,3472,1307,2165,12,3,9,1578,616,962,-,-,-,-,-,-,1510,592,918,68,24,44
106學年,臺東縣,1487,557,930,72,18,54,-,-,-,1405,534,871,10,5,5,656,248,408,-,-,-,-,-,-,656,248,408,-,-,-
106學年,花蓮縣,1862,627,1235,58,17,41,-,-,-,1737,599,1138,67,11,56,885,332,553,-,-,-,-,-,-,885,332,553,-,-,-
106學年,澎湖縣,585,230,355,-,-,-,-,-,-,585,230,355,-,-,-,291,129,162,-,-,-,-,-,-,291,129,162,-,-,-
106學年,基隆市,1375,411,964,-,-,-,-,-,-,1324,400,924,51,11,40,652,187,465,-,-,-,-,-,-,652,187,465,-,-,-
106學年,新竹市,2106,309,1797,164,36,128,-,-,-,1877,267,1610,65,6,59,1010,231,779,-,-,-,-,-,-,998,225,773,12,6,6
