學年別,學歷別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
106學年,總計,94407,27340,67067,724,174,550,58814,16057,42757,32933,10712,22221,1936,397,1539,46772,14441,32331,-,-,-,30631,8892,21739,15671,5365,10306,470,184,286
106學年,專科,324,138,186,1,1,-,187,76,111,112,60,52,24,1,23,27,12,15,-,-,-,17,8,9,10,4,6,-,-,-
106學年,學士,40045,9779,30266,269,62,207,24852,5730,19122,13760,3760,10000,1164,227,937,20037,5795,14242,-,-,-,13199,3510,9689,6590,2199,4391,248,86,162
106學年,碩士,52983,16841,36142,439,103,336,33092,9905,23187,18721,6673,12048,731,160,571,26273,8420,17853,-,-,-,17135,5242,11893,8918,3082,5836,220,96,124
106學年,博士,1033,581,452,15,8,7,670,345,325,334,219,115,14,9,5,428,209,219,-,-,-,277,130,147,149,77,72,2,2,-
106學年,其他,22,1,21,-,-,-,13,1,12,6,-,6,3,-,3,7,5,2,-,-,-,3,2,1,4,3,1,-,-,-
105學年,總計,95081,27674,67407,722,171,551,59320,16262,43058,33115,10870,22245,1924,371,1553,48063,14922,33141,-,-,-,31509,9196,22313,16089,5537,10552,465,189,276
105學年,專科,412,172,240,1,1,-,222,94,128,162,77,85,27,-,27,29,11,18,-,-,-,15,5,10,14,6,8,-,-,-
105學年,學士,42281,10298,31983,281,66,215,26517,6030,20487,14314,3991,10323,1169,211,958,22139,6403,15736,-,-,-,14552,3883,10669,7322,2426,4896,265,94,171
105學年,碩士,51470,16674,34796,425,95,330,32016,9832,22184,18316,6594,11722,713,153,560,25389,8274,17115,-,-,-,16571,5147,11424,8619,3033,5586,199,94,105
105學年,博士,896,523,373,15,9,6,556,302,254,312,205,107,13,7,6,487,222,265,-,-,-,357,152,205,129,69,60,1,1,-
105學年,其他,22,7,15,-,-,-,9,4,5,11,3,8,2,-,2,19,12,7,-,-,-,14,9,5,5,3,2,-,-,-
104學年,總計,97368,28478,68890,722,170,552,60982,16748,44234,33784,11199,22585,1880,361,1519,50394,15711,34683,-,-,-,33039,9650,23389,16890,5860,11030,465,201,264
104學年,專科,524,207,317,1,-,1,320,123,197,170,83,87,33,1,32,45,19,26,-,-,-,9,4,5,36,15,21,-,-,-
104學年,學士,46469,11337,35132,309,63,246,29373,6660,22713,15627,4406,11221,1160,208,952,25578,7468,18110,-,-,-,16842,4526,12316,8457,2837,5620,279,105,174
104學年,碩士,49420,16409,33011,393,96,297,30701,9651,21050,17655,6518,11137,671,144,527,24413,8043,16370,-,-,-,15946,5002,10944,8282,2946,5336,185,95,90
