學年別,年資別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
106學年,總計,94407,27340,67067,724,174,550,58814,16057,42757,32933,10712,22221,1936,397,1539,46772,14441,32331,-,-,-,30631,8892,21739,15671,5365,10306,470,184,286
106學年,未滿1年,5291,1078,4213,28,8,20,2941,571,2370,2126,446,1680,196,53,143,1970,681,1289,-,-,-,1095,368,727,805,294,511,70,19,51
106學年,1年至未滿5年,11395,2275,9120,117,33,84,7163,1400,5763,3591,746,2845,524,96,428,5474,1591,3883,-,-,-,3644,1004,2640,1748,561,1187,82,26,56
106學年,5年至未滿10年,7161,1418,5743,125,25,100,4473,834,3639,2123,467,1656,440,92,348,6692,1919,4773,-,-,-,4445,1233,3212,2183,659,1524,64,27,37
106學年,10年至未滿15年,13840,3897,9943,136,28,108,8405,2215,6190,4880,1578,3302,419,76,343,11582,3273,8309,-,-,-,7378,1954,5424,4124,1282,2842,80,37,43
106學年,15年至未滿20年,25181,6716,18465,134,26,108,15938,3893,12045,8950,2770,6180,159,27,132,9340,2831,6509,-,-,-,6041,1680,4361,3221,1119,2102,78,32,46
106學年,20年至未滿25年,16831,6290,10541,73,16,57,10272,3650,6622,6410,2607,3803,76,17,59,7430,2505,4925,-,-,-,5145,1612,3533,2236,873,1363,49,20,29
106學年,25年至未滿30年,11454,3971,7483,82,28,54,7475,2426,5049,3834,1504,2330,63,13,50,3373,1190,2183,-,-,-,2262,748,1514,1083,431,652,28,11,17
106學年,30年以上,3254,1695,1559,29,10,19,2147,1068,1079,1019,594,425,59,23,36,911,451,460,-,-,-,621,293,328,271,146,125,19,12,7
105學年,總計,95081,27674,67407,722,171,551,59320,16262,43058,33115,10870,22245,1924,371,1553,48063,14922,33141,-,-,-,31509,9196,22313,16089,5537,10552,465,189,276
105學年,未滿1年,5456,1123,4333,32,6,26,3179,601,2578,2070,474,1596,175,42,133,2377,842,1535,-,-,-,1337,450,887,976,369,607,64,23,41
105學年,1年至未滿5年,11077,2143,8934,102,32,70,7012,1338,5674,3401,664,2737,562,109,453,6739,1904,4835,-,-,-,4481,1210,3271,2178,668,1510,80,26,54
