學年別,年齡別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
106學年,總計,94407,27340,67067,724,174,550,58814,16057,42757,32933,10712,22221,1936,397,1539,46772,14441,32331,-,-,-,30631,8892,21739,15671,5365,10306,470,184,286
106學年,未滿25歲,1318,183,1135,12,2,10,812,111,701,466,66,400,28,4,24,478,104,374,-,-,-,307,67,240,164,37,127,7,-,7
106學年,25歲至未滿30歲,5491,1091,4400,60,17,43,3440,633,2807,1828,412,1416,163,29,134,3223,767,2456,-,-,-,2151,462,1689,1020,290,730,52,15,37
106學年,30歲至未滿35歲,8780,2004,6776,106,17,89,5685,1252,4433,2642,680,1962,347,55,292,6498,1774,4724,-,-,-,4408,1171,3237,2031,587,1444,59,16,43
106學年,35歲至未滿40歲,18196,5082,13114,171,41,130,11178,2959,8219,6263,1973,4290,584,109,475,10494,3035,7459,-,-,-,6744,1877,4867,3654,1134,2520,96,24,72
106學年,40歲至未滿45歲,22271,6487,15784,133,30,103,13786,3737,10049,8030,2647,5383,322,73,249,10915,3434,7481,-,-,-,7067,2035,5032,3753,1351,2402,95,48,47
106學年,45歲至未滿50歲,23622,8258,15364,168,47,121,14682,4852,9830,8561,3314,5247,211,45,166,8748,2783,5965,-,-,-,5775,1735,4040,2895,1011,1884,78,37,41
106學年,50歲至未滿55歲,11379,3224,8155,54,14,40,7218,1970,5248,3972,1203,2769,135,37,98,4667,1769,2898,-,-,-,3077,1084,1993,1548,668,880,42,17,25
106學年,55歲至未滿60歲,2666,766,1900,16,6,10,1641,424,1217,923,310,613,86,26,60,1357,585,772,-,-,-,857,353,504,467,210,257,33,22,11
106學年,60歲至未滿65歲,662,234,428,4,-,4,367,116,251,243,105,138,48,13,35,382,185,197,-,-,-,240,105,135,135,76,59,7,4,3
106學年,65歲以上,22,11,11,-,-,-,5,3,2,5,2,3,12,6,6,10,5,5,-,-,-,5,3,2,4,1,3,1,1,-
105學年,總計,95081,27674,67407,722,171,551,59320,16262,43058,33115,10870,22245,1924,371,1553,48063,14922,33141,-,-,-,31509,9196,22313,16089,5537,10552,465,189,276
105學年,未滿25歲,1262,156,1106,18,-,18,777,101,676,444,50,394,23,5,18,535,74,461,-,-,-,336,47,289,192,27,165,7,-,7
105學年,25歲至未滿30歲,5563,1069,4494,55,13,42,3456,638,2818,1877,398,1479,175,20,155,3907,951,2956,-,-,-,2607,574,2033,1253,362,891,47,15,32
105學年,30歲至未滿35歲,9418,2264,7154,117,20,97,6003,1379,4624,2855,789,2066,443,76,367,7405,2091,5314,-,-,-,4964,1372,3592,2377,699,1678,64,20,44
105學年,35歲至未滿40歲,19713,5466,14247,164,44,120,12088,3156,8932,6938,2173,4765,523,93,430,11227,3265,7962,-,-,-,7158,1944,5214,3969,1288,2681,100,33,67
105學年,40歲至未滿45歲,22449,6923,15526,132,32,100,13915,3997,9918,8091,2819,5272,311,75,236,10460,3390,7070,-,-,-,6826,2050,4776,3545,1298,2247,89,42,47
105學年,45歲至未滿50歲,23378,8060,15318,168,48,120,14731,4797,9934,8291,3181,5110,188,34,154,8634,2791,5843,-,-,-,5782,1770,4012,2777,989,1788,75,32,43
