學年別,登記資格別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
106學年,總計,94407,27340,67067,724,174,550,58814,16057,42757,32933,10712,22221,1936,397,1539,46772,14441,32331,-,-,-,30631,8892,21739,15671,5365,10306,470,184,286
106學年,專任合格教師,82661,24881,57780,655,157,498,52680,14812,37868,27710,9585,18125,1616,327,1289,41404,12559,28845,-,-,-,27400,7780,19620,13601,4614,8987,403,165,238
106學年,長期代理教師,11709,2445,9264,69,17,52,6117,1238,4879,5215,1120,4095,308,70,238,5327,1855,3472,-,-,-,3199,1092,2107,2061,744,1317,67,19,48
106學年,其他教師,37,14,23,-,-,-,17,7,10,8,7,1,12,-,12,41,27,14,-,-,-,32,20,12,9,7,2,-,-,-
105學年,總計,95081,27674,67407,722,171,551,59320,16262,43058,33115,10870,22245,1924,371,1553,48063,14922,33141,-,-,-,31509,9196,22313,16089,5537,10552,465,189,276
105學年,專任合格教師,83997,25429,58568,663,159,504,53200,15086,38114,28511,9864,18647,1623,320,1303,42408,12919,29489,-,-,-,28133,8027,20106,13868,4722,9146,407,170,237
105學年,長期代理教師,11044,2221,8823,59,12,47,6111,1170,4941,4580,989,3591,294,50,244,5602,1968,3634,-,-,-,3339,1145,2194,2206,805,1401,57,18,39
105學年,其他教師,40,24,16,-,-,-,9,6,3,24,17,7,7,1,6,53,35,18,-,-,-,37,24,13,15,10,5,1,1,-
104學年,總計,97368,28478,68890,722,170,552,60982,16748,44234,33784,11199,22585,1880,361,1519,50394,15711,34683,-,-,-,33039,9650,23389,16890,5860,11030,465,201,264
104學年,專任合格教師,85555,26150,59405,644,157,487,53918,15437,38481,29403,10243,19160,1590,313,1277,43817,13455,30362,-,-,-,29134,8361,20773,14281,4920,9361,402,174,228
104學年,長期代理教師,11775,2309,9466,78,13,65,7046,1303,5743,4365,947,3418,286,46,240,6531,2228,4303,-,-,-,3869,1268,2601,2599,933,1666,63,27,36
104學年,其他教師,38,19,19,-,-,-,18,8,10,16,9,7,4,2,2,46,28,18,-,-,-,36,21,15,10,7,3,-,-,-
103學年,總計,98580,29083,69497,726,168,558,52708,14616,38092,43308,13960,29348,1838,339,1499,52154,16378,35776,-,-,-,28585,8415,20170,23031,7735,15296,538,228,310
103學年,專任合格教師,87152,26898,60254,649,153,496,47022,13574,33448,37941,12878,25063,1540,293,1247,44834,13828,31006,-,-,-,24848,7165,17683,19523,6470,13053,463,193,270
103學年,長期代理教師,11397,2169,9228,77,15,62,5682,1041,4641,5350,1070,4280,288,43,245,7254,2509,4745,-,-,-,3705,1230,2475,3474,1244,2230,75,35,40
103學年,其他教師,31,16,15,-,-,-,4,1,3,17,12,5,10,3,7,66,41,25,-,-,-,32,20,12,34,21,13,-,-,-
102學年,總計,97436,29178,68258,718,167,551,52350,14686,37664,42635,13997,28638,1733,328,1405,52451,16563,35888,-,-,-,28890,8518,20372,23042,7820,15222,519,225,294
102學年,專任合格教師,87662,27346,60316,657,155,502,47537,13831,33706,37957,13073,24884,1511,287,1224,45016,13973,31043,-,-,-,25047,7237,17810,19510,6533,12977,459,203,256
