學年別,縣市別,國小總計,國小國立,國小直轄市立,國小縣市立,國小私立,國中總計,國中國立,國中直轄市立,國中縣市立,國中私立
106學年,總計,22.79,26.79,24.21,19.50,32.81,27.49,26.73,26.50,25.67,40.14
106學年,新北市,25.29,-,24.97,-,35.85,28.27,15.00,26.80,-,40.94
106學年,臺北市,25.82,27.31,25.02,-,37.43,26.75,27.29,25.01,-,40.95
106學年,桃園市,24.64,-,24.58,-,29.30,27.94,-,26.85,-,42.13
106學年,臺中市,24.39,27.77,24.13,-,32.14,28.57,30.00,26.69,-,44.42
106學年,臺南市,22.55,26.73,22.33,-,31.30,28.18,26.79,26.33,-,39.64
106學年,高雄市,23.61,29.33,23.61,-,22.41,27.28,29.49,27.00,-,32.83
106學年,宜蘭縣,19.89,-,-,19.83,25.00,25.89,-,-,24.84,37.22
106學年,新竹縣,22.91,-,-,22.72,28.78,26.97,-,-,25.84,39.15
106學年,苗栗縣,19.30,-,-,19.30,-,26.04,23.53,-,25.05,39.70
106學年,彰化縣,22.40,-,-,22.40,-,28.54,-,-,27.58,49.63
106學年,南投縣,16.71,-,-,16.39,26.07,25.46,-,-,25.18,29.23
106學年,雲林縣,18.89,-,-,18.70,28.97,28.17,-,-,26.31,34.38
106學年,嘉義縣,15.73,-,-,15.73,-,25.33,-,-,24.26,40.84
106學年,屏東縣,18.65,27.75,-,18.51,25.17,26.81,-,-,26.03,37.98
106學年,臺東縣,13.68,25.35,-,12.99,18.67,22.51,15.33,-,22.75,25.33
106學年,花蓮縣,15.96,28.20,-,15.20,24.08,24.40,-,-,23.83,30.67
106學年,澎湖縣,12.11,-,-,12.11,-,20.90,-,-,20.90,-
106學年,基隆市,22.30,-,-,21.72,35.47,27.29,-,-,24.70,50.11
106學年,新竹市,25.50,25.37,-,25.10,36.64,28.08,29.43,-,26.98,39.24
106學年,嘉義市,24.82,28.17,-,24.65,-,29.66,-,-,27.43,40.61
106學年,金門縣,18.46,-,-,18.46,-,24.66,-,-,24.66,-
106學年,連江縣,9.29,-,-,9.29,-,12.61,-,-,12.61,-
105學年,總計,22.97,26.79,24.38,19.77,33.06,27.89,27.12,26.91,26.10,40.67
105學年,新北市,25.49,-,25.16,-,36.74,28.80,15.33,27.37,-,41.41
105學年,臺北市,25.68,27.91,24.89,-,37.19,26.85,27.14,25.21,-,40.80
105學年,桃園市,24.78,-,24.71,-,30.60,28.52,-,27.43,-,43.33
105學年,臺中市,24.50,27.90,24.26,-,32.13,29.06,30.00,27.15,-,45.90
105學年,臺南市,22.92,26.60,22.72,-,30.56,28.41,27.08,26.60,-,39.68
105學年,高雄市,23.87,29.50,23.88,-,21.88,27.56,29.64,27.29,-,33.15
105學年,宜蘭縣,19.85,-,-,19.80,24.58,26.30,-,-,25.12,39.96
105學年,新竹縣,22.92,-,-,22.75,28.64,27.34,-,-,26.21,38.67
105學年,苗栗縣,19.60,-,-,19.60,-,26.43,25.19,-,25.50,39.37
105學年,彰化縣,22.63,-,-,22.63,-,28.98,-,-,28.04,51.14
105學年,南投縣,17.14,-,-,16.83,26.91,26.19,-,-,25.83,31.25
105學年,雲林縣,19.31,-,-,19.12,30.32,28.35,-,-,26.54,34.43
105學年,嘉義縣,16.18,-,-,16.18,-,25.99,-,-,24.98,40.03
105學年,屏東縣,19.07,27.58,-,18.97,18.67,27.10,-,-,26.28,39.25
105學年,臺東縣,14.04,25.35,-,13.39,17.00,23.12,16.42,-,23.35,25.22
105學年,花蓮縣,16.36,28.13,-,15.59,25.15,25.16,-,-,24.46,33.09
105學年,澎湖縣,12.78,-,-,12.78,-,21.32,-,-,21.32,-
105學年,基隆市,22.29,-,-,21.74,35.43,27.56,-,-,25.12,49.05
105學年,新竹市,25.44,25.06,-,25.13,35.17,28.31,31.14,-,27.30,37.93
105學年,嘉義市,24.87,28.30,-,24.69,-,30.21,-,-,27.73,42.53
105學年,金門縣,18.55,-,-,18.55,-,24.98,-,-,24.98,-
105學年,連江縣,9.10,-,-,9.10,-,13.83,-,-,13.83,-
104學年,總計,23.17,26.68,24.55,20.07,33.20,28.70,27.71,27.88,26.78,41.28
104學年,新北市,25.70,-,25.39,-,37.13,29.78,17.67,28.43,-,42.25
104學年,臺北市,25.63,27.69,24.83,-,37.55,28.04,27.27,26.55,-,41.40
104學年,桃園市,25.02,-,24.97,-,30.33,29.44,-,28.46,-,43.66
104學年,臺中市,24.59,27.63,24.37,-,32.18,30.10,-,28.24,-,47.78
104學年,臺南市,23.16,26.74,22.97,-,30.48,28.72,27.46,26.98,-,39.84
104學年,高雄市,24.09,30.50,24.11,-,21.28,28.33,30.18,28.01,-,35.20
104學年,宜蘭縣,19.87,-,-,19.84,23.00,26.78,-,-,25.74,38.14
104學年,新竹縣,23.16,-,-,22.98,29.17,27.67,-,-,26.58,38.56
104學年,苗栗縣,19.87,-,-,19.87,-,26.98,26.47,-,26.06,40.16
104學年,彰化縣,23.07,-,-,23.07,-,29.37,-,-,28.48,52.61
104學年,南投縣,17.35,-,-,17.07,27.28,26.80,-,-,26.58,29.61
104學年,雲林縣,19.76,-,-,19.56,31.32,28.99,-,-,27.20,35.34
