學年別,年齡別,總計計,總計男,總計女,7年級計,7年級男,7年級女,8年級計,8年級男,8年級女,9年級計,9年級男,9年級女
106學年,總計,653273,341965,311308,208880,108821,100059,214607,112964,101643,229786,120180,109606
106學年,未滿12歲,334,181,153,308,170,138,23,10,13,3,1,2
106學年,12至未滿13歲,207706,108130,99576,207356,107950,99406,342,175,167,8,5,3
106學年,13至未滿14歲,214413,112851,101562,1057,614,443,212928,112020,100908,428,217,211
106學年,14至未滿15歲,229025,119794,109231,131,72,59,1153,667,486,227741,119055,108686
106學年,15至未滿16歲,1557,894,663,23,14,9,130,77,53,1404,803,601
106學年,16至未滿17歲,202,103,99,4,1,3,22,14,8,176,88,88
106學年,17至未滿18歲,35,11,24,1,-,1,9,1,8,25,10,15
106學年,19歲以上,1,1,-,-,-,-,-,-,-,1,1,-
105學年,總計,687212,359949,327263,214826,113075,101751,229982,120297,109685,242404,126577,115827
105學年,未滿12歲,392,209,183,374,197,177,14,8,6,4,4,-
105學年,12至未滿13歲,213496,112297,101199,213063,112079,100984,428,215,213,5,3,2
105學年,13至未滿14歲,229570,120096,109474,1227,712,515,227889,119152,108737,454,232,222
105學年,14至未滿15歲,241661,126167,115494,122,64,58,1449,821,628,240090,125282,114808
105學年,15至未滿16歲,1877,1068,809,28,18,10,177,89,88,1672,961,711
105學年,16至未滿17歲,181,93,88,10,5,5,24,11,13,147,77,70
105學年,17至未滿18歲,30,17,13,1,-,1,1,1,-,28,16,12
105學年,18至未滿19歲,4,1,3,1,-,1,-,-,-,3,1,2
105學年,19歲以上,1,1,-,-,-,-,-,-,-,1,1,-
104學年,總計,747724,390473,357251,230116,120436,109680,242692,126786,115906,274916,143251,131665
104學年,未滿12歲,495,249,246,476,237,239,16,10,6,3,2,1
104學年,12至未滿13歲,228631,119568,109063,228145,119328,108817,482,238,244,4,2,2
104學年,13至未滿14歲,242265,126580,115685,1301,772,529,240495,125563,114932,469,245,224
104學年,14至未滿15歲,274342,142925,131417,163,85,78,1526,881,645,272653,141959,130694
104學年,15至未滿16歲,1784,1036,748,31,14,17,144,78,66,1609,944,665
104學年,16至未滿17歲,174,98,76,-,-,-,26,14,12,148,84,64
104學年,17至未滿18歲,29,16,13,-,-,-,3,2,1,26,14,12
104學年,18至未滿19歲,3,1,2,-,-,-,-,-,-,3,1,2
104學年,19歲以上,1,-,1,-,-,-,-,-,-,1,-,1
103學年,總計,803233,419415,383818,242864,126860,116004,275028,143317,131711,285341,149238,136103
103學年,未滿12歲,605,271,334,595,269,326,10,2,8,-,-,-
103學年,12至未滿13歲,241001,125808,115193,240440,125539,114901,556,266,290,5,3,2
103學年,13至未滿14歲,275251,143403,131848,1644,953,691,272701,142026,130675,906,424,482
103學年,14至未滿15歲,284411,148781,135630,152,81,71,1587,918,669,282672,147782,134890
103學年,15至未滿16歲,1777,1052,725,28,15,13,139,89,50,1610,948,662
103學年,16至未滿17歲,153,85,68,4,2,2,27,14,13,122,69,53
103學年,17至未滿18歲,32,14,18,1,1,-,7,2,5,24,11,13
103學年,18至未滿19歲,3,1,2,-,-,-,1,-,1,2,1,1
102學年,總計,831925,433967,397958,275149,143386,131763,285469,149310,136159,271307,141271,130036
102學年,未滿12歲,721,375,346,709,365,344,12,10,2,-,-,-
102學年,12至未滿13歲,273430,142362,131068,272567,141929,130638,857,430,427,6,3,3
102學年,13至未滿14歲,285541,149347,136194,1700,999,701,282823,147838,134985,1018,510,508
102學年,14至未滿15歲,270040,140644,129396,132,75,57,1631,951,680,268277,139618,128659
102學年,15至未滿16歲,1938,1096,842,26,15,11,118,64,54,1794,1017,777
102學年,16至未滿17歲,207,119,88,12,3,9,22,15,7,173,101,72
102學年,17至未滿18歲,44,22,22,2,-,2,6,2,4,36,20,16
102學年,18至未滿19歲,3,2,1,-,-,-,-,-,-,3,2,1
102學年,19歲以上,1,-,1,1,-,1,-,-,-,-,-,-
101學年,總計,844884,440711,404173,285560,149409,136151,271463,141350,130113,287861,149952,137909
101學年,未滿12歲,990,514,476,963,498,465,27,16,11,-,-,-
101學年,12至未滿13歲,283918,148427,135491,282817,147865,134952,1094,557,537,7,5,2
101學年,13至未滿14歲,270918,141075,129843,1616,955,661,268304,139634,128670,998,486,512
101學年,14至未滿15歲,286383,149163,137220,120,70,50,1830,1027,803,284433,148066,136367
101學年,15至未滿16歲,2394,1372,1022,36,17,19,169,96,73,2189,1259,930
101學年,16至未滿17歲,234,134,100,8,4,4,32,16,16,194,114,80
