學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,4年級計,4年級男,4年級女,5年級計,5年級男,5年級女,6年級計,6年級男,6年級女
106學年,總計,1146679,598546,548133,182474,94698,87776,174451,91043,83408,191356,99688,91668,197905,103639,94266,198714,103683,95031,201779,105795,95984
106學年,未滿6歲,121,48,73,109,44,65,3,-,3,9,4,5,-,-,-,-,-,-,-,-,-
106學年,6至未滿7歲,182216,94549,87667,182146,94506,87640,69,42,27,1,1,-,-,-,-,-,-,-,-,-,-
106學年,7至未滿8歲,174392,91018,83374,206,139,67,174090,90832,83258,95,46,49,1,1,-,-,-,-,-,-,-
106學年,8至未滿9歲,191295,99646,91649,8,6,2,258,153,105,190907,99424,91483,120,61,59,2,2,-,-,-,-
106學年,9至未滿10歲,197852,103610,94242,4,2,2,19,13,6,310,195,115,197376,103330,94046,139,67,72,4,3,1
106學年,10至未滿11歲,198560,103600,94960,-,-,-,10,2,8,25,14,11,353,218,135,198040,103296,94744,132,70,62
106學年,11至未滿12歲,201484,105655,95829,1,1,-,2,1,1,7,3,4,38,22,16,474,292,182,200962,105336,95626
106學年,12至未滿13歲,661,376,285,-,-,-,-,-,-,2,1,1,13,7,6,44,22,22,602,346,256
106學年,13至未滿14歲,74,35,39,-,-,-,-,-,-,-,-,-,3,-,3,13,3,10,58,32,26
106學年,14至未滿15歲,18,6,12,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,16,5,11
106學年,15歲以上,6,3,3,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,5,3,2
105學年,總計,1173885,613157,560728,174670,91178,83492,191463,99786,91677,198133,103769,94364,198801,103709,95092,201848,105837,96011,208970,108878,100092
105學年,未滿6歲,77,46,31,77,46,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,6至未滿7歲,174353,90966,83387,174259,90918,83341,93,47,46,-,-,-,1,1,-,-,-,-,-,-,-
105學年,7至未滿8歲,191397,99739,91658,305,200,105,190980,99481,91499,112,58,54,-,-,-,-,-,-,-,-,-
105學年,8至未滿9歲,198129,103797,94332,24,12,12,360,243,117,197595,103461,94134,144,75,69,6,6,-,-,-,-
105學年,9至未滿10歲,198689,103608,95081,5,2,3,19,11,8,375,223,152,198112,103293,94819,176,78,98,2,1,1
105學年,10至未滿11歲,201671,105782,95889,-,-,-,4,3,1,38,21,17,484,309,175,201009,105366,95643,136,83,53
105學年,11至未滿12歲,208657,108689,99968,-,-,-,6,1,5,11,6,5,42,25,17,583,350,233,208015,108307,99708
105學年,12至未滿13歲,804,474,330,-,-,-,-,-,-,2,-,2,16,6,10,56,28,28,730,440,290
105學年,13至未滿14歲,86,43,43,-,-,-,-,-,-,-,-,-,2,-,2,13,5,8,71,38,33
105學年,14至未滿15歲,17,10,7,-,-,-,1,-,1,-,-,-,-,-,-,3,2,1,13,8,5
105學年,15歲以上,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,3,1,2
104學年,總計,1214360,635202,579158,191536,99821,91715,198159,103742,94417,198896,103801,95095,201941,105890,96051,208969,108884,100085,214859,113064,101795
104學年,未滿6歲,126,65,61,123,62,61,-,-,-,-,-,-,2,2,-,-,-,-,1,1,-
104學年,6至未滿7歲,191214,99608,91606,191085,99539,91546,129,69,60,-,-,-,-,-,-,-,-,-,-,-,-
104學年,7至未滿8歲,198119,103733,94386,305,205,100,197655,103446,94209,158,81,77,-,-,-,1,1,-,-,-,-
104學年,8至未滿9歲,198754,103720,95034,12,9,3,343,214,129,198254,103425,94829,140,70,70,5,2,3,-,-,-
104學年,9至未滿10歲,201793,105821,95972,7,5,2,22,11,11,437,272,165,201209,105462,95747,113,68,45,5,3,2
104學年,10至未滿11歲,208891,108840,100051,3,1,2,8,2,6,32,16,16,530,322,208,208139,108405,99734,179,94,85
104學年,11至未滿12歲,214486,112865,101621,-,-,-,2,-,2,14,7,7,47,27,20,631,367,264,213792,112464,101328
104學年,12至未滿13歲,842,473,369,-,-,-,-,-,-,1,-,1,10,4,6,65,34,31,766,435,331
104學年,13至未滿14歲,96,55,41,-,-,-,-,-,-,-,-,-,1,1,-,12,6,6,83,48,35
104學年,14至未滿15歲,28,19,9,-,-,-,-,-,-,-,-,-,2,2,-,2,1,1,24,16,8
104學年,15歲以上,11,3,8,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,9,3,6
103學年,總計,1252762,655841,596921,198232,103860,94372,198886,103792,95094,201892,105884,96008,208919,108839,100080,214763,113024,101739,230070,120442,109628
103學年,未滿6歲,164,84,80,164,84,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
