學年別,學生數組別,國小總計,國小國立,國小直轄市立,國小縣市立,國小私立,國中總計,國中國立,國中直轄市立,國中縣市立,國中私立
106學年,總計,50311,380,31396,17415,1120,23761,173,14289,7138,2161
106學年,4 人以下,1082,-,281,801,-,11,-,-,7,4
106學年,5 至 9 人,2738,-,682,2049,7,54,-,17,31,6
106學年,10 至 14 人,2684,-,888,1791,5,167,5,71,83,8
106學年,15 至 19 人,4567,-,2110,2400,57,973,15,481,452,25
106學年,20 至 24 人,13821,51,9062,4602,106,4653,20,3036,1542,55
106學年,25 至 29 人,23797,321,17527,5758,191,14565,106,9474,4787,198
106學年,30 至 34 人,1109,8,841,13,247,1652,27,1193,236,196
106學年,35 至 39 人,267,-,3,1,263,332,-,17,-,315
106學年,40 至 44 人,233,-,2,-,231,794,-,-,-,794
106學年,45 至 49 人,13,-,-,-,13,407,-,-,-,407
106學年,50 至 54 人,-,-,-,-,-,111,-,-,-,111
106學年,55 人以上,-,-,-,-,-,42,-,-,-,42
105學年,總計,51097,380,31829,17806,1082,24637,170,14829,7446,2192
105學年,4 人以下,978,-,258,720,-,9,-,-,3,6
105學年,5 至 9 人,2655,-,665,1989,1,47,1,14,28,4
105學年,10 至 14 人,2637,-,824,1804,9,153,4,59,78,12
105學年,15 至 19 人,4653,-,2138,2473,42,732,9,345,361,17
105學年,20 至 24 人,13865,64,9006,4674,121,3971,22,2480,1416,53
105學年,25 至 29 人,24312,299,17714,6127,172,15952,99,10470,5191,192
105學年,30 至 34 人,1495,17,1220,19,239,1977,35,1431,369,142
105學年,35 至 39 人,253,-,3,-,250,393,-,30,-,363
105學年,40 至 44 人,233,-,1,-,232,767,-,-,-,767
105學年,45 至 49 人,16,-,-,-,16,451,-,-,-,451
105學年,50 至 54 人,-,-,-,-,-,150,-,-,-,150
105學年,55 人以上,-,-,-,-,-,35,-,-,-,35
104學年,總計,52404,380,32611,18352,1061,26052,167,15740,7904,2241
104學年,4 人以下,917,-,224,693,-,9,-,-,5,4
104學年,5 至 9 人,2494,-,614,1879,1,27,-,6,17,4
104學年,10 至 14 人,2674,-,826,1844,4,123,2,44,67,10
104學年,15 至 19 人,4728,-,2087,2583,58,535,8,241,264,22
104學年,20 至 24 人,14105,67,9249,4677,112,2955,26,1779,1110,40
104學年,25 至 29 人,25285,294,18198,6635,158,16771,67,10732,5799,173
104學年,30 至 34 人,1710,19,1411,39,241,3627,64,2796,601,166
104學年,35 至 39 人,231,-,2,2,227,503,-,142,41,320
104學年,40 至 44 人,232,-,-,-,232,806,-,-,-,806
104學年,45 至 49 人,28,-,-,-,28,446,-,-,-,446
104學年,50 至 54 人,-,-,-,-,-,148,-,-,-,148
104學年,55 人以上,-,-,-,-,-,102,-,-,-,102
103學年,總計,53541,380,28167,23953,1041,27251,159,14045,10795,2252
103學年,4 人以下,879,-,189,690,-,7,-,-,3,4
103學年,5 至 9 人,2363,-,506,1855,2,31,-,6,21,4
103學年,10 至 14 人,2671,-,726,1927,18,99,-,33,53,13
