學年別,縣市別,國小總計計,國小總計男,國小總計女,國小國立計,國小國立男,國小國立女,國小直轄市立計,國小直轄市立男,國小直轄市立女,國小縣市立計,國小縣市立男,國小縣市立女,國小私立計,國小私立男,國小私立女,國中總計計,國中總計男,國中總計女,國中國立計,國中國立男,國中國立女,國中直轄市立計,國中直轄市立男,國中直轄市立女,國中縣市立計,國中縣市立男,國中縣市立女,國中私立計,國中私立男,國中私立女
105學年,總計,208832,108750,100082,1740,928,812,136867,71329,65538,64670,33523,31147,5555,2970,2585,236042,121894,114148,1473,699,774,137432,70714,66718,67598,34890,32708,29539,15591,13948
105學年,新北市,33915,17579,16336,-,-,-,32701,16927,15774,-,-,-,1214,652,562,35375,18073,17302,21,9,12,30179,15367,14812,-,-,-,5175,2697,2478
105學年,臺北市,20027,10584,9443,283,149,134,18064,9572,8492,-,-,-,1680,863,817,23560,12187,11373,422,199,223,19668,10267,9401,-,-,-,3470,1721,1749
105學年,桃園市,22070,11591,10479,-,-,-,21866,11473,10393,-,-,-,204,118,86,24393,12708,11685,-,-,-,21998,11416,10582,-,-,-,2395,1292,1103
105學年,臺中市,26894,13965,12929,143,84,59,25868,13391,12477,-,-,-,883,490,393,30952,15846,15106,-,-,-,26094,13306,12788,-,-,-,4858,2540,2318
105學年,臺南市,15747,8221,7526,373,201,172,15087,7872,7215,-,-,-,287,148,139,18403,9524,8879,217,92,125,14764,7647,7117,-,-,-,3422,1785,1637
105學年,高雄市,23436,12179,11257,33,14,19,23281,12094,11187,-,-,-,122,71,51,26382,13633,12749,378,181,197,24729,12711,12018,-,-,-,1275,741,534
105學年,宜蘭縣,4145,2153,1992,-,-,-,-,-,-,4104,2129,1975,41,24,17,5000,2616,2384,-,-,-,-,-,-,4421,2223,2198,579,393,186
105學年,新竹縣,5923,3108,2815,-,-,-,-,-,-,5740,3022,2718,183,86,97,6153,3268,2885,-,-,-,-,-,-,5376,2841,2535,777,427,350
105學年,苗栗縣,5267,2751,2516,-,-,-,-,-,-,5267,2751,2516,-,-,-,5887,3111,2776,138,66,72,-,-,-,5202,2720,2482,547,325,222
105學年,彰化縣,12058,6227,5831,-,-,-,-,-,-,12058,6227,5831,-,-,-,13894,7250,6644,-,-,-,-,-,-,12983,6736,6247,911,514,397
105學年,南投縣,4607,2364,2243,-,-,-,-,-,-,4365,2229,2136,242,135,107,5547,2915,2632,-,-,-,-,-,-,5142,2658,2484,405,257,148
105學年,雲林縣,6362,3328,3034,-,-,-,-,-,-,6186,3229,2957,176,99,77,7714,3942,3772,-,-,-,-,-,-,5669,3011,2658,2045,931,1114
105學年,嘉義縣,4136,2165,1971,-,-,-,-,-,-,4136,2165,1971,-,-,-,4693,2436,2257,-,-,-,-,-,-,4210,2190,2020,483,246,237
105學年,屏東縣,7196,3674,3522,108,55,53,-,-,-,7088,3619,3469,-,-,-,8416,4268,4148,-,-,-,-,-,-,7624,3860,3764,792,408,384
105學年,臺東縣,1987,1071,916,175,92,83,-,-,-,1800,971,829,12,8,4,2251,1121,1130,75,38,37,-,-,-,2108,1049,1059,68,34,34
105學年,花蓮縣,2927,1506,1421,137,71,66,-,-,-,2619,1342,1277,171,93,78,3381,1706,1675,-,-,-,-,-,-,3047,1542,1505,334,164,170
105學年,澎湖縣,750,366,384,-,-,-,-,-,-,750,366,384,-,-,-,839,426,413,-,-,-,-,-,-,839,426,413,-,-,-
105學年,基隆市,3057,1574,1483,-,-,-,-,-,-,2908,1493,1415,149,81,68,3505,1783,1722,-,-,-,-,-,-,2874,1433,1441,631,350,281
105學年,新竹市,4834,2501,2333,347,187,160,-,-,-,4296,2212,2084,191,102,89,5262,2772,2490,222,114,108,-,-,-,4506,2367,2139,534,291,243
105學年,嘉義市,2819,1506,1313,141,75,66,-,-,-,2678,1431,1247,-,-,-,3676,1918,1758,-,-,-,-,-,-,2838,1443,1395,838,475,363
105學年,金門縣,611,306,305,-,-,-,-,-,-,611,306,305,-,-,-,671,343,328,-,-,-,-,-,-,671,343,328,-,-,-
105學年,連江縣,64,31,33,-,-,-,-,-,-,64,31,33,-,-,-,88,48,40,-,-,-,-,-,-,88,48,40,-,-,-
104學年,總計,214785,113006,101779,1739,924,815,140245,73529,66716,67522,35682,31840,5279,2871,2408,265886,136821,129065,1536,758,778,157265,80306,76959,76011,39366,36645,31074,16391,14683
104學年,新北市,35068,18610,16458,-,-,-,33972,18019,15953,-,-,-,1096,591,505,39815,20098,19717,27,13,14,34483,17442,17041,-,-,-,5305,2643,2662
104學年,臺北市,20281,10675,9606,266,131,135,18327,9651,8676,-,-,-,1688,893,795,26842,13730,13112,452,214,238,22766,11737,11029,-,-,-,3624,1779,1845
104學年,桃園市,22459,11881,10578,-,-,-,22301,11790,10511,-,-,-,158,91,67,27044,13962,13082,-,-,-,24702,12669,12033,-,-,-,2342,1293,1049
104學年,臺中市,27401,14242,13159,134,80,54,26452,13685,12767,-,-,-,815,477,338,35003,17926,17077,-,-,-,30051,15280,14771,-,-,-,4952,2646,2306
104學年,臺南市,16201,8387,7814,373,195,178,15501,8022,7479,-,-,-,327,170,157,21204,10933,10271,210,109,101,17117,8774,8343,-,-,-,3877,2050,1827
104學年,高雄市,23838,12438,11400,31,16,15,23692,12362,11330,-,-,-,115,60,55,30062,15464,14598,404,189,215,28146,14404,13742,-,-,-,1512,871,641
104學年,宜蘭縣,4290,2276,2014,-,-,-,-,-,-,4250,2255,1995,40,21,19,5742,3034,2708,-,-,-,-,-,-,5108,2626,2482,634,408,226
104學年,新竹縣,6044,3157,2887,-,-,-,-,-,-,5860,3061,2799,184,96,88,6762,3508,3254,-,-,-,-,-,-,5998,3088,2910,764,420,344
104學年,苗栗縣,5327,2868,2459,-,-,-,-,-,-,5327,2868,2459,-,-,-,6389,3304,3085,160,79,81,-,-,-,5619,2884,2735,610,341,269
104學年,彰化縣,12949,6867,6082,-,-,-,-,-,-,12949,6867,6082,-,-,-,15429,8064,7365,-,-,-,-,-,-,14538,7536,7002,891,528,363
104學年,南投縣,4845,2522,2323,-,-,-,-,-,-,4617,2387,2230,228,135,93,6127,3211,2916,-,-,-,-,-,-,5666,2932,2734,461,279,182
104學年,雲林縣,6711,3548,3163,-,-,-,-,-,-,6543,3467,3076,168,81,87,8661,4541,4120,-,-,-,-,-,-,6411,3522,2889,2250,1019,1231
104學年,嘉義縣,4408,2301,2107,-,-,-,-,-,-,4408,2301,2107,-,-,-,5222,2753,2469,-,-,-,-,-,-,4724,2457,2267,498,296,202
104學年,屏東縣,7501,3997,3504,105,60,45,-,-,-,7396,3937,3459,-,-,-,9415,4824,4591,-,-,-,-,-,-,8581,4399,4182,834,425,409
104學年,臺東縣,2008,1064,944,179,101,78,-,-,-,1829,963,866,-,-,-,2406,1212,1194,68,49,19,-,-,-,2253,1119,1134,85,44,41
104學年,花蓮縣,3076,1600,1476,142,79,63,-,-,-,2778,1436,1342,156,85,71,3693,1889,1804,-,-,-,-,-,-,3331,1715,1616,362,174,188
104學年,澎湖縣,765,403,362,-,-,-,-,-,-,765,403,362,-,-,-,982,530,452,-,-,-,-,-,-,982,530,452,-,-,-
104學年,基隆市,3109,1671,1438,-,-,-,-,-,-,2971,1591,1380,138,80,58,4102,2136,1966,-,-,-,-,-,-,3453,1739,1714,649,397,252
104學年,新竹市,4856,2548,2308,366,186,180,-,-,-,4324,2271,2053,166,91,75,5872,3046,2826,215,105,110,-,-,-,5105,2643,2462,552,298,254
104學年,嘉義市,2940,1578,1362,143,76,67,-,-,-,2797,1502,1295,-,-,-,4280,2202,2078,-,-,-,-,-,-,3408,1722,1686,872,480,392
104學年,金門縣,652,333,319,-,-,-,-,-,-,652,333,319,-,-,-,764,416,348,-,-,-,-,-,-,764,416,348,-,-,-
104學年,連江縣,56,40,16,-,-,-,-,-,-,56,40,16,-,-,-,70,38,32,-,-,-,-,-,-,70,38,32,-,-,-
103學年,總計,230012,120368,109644,1759,909,850,150372,78459,71913,72640,38161,34479,5241,2839,2402,276628,143189,133439,1550,769,781,164800,84830,79970,79254,41093,38161,31024,16497,14527
103學年,新北市,37181,19476,17705,-,-,-,36162,18942,17220,-,-,-,1019,534,485,41560,21209,20351,17,7,10,36084,18418,17666,-,-,-,5459,2784,2675
103學年,臺北市,22024,11536,10488,267,133,134,20033,10476,9557,-,-,-,1724,927,797,28131,14591,13540,437,199,238,24225,12691,11534,-,-,-,3469,1701,1768
103學年,桃園市,23883,12423,11460,-,-,-,23726,12327,11399,-,-,-,157,96,61,27821,14421,13400,-,-,-,25530,13162,12368,-,-,-,2291,1259,1032
103學年,臺中市,29414,15419,13995,144,68,76,28481,14906,13575,-,-,-,789,445,344,35715,18344,17371,-,-,-,30883,15705,15178,-,-,-,4832,2639,2193
103學年,臺南市,17067,8880,8187,370,187,183,16408,8540,7868,-,-,-,289,153,136,22348,11600,10748,215,107,108,18165,9368,8797,-,-,-,3968,2125,1843
103學年,高雄市,25723,13351,12372,35,22,13,25562,13268,12294,-,-,-,126,61,65,31806,16502,15304,396,189,207,29913,15486,14427,-,-,-,1497,827,670
103學年,宜蘭縣,4551,2376,2175,-,-,-,-,-,-,4520,2359,2161,31,17,14,5897,3122,2775,-,-,-,-,-,-,5276,2718,2558,621,404,217
103學年,新竹縣,6169,3190,2979,-,-,-,-,-,-,6017,3112,2905,152,78,74,6699,3439,3260,-,-,-,-,-,-,6023,3079,2944,676,360,316
103學年,苗栗縣,5806,3181,2625,-,-,-,-,-,-,5806,3181,2625,-,-,-,6582,3411,3171,174,100,74,-,-,-,5787,2957,2830,621,354,267
103學年,彰化縣,13687,7229,6458,-,-,-,-,-,-,13687,7229,6458,-,-,-,15947,8393,7554,-,-,-,-,-,-,15078,7867,7211,869,526,343
103學年,南投縣,5294,2757,2537,-,-,-,-,-,-,5035,2610,2425,259,147,112,6474,3388,3086,-,-,-,-,-,-,5947,3065,2882,527,323,204
