學年別,縣市別,國民小學總計,國民小學國立,國民小學直轄市立,國民小學縣市立,國民小學私立,國民中學總計,國民中學國立,國民中學直轄市立,國民中學縣市立,國民中學私立
106學年,總計,2630,9,1215,1371,35,732,-,383,336,13
106學年,新北市,214,-,209,-,5,61,-,61,-,-
106學年,臺北市,151,2,140,-,9,61,-,59,-,2
106學年,桃園市,190,-,186,-,4,58,-,56,-,2
106學年,臺中市,235,1,229,-,5,71,-,70,-,1
106學年,臺南市,211,1,209,-,1,59,-,58,-,1
106學年,高雄市,242,-,242,-,-,79,-,79,-,-
106學年,宜蘭縣,76,-,-,76,-,24,-,-,24,-
106學年,新竹縣,86,-,-,84,2,29,-,-,28,1
106學年,苗栗縣,114,-,-,114,-,30,-,-,30,-
106學年,彰化縣,175,-,-,175,-,36,-,-,36,-
106學年,南投縣,139,-,-,137,2,32,-,-,31,1
106學年,雲林縣,155,-,-,153,2,33,-,-,30,3
106學年,嘉義縣,124,-,-,124,-,24,-,-,24,-
106學年,屏東縣,168,1,-,166,1,35,-,-,34,1
106學年,臺東縣,88,1,-,87,-,21,-,-,21,-
106學年,花蓮縣,103,1,-,101,1,23,-,-,23,-
106學年,澎湖縣,37,-,-,37,-,14,-,-,14,-
106學年,基隆市,42,-,-,41,1,11,-,-,11,-
106學年,新竹市,33,1,-,30,2,13,-,-,12,1
106學年,嘉義市,20,1,-,19,-,8,-,-,8,-
106學年,金門縣,19,-,-,19,-,5,-,-,5,-
106學年,連江縣,8,-,-,8,-,5,-,-,5,-
105學年,總計,2630,9,1214,1372,35,736,-,386,336,14
105學年,新北市,214,-,209,-,5,62,-,62,-,-
105學年,臺北市,150,2,139,-,9,61,-,59,-,2
105學年,桃園市,190,-,186,-,4,59,-,57,-,2
105學年,臺中市,235,1,229,-,5,72,-,71,-,1
105學年,臺南市,211,1,209,-,1,60,-,58,-,2
105學年,高雄市,242,-,242,-,-,79,-,79,-,-
105學年,宜蘭縣,76,-,-,76,-,24,-,-,24,-
105學年,新竹縣,86,-,-,84,2,29,-,-,28,1
105學年,苗栗縣,114,-,-,114,-,30,-,-,30,-
105學年,彰化縣,175,-,-,175,-,36,-,-,36,-
105學年,南投縣,140,-,-,138,2,32,-,-,31,1
105學年,雲林縣,155,-,-,153,2,33,-,-,30,3
105學年,嘉義縣,124,-,-,124,-,24,-,-,24,-
105學年,屏東縣,168,1,-,166,1,35,-,-,34,1
105學年,臺東縣,88,1,-,87,-,21,-,-,21,-
105學年,花蓮縣,103,1,-,101,1,23,-,-,23,-
105學年,澎湖縣,37,-,-,37,-,14,-,-,14,-
105學年,基隆市,43,-,-,42,1,11,-,-,11,-
105學年,新竹市,32,1,-,29,2,13,-,-,12,1
105學年,嘉義市,20,1,-,19,-,8,-,-,8,-
105學年,金門縣,19,-,-,19,-,5,-,-,5,-
105學年,連江縣,8,-,-,8,-,5,-,-,5,-
104學年,總計,2633,9,1213,1377,34,733,-,386,334,13
104學年,新北市,213,-,208,-,5,62,-,62,-,-
104學年,臺北市,150,2,139,-,9,61,-,59,-,2
104學年,桃園市,190,-,186,-,4,58,-,57,-,1
104學年,臺中市,235,1,229,-,5,72,-,71,-,1
104學年,臺南市,211,1,209,-,1,60,-,58,-,2
104學年,高雄市,242,-,242,-,-,79,-,79,-,-
104學年,宜蘭縣,76,-,-,76,-,24,-,-,24,-
104學年,新竹縣,85,-,-,83,2,28,-,-,27,1
104學年,苗栗縣,117,-,-,117,-,30,-,-,30,-
104學年,彰化縣,175,-,-,175,-,36,-,-,36,-
104學年,南投縣,140,-,-,138,2,32,-,-,31,1
104學年,雲林縣,155,-,-,153,2,33,-,-,30,3
104學年,嘉義縣,124,-,-,124,-,23,-,-,23,-
104學年,屏東縣,167,1,-,166,-,35,-,-,34,1
104學年,臺東縣,88,1,-,87,-,21,-,-,21,-
104學年,花蓮縣,103,1,-,101,1,23,-,-,23,-
104學年,澎湖縣,40,-,-,40,-,14,-,-,14,-
104學年,基隆市,43,-,-,42,1,11,-,-,11,-
104學年,新竹市,32,1,-,29,2,13,-,-,12,1
104學年,嘉義市,20,1,-,19,-,8,-,-,8,-
104學年,金門縣,19,-,-,19,-,5,-,-,5,-
104學年,連江縣,8,-,-,8,-,5,-,-,5,-
103學年,總計,2644,9,1027,1571,37,738,-,329,392,17
103學年,新北市,214,-,208,-,6,63,-,62,-,1
103學年,臺北市,152,2,140,-,10,62,-,59,-,3
103學年,臺中市,234,1,228,-,5,72,-,71,-,1
103學年,臺南市,211,1,209,-,1,60,-,58,-,2
103學年,高雄市,242,-,242,-,-,80,-,79,-,1
103學年,宜蘭縣,77,-,-,77,-,25,-,-,25,-
103學年,桃園縣,190,-,-,186,4,58,-,-,57,1
103學年,新竹縣,85,-,-,83,2,29,-,-,28,1
103學年,苗栗縣,117,-,-,117,-,29,-,-,29,-
103學年,彰化縣,175,-,-,175,-,36,-,-,36,-
103學年,南投縣,144,-,-,142,2,32,-,-,31,1
103學年,雲林縣,156,-,-,154,2,33,-,-,30,3
103學年,嘉義縣,124,-,-,124,-,23,-,-,23,-
103學年,屏東縣,167,1,-,166,-,35,-,-,34,1
103學年,臺東縣,91,1,-,89,1,22,-,-,21,1
103學年,花蓮縣,103,1,-,101,1,23,-,-,23,-
103學年,澎湖縣,40,-,-,40,-,14,-,-,14,-
103學年,基隆市,43,-,-,42,1,11,-,-,11,-
103學年,新竹市,32,1,-,29,2,13,-,-,12,1
103學年,嘉義市,20,1,-,19,-,8,-,-,8,-
103學年,金門縣,19,-,-,19,-,5,-,-,5,-
103學年,連江縣,8,-,-,8,-,5,-,-,5,-
102學年,總計,2650,9,1026,1578,37,738,-,330,391,17
102學年,新北市,214,-,208,-,6,64,-,63,-,1
102學年,臺北市,152,2,140,-,10,62,-,59,-,3
102學年,臺中市,234,1,228,-,5,72,-,71,-,1
102學年,臺南市,211,1,209,-,1,60,-,58,-,2
102學年,高雄市,241,-,241,-,-,80,-,79,-,1
102學年,宜蘭縣,77,-,-,77,-,25,-,-,25,-
102學年,桃園縣,190,-,-,186,4,57,-,-,56,1
102學年,新竹縣,85,-,-,83,2,29,-,-,28,1
102學年,苗栗縣,121,-,-,121,-,29,-,-,29,-
102學年,彰化縣,175,-,-,175,-,36,-,-,36,-
102學年,南投縣,145,-,-,143,2,32,-,-,31,1
102學年,雲林縣,156,-,-,154,2,33,-,-,30,3
102學年,嘉義縣,124,-,-,124,-,23,-,-,23,-
102學年,屏東縣,168,1,-,167,-,35,-,-,34,1
102學年,臺東縣,91,1,-,89,1,22,-,-,21,1
