學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
106學年,總計,9026,1486,7540,57,13,44,5344,844,4500,3374,588,2786,251,41,210,6565,1387,5178,-,-,-,4041,791,3250,2396,551,1845,128,45,83
106學年,新北市,991,146,845,-,-,-,950,142,808,-,-,-,41,4,37,616,105,511,-,-,-,616,105,511,-,-,-,-,-,-
106學年,臺北市,1137,221,916,11,1,10,1069,206,863,-,-,-,57,14,43,964,153,811,-,-,-,943,147,796,-,-,-,21,6,15
106學年,桃園市,673,94,579,-,-,-,654,91,563,-,-,-,19,3,16,632,138,494,-,-,-,614,132,482,-,-,-,18,6,12
106學年,臺中市,1010,135,875,5,2,3,972,125,847,-,-,-,33,8,25,674,145,529,-,-,-,667,143,524,-,-,-,7,2,5
106學年,臺南市,756,125,631,8,2,6,739,122,617,-,-,-,9,1,8,462,87,375,-,-,-,453,82,371,-,-,-,9,5,4
106學年,高雄市,974,159,815,-,-,-,960,158,802,-,-,-,14,1,13,748,182,566,-,-,-,748,182,566,-,-,-,-,-,-
106學年,宜蘭縣,244,43,201,-,-,-,-,-,-,241,43,198,3,-,3,181,49,132,-,-,-,-,-,-,181,49,132,-,-,-
106學年,新竹縣,251,29,222,-,-,-,-,-,-,246,29,217,5,-,5,189,26,163,-,-,-,-,-,-,184,26,158,5,-,5
106學年,苗栗縣,285,51,234,-,-,-,-,-,-,285,51,234,-,-,-,161,29,132,-,-,-,-,-,-,161,29,132,-,-,-
106學年,彰化縣,449,85,364,-,-,-,-,-,-,449,85,364,-,-,-,356,82,274,-,-,-,-,-,-,356,82,274,-,-,-
106學年,南投縣,251,36,215,-,-,-,-,-,-,230,32,198,21,4,17,218,59,159,-,-,-,-,-,-,199,49,150,19,10,9
106學年,雲林縣,347,42,305,-,-,-,-,-,-,327,37,290,20,5,15,257,61,196,-,-,-,-,-,-,227,51,176,30,10,20
106學年,嘉義縣,270,47,223,-,-,-,-,-,-,270,47,223,-,-,-,130,22,108,-,-,-,-,-,-,130,22,108,-,-,-
106學年,屏東縣,377,61,316,4,3,1,-,-,-,369,58,311,4,-,4,226,51,175,-,-,-,-,-,-,215,47,168,11,4,7
106學年,臺東縣,236,72,164,6,1,5,-,-,-,230,71,159,-,-,-,133,40,93,-,-,-,-,-,-,133,40,93,-,-,-
106學年,花蓮縣,268,53,215,5,2,3,-,-,-,252,51,201,11,-,11,159,48,111,-,-,-,-,-,-,159,48,111,-,-,-
106學年,澎湖縣,25,2,23,-,-,-,-,-,-,25,2,23,-,-,-,49,19,30,-,-,-,-,-,-,49,19,30,-,-,-
106學年,基隆市,155,32,123,-,-,-,-,-,-,146,31,115,9,1,8,108,28,80,-,-,-,-,-,-,108,28,80,-,-,-
106學年,新竹市,180,20,160,13,1,12,-,-,-,162,19,143,5,-,5,130,15,115,-,-,-,-,-,-,122,13,109,8,2,6
106學年,嘉義市,77,10,67,5,1,4,-,-,-,72,9,63,-,-,-,99,16,83,-,-,-,-,-,-,99,16,83,-,-,-
106學年,金門縣,63,19,44,-,-,-,-,-,-,63,19,44,-,-,-,46,19,27,-,-,-,-,-,-,46,19,27,-,-,-
