學年別,學生數組別,總計,國立,直轄市立,縣市立,私立
106學年,總計,2630,9,1215,1371,35
106學年,100 人以下,993,-,277,715,1
106學年,101 至 200 人,333,-,123,206,4
106學年,201 至 300 人,215,-,93,120,2
106學年,301 至 600 人,395,1,227,159,8
106學年,601 至 900 人,267,5,173,81,8
106學年,901 至 1200 人,150,3,101,41,5
106學年,1201 至 1500 人,123,-,90,30,3
106學年,1501 至 1800 人,83,-,67,13,3
106學年,1801 至 2100 人,40,-,35,4,1
106學年,2101 至 2400 人,13,-,12,1,-
106學年,2401 至 2700 人,8,-,7,1,-
106學年,2701 至 3000 人,7,-,7,-,-
106學年,3001 人以上,3,-,3,-,-
105學年,總計,2630,9,1214,1372,35
105學年,100 人以下,956,-,264,690,2
105學年,101 至 200 人,355,-,132,220,3
105學年,201 至 300 人,208,-,84,121,3
105學年,301 至 600 人,406,1,233,164,8
105學年,601 至 900 人,256,5,167,78,6
105學年,901 至 1200 人,163,3,107,47,6
105學年,1201 至 1500 人,128,-,93,32,3
105學年,1501 至 1800 人,85,-,68,14,3
105學年,1801 至 2100 人,35,-,31,3,1
105學年,2101 至 2400 人,20,-,17,3,-
105學年,2401 至 2700 人,6,-,6,-,-
105學年,2701 至 3000 人,8,-,8,-,-
105學年,3001 人以上,4,-,4,-,-
104學年,總計,2633,9,1213,1377,34
104學年,100 人以下,923,-,253,669,1
104學年,101 至 200 人,366,-,138,225,3
104學年,201 至 300 人,204,-,76,125,3
104學年,301 至 600 人,405,1,223,172,9
104學年,601 至 900 人,276,5,178,88,5
104學年,901 至 1200 人,158,3,110,39,6
104學年,1201 至 1500 人,133,-,93,37,3
104學年,1501 至 1800 人,86,-,69,14,3
104學年,1801 至 2100 人,40,-,34,5,1
104學年,2101 至 2400 人,20,-,18,2,-
104學年,2401 至 2700 人,9,-,8,1,-
104學年,2701 至 3000 人,6,-,6,-,-
104學年,3001 人以上,7,-,7,-,-
103學年,總計,2644,9,1027,1571,37
103學年,100 人以下,885,-,207,675,3
103學年,101 至 200 人,375,-,113,259,3
103學年,201 至 300 人,214,1,71,139,3
103學年,301 至 600 人,410,-,192,211,7
103學年,601 至 900 人,290,5,151,125,9
103學年,901 至 1200 人,164,3,93,62,6
103學年,1201 至 1500 人,122,-,68,52,2
103學年,1501 至 1800 人,95,-,63,29,3
103學年,1801 至 2100 人,44,-,31,12,1
103學年,2101 至 2400 人,19,-,14,5,-
103學年,2401 至 2700 人,12,-,11,1,-
103學年,2701 至 3000 人,7,-,6,1,-
103學年,3001 人以上,7,-,7,-,-
102學年,總計,2650,9,1026,1578,37
102學年,100 人以下,838,-,189,646,3
102學年,101 至 200 人,389,-,117,268,4
102學年,201 至 300 人,223,-,75,146,2
102學年,301 至 600 人,421,1,189,223,8
102學年,601 至 900 人,283,5,151,118,9
102學年,901 至 1200 人,181,3,98,75,5
102學年,1201 至 1500 人,113,-,64,47,2
102學年,1501 至 1800 人,107,-,69,35,3
102學年,1801 至 2100 人,39,-,27,11,1
102學年,2101 至 2400 人,28,-,21,7,-
102學年,2401 至 2700 人,14,-,13,1,-
102學年,2701 至 3000 人,5,-,4,1,-
102學年,3001 人以上,9,-,9,-,-
101學年,總計,2657,9,1026,1586,36
101學年,100 人以下,796,-,178,616,2
101學年,101 至 200 人,396,-,114,277,5
101學年,201 至 300 人,243,-,83,158,2
101學年,301 至 600 人,387,1,164,216,6
101學年,601 至 900 人,288,4,157,118,9
101學年,901 至 1200 人,200,4,102,88,6
101學年,1201 至 1500 人,121,-,70,49,2
101學年,1501 至 1800 人,105,-,64,38,3
101學年,1801 至 2100 人,55,-,40,14,1
101學年,2101 至 2400 人,31,-,22,9,-
101學年,2401 至 2700 人,13,-,12,1,-
101學年,2701 至 3000 人,11,-,10,1,-
101學年,3001 人以上,11,-,10,1,-
100學年,總計,2659,9,1025,1589,36
100學年,100 人以下,743,-,164,577,2
100學年,101 至 200 人,412,-,117,290,5
100學年,201 至 300 人,239,-,79,159,1
100學年,301 至 600 人,383,1,155,220,7
100學年,601 至 900 人,303,2,167,124,10
100學年,901 至 1200 人,195,6,92,92,5
100學年,1201 至 1500 人,130,-,75,53,2
100學年,1501 至 1800 人,101,-,62,36,3
100學年,1801 至 2100 人,72,-,48,23,1
100學年,2101 至 2400 人,32,-,21,11,-
100學年,2401 至 2700 人,22,-,20,2,-
100學年,2701 至 3000 人,11,-,10,1,-
100學年,3001 人以上,16,-,15,1,-
99學年,總計,2661,9,229,2384,39
99學年,100 人以下,706,-,7,695,4
99學年,101 至 200 人,415,-,7,405,3
99學年,201 至 300 人,245,-,14,230,1
99學年,301 至 600 人,391,1,41,341,8
99學年,601 至 900 人,294,1,58,222,13
99學年,901 至 1200 人,204,7,30,163,4
99學年,1201 至 1500 人,134,-,21,110,3
99學年,1501 至 1800 人,90,-,17,70,3
99學年,1801 至 2100 人,87,-,17,70,-
99學年,2101 至 2400 人,38,-,6,32,-
99學年,2401 至 2700 人,26,-,6,20,-
99學年,2701 至 3000 人,9,-,4,5,-
99學年,3001 人以上,22,-,1,21,-
98學年,總計,2658,9,229,2383,37
98學年,100 人以下,663,-,6,655,2
98學年,101 至 200 人,420,-,9,408,3
98學年,201 至 300 人,254,-,7,246,1
98學年,301 至 600 人,396,1,45,341,9
98學年,601 至 900 人,279,1,53,214,11
98學年,901 至 1200 人,197,6,28,158,5
98學年,1201 至 1500 人,151,1,27,120,3
98學年,1501 至 1800 人,95,-,18,74,3
98學年,1801 至 2100 人,88,-,13,75,-
98學年,2101 至 2400 人,48,-,11,37,-
98學年,2401 至 2700 人,26,-,6,20,-
98學年,2701 至 3000 人,18,-,5,13,-
98學年,3001 人以上,23,-,1,22,-
97學年,總計,2654,9,229,2379,37
97學年,100 人以下,622,-,5,616,1
97學年,101 至 200 人,430,-,9,418,3
97學年,201 至 300 人,254,-,8,244,2
97學年,301 至 600 人,390,1,41,341,7
97學年,601 至 900 人,257,1,44,200,12
97學年,901 至 1200 人,209,6,38,160,5
97學年,1201 至 1500 人,165,1,27,135,2
97學年,1501 至 1800 人,98,-,13,81,4
97學年,1801 至 2100 人,87,-,14,72,1
97學年,2101 至 2400 人,53,-,14,39,-
97學年,2401 至 2700 人,38,-,8,30,-
97學年,2701 至 3000 人,20,-,6,14,-
97學年,3001 人以上,31,-,2,29,-
""
