學年別,總在學率6~21歲總計,總在學率6~21歲男,總在學率6~21歲女,國民教育6~14歲總計,國民教育6~14歲男,國民教育6~14歲女,國小6~11歲總計,國小6~11歲男,國小6~11歲女,國中12~14歲總計,國中12~14歲男,國中12~14歲女,高級中等教育15~17歲總計,高級中等教育15~17歲男,高級中等教育15~17歲女,中等教育12~17歲總計,中等教育12~17歲男,中等教育12~17歲女,高等教育18~21歲總計,高等教育18~21歲男,高等教育18~21歲女,幼兒(稚)園2~5歲總計,幼兒(稚)園2~5歲男,幼兒(稚)園2~5歲女
106學年,89.24,87.63,90.99,97.45,97.52,97.38,97.23,97.29,97.17,97.68,97.75,97.60,93.88,93.20,94.62,95.78,95.45,96.14,71.13,66.08,76.60,60.58,61.02,60.10
105學年,89.39,87.79,91.13,97.59,97.65,97.51,97.37,97.45,97.29,97.76,97.80,97.72,94.06,93.35,94.83,95.94,95.59,96.33,71.24,66.13,76.76,59.19,59.79,58.55
104學年,89.52,88.02,91.15,97.70,97.77,97.62,97.50,97.56,97.43,97.82,97.91,97.73,93.86,93.20,94.59,95.96,95.67,96.28,70.86,65.89,76.23,57.22,57.77,56.62
103學年,89.70,88.33,91.19,97.78,97.85,97.69,97.61,97.69,97.52,97.82,97.89,97.75,93.66,92.96,94.42,95.87,95.55,96.21,70.85,66.15,75.93,56.49,57.10,55.83
102學年,89.79,88.55,91.14,97.87,97.93,97.79,97.70,97.78,97.62,97.84,97.87,97.81,93.35,92.63,94.14,95.69,95.34,96.08,70.41,66.15,75.00,58.28,58.86,57.65
101學年,89.84,88.71,91.07,97.90,97.98,97.81,97.79,97.90,97.67,97.82,97.83,97.80,93.22,92.39,94.11,95.64,95.23,96.09,69.71,65.80,73.96,58.56,59.11,57.97
100學年,89.76,88.70,90.90,97.86,97.94,97.76,97.88,97.98,97.78,97.52,97.56,97.48,93.12,92.40,93.89,95.63,95.28,96.00,68.42,64.63,72.53,30.91,31.02,30.78
99學年,89.55,88.57,90.61,97.89,97.97,97.79,97.97,98.06,97.88,97.45,97.54,97.36,92.89,92.23,93.59,95.59,95.30,95.90,66.71,63.00,70.75,29.46,29.60,29.31
98學年,89.43,88.52,90.42,97.95,98.03,97.86,98.01,98.09,97.91,97.47,97.52,97.43,92.45,91.63,93.33,95.44,95.05,95.85,65.38,61.75,69.32,28.45,28.57,28.31
97學年,89.35,88.53,90.25,97.75,97.81,97.68,97.74,97.83,97.65,96.83,96.86,96.78,91.42,90.66,92.25,94.99,94.64,95.37,64.44,61.15,67.99,27.81,27.84,27.77
""
