學年別,總在學率6~21歲總計,總在學率6~21歲男,總在學率6~21歲女,國民教育6~14歲總計,國民教育6~14歲男,國民教育6~14歲女,國小6~11歲總計,國小6~11歲男,國小6~11歲女,國中12~14歲總計,國中12~14歲男,國中12~14歲女,高級中等教育15~17歲總計,高級中等教育15~17歲男,高級中等教育15~17歲女,中等教育12~17歲總計,中等教育12~17歲男,中等教育12~17歲女,高等教育18~21歲總計,高等教育18~21歲男,高等教育18~21歲女,幼兒(稚)園2~5歲總計,幼兒(稚)園2~5歲男,幼兒(稚)園2~5歲女
106學年,93.94,92.21,95.84,98.40,97.82,99.04,98.14,97.49,98.84,98.87,98.40,99.39,97.90,97.40,98.45,98.34,97.85,98.87,84.49,80.10,89.24,60.60,61.05,60.12
105學年,93.92,92.21,95.78,98.51,97.97,99.11,98.25,97.66,98.90,98.95,98.49,99.47,98.34,97.92,98.79,98.62,98.18,99.10,83.99,79.58,88.75,59.22,59.82,58.57
104學年,94.03,92.47,95.72,98.58,98.07,99.15,98.36,97.76,99.01,98.95,98.57,99.37,98.84,98.60,99.11,98.89,98.58,99.23,83.72,79.60,88.17,57.25,57.81,56.64
103學年,94.11,92.66,95.69,98.63,98.14,99.17,98.46,97.89,99.07,98.91,98.53,99.33,98.41,98.18,98.66,98.65,98.35,98.98,83.79,79.85,88.03,56.53,57.15,55.86
102學年,94.33,92.95,95.82,98.77,98.22,99.36,98.62,98.01,99.28,99.01,98.55,99.50,98.15,97.81,98.52,98.56,98.17,98.98,84.03,80.45,87.90,58.32,58.91,57.67
101學年,94.58,93.32,95.94,98.84,98.31,99.42,98.68,98.10,99.31,99.10,98.64,99.60,98.39,98.01,98.81,98.72,98.31,99.18,84.20,81.00,87.68,58.60,59.16,58.00
100學年,94.60,93.43,95.88,98.82,98.26,99.43,98.79,98.17,99.48,98.86,98.41,99.35,98.98,98.73,99.25,98.92,98.58,99.30,83.55,80.55,86.81,30.94,31.06,30.81
99學年,94.64,93.52,95.87,98.91,98.32,99.56,98.95,98.25,99.70,98.86,98.43,99.32,99.06,98.95,99.19,98.96,98.69,99.25,83.07,80.16,86.24,29.52,29.66,29.35
98學年,94.72,93.67,95.85,99.03,98.38,99.74,99.09,98.32,99.93,98.92,98.47,99.41,99.22,99.22,99.22,99.07,98.84,99.32,82.68,80.05,85.53,28.52,28.65,28.37
97學年,95.15,94.15,96.24,99.09,98.41,99.83,99.00,98.21,99.87,99.25,98.78,99.76,98.86,98.66,99.08,99.06,98.72,99.42,84.07,81.72,86.60,27.87,27.91,27.82
""
