學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,五專計小計,五專計男,五專計女,五專國立小計,五專國立男,五專國立女,五專直轄市立小計,五專直轄市立男,五專直轄市立女,五專私立小計,五專私立男,五專私立女,二專計小計,二專計男,二專計女,二專國立小計,二專國立男,二專國立女,二專直轄市立小計,二專直轄市立男,二專直轄市立女,二專私立小計,二專私立男,二專私立女,學士班計小計,學士班計男,學士班計女,學士班國立小計,學士班國立男,學士班國立女,學士班直轄市立小計,學士班直轄市立男,學士班直轄市立女,學士班私立小計,學士班私立男,學士班私立女,碩士班計小計,碩士班計男,碩士班計女,碩士班國立小計,碩士班國立男,碩士班國立女,碩士班直轄市立小計,碩士班直轄市立男,碩士班直轄市立女,碩士班私立小計,碩士班私立男,碩士班私立女,博士班計小計,博士班計男,博士班計女,博士班國立小計,博士班國立男,博士班國立女,博士班直轄市立小計,博士班直轄市立男,博士班直轄市立女,博士班私立小計,博士班私立男,博士班私立女
106學年,總計,667500,336017,331483,299482,162093,137389,7675,3168,4507,360343,170756,189587,3134,757,2377,245,101,144,-,-,-,2889,656,2233,361,81,280,-,-,-,-,-,-,361,81,280,505391,248497,256894,187765,99565,88200,5276,2385,2891,312350,146547,165803,133698,70294,63404,92746,49917,42829,2171,685,1486,38781,19692,19089,24916,16388,8528,18726,12510,6216,228,98,130,5962,3780,2182
106學年,獨立學院,3685,1648,2037,-,-,-,-,-,-,3685,1648,2037,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3263,1488,1775,-,-,-,-,-,-,3263,1488,1775,406,155,251,-,-,-,-,-,-,406,155,251,16,5,11,-,-,-,-,-,-,16,5,11
106學年,大學,663815,334369,329446,299482,162093,137389,7675,3168,4507,356658,169108,187550,3134,757,2377,245,101,144,-,-,-,2889,656,2233,361,81,280,-,-,-,-,-,-,361,81,280,502128,247009,255119,187765,99565,88200,5276,2385,2891,309087,145059,164028,133292,70139,63153,92746,49917,42829,2171,685,1486,38375,19537,18838,24900,16383,8517,18726,12510,6216,228,98,130,5946,3775,2171
105學年,總計,677995,342567,335428,299254,162641,136613,7631,3165,4466,371110,176761,194349,3192,747,2445,249,112,137,-,-,-,2943,635,2308,376,77,299,-,-,-,-,-,-,376,77,299,514806,253378,261428,187785,99593,88192,5193,2347,2846,321828,151438,170390,134143,71400,62743,91964,49919,42045,2183,712,1471,39996,20769,19227,25478,16965,8513,19256,13017,6239,255,106,149,5967,3842,2125
105學年,獨立學院,3403,1497,1906,-,-,-,-,-,-,3403,1497,1906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3053,1365,1688,-,-,-,-,-,-,3053,1365,1688,338,128,210,-,-,-,-,-,-,338,128,210,12,4,8,-,-,-,-,-,-,12,4,8
105學年,大學,674592,341070,333522,299254,162641,136613,7631,3165,4466,367707,175264,192443,3192,747,2445,249,112,137,-,-,-,2943,635,2308,376,77,299,-,-,-,-,-,-,376,77,299,511753,252013,259740,187785,99593,88192,5193,2347,2846,318775,150073,168702,133805,71272,62533,91964,49919,42045,2183,712,1471,39658,20641,19017,25466,16961,8505,19256,13017,6239,255,106,149,5955,3838,2117
104學年,總計,684220,348113,336107,298177,162986,135191,7573,3102,4471,378470,182025,196445,3152,716,2436,249,105,144,-,-,-,2903,611,2292,405,73,332,-,-,-,-,-,-,405,73,332,519876,257390,262486,186777,99204,87573,5082,2295,2787,328017,155891,172126,134748,72450,62298,91263,50097,41166,2240,710,1530,41245,21643,19602,26039,17484,8555,19888,13580,6308,251,97,154,5900,3807,2093
104學年,獨立學院,3406,1453,1953,-,-,-,-,-,-,3406,1453,1953,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3119,1338,1781,-,-,-,-,-,-,3119,1338,1781,276,111,165,-,-,-,-,-,-,276,111,165,11,4,7,-,-,-,-,-,-,11,4,7
104學年,大學,680814,346660,334154,298177,162986,135191,7573,3102,4471,375064,180572,194492,3152,716,2436,249,105,144,-,-,-,2903,611,2292,405,73,332,-,-,-,-,-,-,405,73,332,516757,256052,260705,186777,99204,87573,5082,2295,2787,324898,154553,170345,134472,72339,62133,91263,50097,41166,2240,710,1530,40969,21532,19437,26028,17480,8548,19888,13580,6308,251,97,154,5889,3803,2086
103學年,總計,680848,347976,332872,298053,162576,135477,7426,3096,4330,375369,182304,193065,249,96,153,249,96,153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,516000,255385,260615,185051,97627,87424,4971,2275,2696,325978,155483,170495,137331,73985,63346,91649,50307,41342,2219,717,1502,43463,22961,20502,27268,18510,8758,21104,14546,6558,236,104,132,5928,3860,2068
