學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
105學年,總計,677995,342567,335428,3192,747,2445,376,77,299,334,227,107,1943,628,1315,512529,252523,260006,134143,71400,62743,25478,16965,8513
105學年,教育學門,37046,12738,24308,-,-,-,-,-,-,-,-,-,56,4,52,20510,7348,13162,13765,4106,9659,2715,1280,1435
105學年,藝術學門,25306,7686,17620,671,276,395,-,-,-,71,26,45,216,49,167,17578,5251,12327,6350,1901,4449,420,183,237
105學年,人文學門,73265,23634,49631,247,50,197,-,-,-,-,-,-,43,15,28,61305,19182,42123,9457,3284,6173,2213,1103,1110
105學年,設計學門,18529,7064,11465,-,-,-,-,-,-,-,-,-,81,25,56,16187,5961,10226,1969,921,1048,292,157,135
105學年,社會及行為科學學門,47455,20613,26842,-,-,-,-,-,-,-,-,-,-,-,-,33816,14280,19536,12011,5308,6703,1628,1025,603
105學年,傳播學門,21756,7377,14379,-,-,-,-,-,-,-,-,-,68,18,50,18935,6353,12582,2631,949,1682,122,57,65
105學年,商業及管理學門,108592,48175,60417,319,78,241,-,-,-,13,6,7,359,189,170,84023,35564,48459,21542,10913,10629,2336,1425,911
105學年,法律學門,19364,9303,10061,-,-,-,-,-,-,39,25,14,165,104,61,12952,5784,7168,5852,3136,2716,356,254,102
105學年,生命科學學門,15989,8834,7155,-,-,-,-,-,-,-,-,-,-,-,-,11053,5982,5071,3323,1807,1516,1613,1045,568
105學年,自然科學學門,21177,15290,5887,-,-,-,-,-,-,-,-,-,-,-,-,14856,10705,4151,4628,3261,1367,1693,1324,369
105學年,數學及統計學門,14503,9829,4674,-,-,-,-,-,-,-,-,-,-,-,-,12257,8314,3943,2026,1338,688,220,177,43
105學年,電算機學門,20342,12880,7462,412,218,194,-,-,-,25,16,9,-,-,-,16186,10162,6024,3446,2283,1163,273,201,72
105學年,工程學門,122226,100645,21581,-,-,-,-,-,-,74,66,8,-,-,-,84459,69271,15188,30644,25208,5436,7049,6100,949
105學年,建築及都市規劃學門,9946,5230,4716,-,-,-,-,-,-,-,-,-,-,-,-,8054,4196,3858,1717,923,794,175,111,64
105學年,農業科學學門,14711,7324,7387,-,-,-,-,-,-,-,-,-,-,-,-,11542,5647,5895,2637,1346,1291,532,331,201
105學年,獸醫學門,1324,641,683,-,-,-,-,-,-,-,-,-,-,-,-,996,483,513,238,102,136,90,56,34
105學年,醫藥衛生學門,49228,20788,28440,1212,115,1097,74,44,30,10,4,6,806,144,662,37931,16518,21413,5829,2045,3784,3366,1918,1448
105學年,社會服務學門,9634,2315,7319,331,10,321,302,33,269,-,-,-,43,13,30,7461,1909,5552,1372,302,1070,125,48,77
105學年,民生學門,39958,18006,21952,-,-,-,-,-,-,-,-,-,106,67,39,36117,16159,19958,3603,1697,1906,132,83,49
105學年,運輸服務學門,5826,3229,2597,-,-,-,-,-,-,102,84,18,-,-,-,4861,2668,2193,789,425,364,74,52,22
105學年,環境保護學門,956,513,443,-,-,-,-,-,-,-,-,-,-,-,-,663,360,303,252,128,124,41,25,16
105學年,軍警國防安全學門,122,94,28,-,-,-,-,-,-,-,-,-,-,-,-,122,94,28,-,-,-,-,-,-
105學年,其他學門,740,359,381,-,-,-,-,-,-,-,-,-,-,-,-,665,332,333,62,17,45,13,10,3
104學年,總計,684220,348113,336107,3152,716,2436,405,73,332,202,154,48,2021,609,1412,517653,256627,261026,134748,72450,62298,26039,17484,8555
104學年,教育學門,36759,12628,24131,-,-,-,-,-,-,-,-,-,55,6,49,20459,7181,13278,13564,4162,9402,2681,1279,1402
104學年,藝術學門,24915,7376,17539,681,270,411,1,-,1,39,13,26,201,40,161,17214,5039,12175,6359,1828,4531,420,186,234
104學年,人文學門,74730,23846,50884,248,47,201,-,-,-,-,-,-,53,16,37,62311,19286,43025,9857,3379,6478,2261,1118,1143
104學年,設計學門,18411,7113,11298,-,-,-,-,-,-,-,-,-,82,25,57,16025,5945,10080,2023,977,1046,281,166,115
104學年,社會及行為科學學門,48030,20922,27108,-,-,-,-,-,-,-,-,-,3,-,3,34300,14468,19832,12119,5424,6695,1608,1030,578
104學年,傳播學門,21848,7594,14254,-,-,-,-,-,-,-,-,-,69,18,51,19060,6552,12508,2604,977,1627,115,47,68
104學年,商業及管理學門,109638,48818,60820,365,89,276,6,2,4,4,3,1,341,173,168,84967,36092,48875,21647,11081,10566,2308,1378,930
104學年,法律學門,19104,9276,9828,-,-,-,-,-,-,-,-,-,168,111,57,13016,5887,7129,5577,3035,2542,343,243,100
104學年,生命科學學門,16425,9182,7243,-,-,-,-,-,-,-,-,-,-,-,-,11327,6188,5139,3405,1880,1525,1693,1114,579
