學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立6年級小計,國立6年級男,國立6年級女,國立7年級小計,國立7年級男,國立7年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級小計,直轄市立4年級男,直轄市立4年級女,直轄市立5年級小計,直轄市立5年級男,直轄市立5年級女,直轄市立6年級小計,直轄市立6年級男,直轄市立6年級女,直轄市立7年級小計,直轄市立7年級男,直轄市立7年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立4年級小計,私立4年級男,私立4年級女,私立5年級小計,私立5年級男,私立5年級女,私立6年級小計,私立6年級男,私立6年級女,私立7年級小計,私立7年級男,私立7年級女,私立延修生小計,私立延修生男,私立延修生女
106學年,總計,667500,336017,331483,172368,87181,85187,168277,84701,83576,146469,71890,74579,134164,64712,69452,9876,5519,4357,5672,3433,2239,4633,3067,1566,26041,15514,10527,299482,162093,137389,83060,45148,37912,79969,43526,36443,62647,33355,29292,53890,27864,26026,4529,2737,1792,2955,1862,1093,2867,1912,955,9565,5689,3876,7675,3168,4507,2042,828,1214,1930,802,1128,1677,677,1000,1435,580,855,130,40,90,102,39,63,46,17,29,313,185,128,360343,170756,189587,87266,41205,46061,86378,40373,46005,82145,37858,44287,78839,36268,42571,5217,2742,2475,2615,1532,1083,1720,1138,582,16163,9640,6523
106學年,五專(含七年),3134,757,2377,664,176,488,704,181,523,697,162,535,523,113,410,525,117,408,-,-,-,-,-,-,21,8,13,245,101,144,83,28,55,84,37,47,78,36,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2889,656,2233,581,148,433,620,144,476,619,126,493,523,113,410,525,117,408,-,-,-,-,-,-,21,8,13
106學年,二專,361,81,280,160,32,128,191,48,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,361,81,280,160,32,128,191,48,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,1,9
106學年,學士後學士學位,360,241,119,195,133,62,159,105,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,3,260,182,78,134,100,34,122,80,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,59,41,61,33,28,37,25,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1
106學年,大學二年制(含二技),1901,609,1292,-,-,-,-,-,-,679,180,499,933,310,623,92,27,65,-,-,-,-,-,-,197,92,105,641,270,371,-,-,-,-,-,-,265,111,154,234,90,144,-,-,-,-,-,-,-,-,-,142,69,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1260,339,921,-,-,-,-,-,-,414,69,345,699,220,479,92,27,65,-,-,-,-,-,-,55,23,32
106學年,大學四年制(含四技),503130,247647,255483,115980,56920,59060,117983,57255,60728,119822,58059,61763,116752,55992,60760,3663,1998,1665,1771,1110,661,1352,903,449,25807,15410,10397,186864,99113,87751,44511,23573,20938,44485,23458,21027,44100,23327,20773,42740,22129,20611,826,481,345,441,302,139,342,225,117,9419,5618,3801,5276,2385,2891,1290,580,710,1254,574,680,1253,548,705,1166,498,668,-,-,-,-,-,-,-,-,-,313,185,128,310990,146149,164841,70179,32767,37412,72244,33223,39021,74469,34184,40285,72846,33365,39481,2837,1517,1320,1330,808,522,1010,678,332,16075,9607,6468
106學年,碩士班,133698,70294,63404,50788,26953,23835,44991,24276,20715,21385,10993,10392,12470,5992,6478,2663,1428,1235,1313,634,679,88,18,70,-,-,-,92746,49917,42829,34923,19220,15703,32089,17780,14309,15306,7997,7309,8316,3895,4421,1465,757,708,564,252,312,83,16,67,-,-,-,2171,685,1486,721,230,491,644,210,434,388,117,271,235,66,169,105,29,76,78,33,45,-,-,-,-,-,-,38781,19692,19089,15144,7503,7641,12258,6286,5972,5691,2879,2812,3919,2031,1888,1093,642,451,671,349,322,5,2,3,-,-,-
106學年,博士班,24916,16388,8528,4581,2967,1614,4249,2836,1413,3886,2496,1390,3486,2305,1181,2933,1949,984,2588,1689,899,3193,2146,1047,-,-,-,18726,12510,6216,3409,2227,1182,3189,2171,1018,2898,1884,1014,2600,1750,850,2238,1499,739,1950,1308,642,2442,1671,771,-,-,-,228,98,130,31,18,13,32,18,14,36,12,24,34,16,18,25,11,14,24,6,18,46,17,29,-,-,-,5962,3780,2182,1141,722,419,1028,647,381,952,600,352,852,539,313,670,439,231,614,375,239,705,458,247,-,-,-
105學年,總計,677995,342567,335428,177910,89860,88050,173780,88020,85760,146822,72187,74635,133874,65111,68763,10022,5642,4380,5896,3629,2267,4476,2984,1492,25215,15134,10081,299254,162641,136613,83319,45555,37764,80078,43931,36147,62006,32761,29245,53745,27869,25876,4823,2992,1831,3221,2005,1216,2731,1871,860,9331,5657,3674,7631,3165,4466,2059,859,1200,1986,793,1193,1608,646,962,1407,577,830,125,43,82,96,38,58,55,25,30,295,184,111,371110,176761,194349,92532,43446,49086,91716,43296,48420,83208,38780,44428,78722,36665,42057,5074,2607,2467,2579,1586,993,1690,1088,602,15589,9293,6296
105學年,五專(含七年),3192,747,2445,740,189,551,709,171,538,639,159,480,552,125,427,521,98,423,-,-,-,-,-,-,31,5,26,249,112,137,88,38,50,83,39,44,78,35,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2943,635,2308,652,151,501,626,132,494,561,124,437,552,125,427,521,98,423,-,-,-,-,-,-,31,5,26
