學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,專科學校計小計,專科學校計男,專科學校計女,專科學校國立小計,專科學校國立男,專科學校國立女,專科學校直轄市立小計,專科學校直轄市立男,專科學校直轄市立女,專科學校私立小計,專科學校私立男,專科學校私立女,獨立學院計小計,獨立學院計男,獨立學院計女,獨立學院國立小計,獨立學院國立男,獨立學院國立女,獨立學院直轄市立小計,獨立學院直轄市立男,獨立學院直轄市立女,獨立學院私立小計,獨立學院私立男,獨立學院私立女,大學計小計,大學計男,大學計女,大學國立小計,大學國立男,大學國立女,大學直轄市立小計,大學直轄市立男,大學直轄市立女,大學私立小計,大學私立男,大學私立女
106學年,總計,2505,1862,643,836,619,217,17,12,5,1652,1231,421,135,87,48,21,13,8,-,-,-,114,74,40,163,121,42,10,5,5,-,-,-,153,116,37,2207,1654,553,805,601,204,17,12,5,1385,1041,344
106學年,新北市,276,205,71,32,21,11,-,-,-,244,184,60,11,4,7,-,-,-,-,-,-,11,4,7,41,36,5,-,-,-,-,-,-,41,36,5,224,165,59,32,21,11,-,-,-,192,144,48
106學年,臺北市,450,313,137,211,139,72,17,12,5,222,162,60,11,6,5,-,-,-,-,-,-,11,6,5,10,5,5,10,5,5,-,-,-,-,-,-,429,302,127,201,134,67,17,12,5,211,156,55
106學年,桃園市,180,135,45,29,22,7,-,-,-,151,113,38,12,10,2,-,-,-,-,-,-,12,10,2,15,9,6,-,-,-,-,-,-,15,9,6,153,116,37,29,22,7,-,-,-,124,94,30
106學年,臺中市,320,244,76,89,73,16,-,-,-,231,171,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,320,244,76,89,73,16,-,-,-,231,171,60
106學年,臺南市,224,175,49,64,42,22,-,-,-,160,133,27,18,10,8,11,5,6,-,-,-,7,5,2,9,5,4,-,-,-,-,-,-,9,5,4,197,160,37,53,37,16,-,-,-,144,123,21
106學年,高雄市,309,230,79,124,95,29,-,-,-,185,135,50,30,21,9,-,-,-,-,-,-,30,21,9,14,12,2,-,-,-,-,-,-,14,12,2,265,197,68,124,95,29,-,-,-,141,102,39
106學年,宜蘭縣,50,40,10,12,9,3,-,-,-,38,31,7,13,10,3,-,-,-,-,-,-,13,10,3,12,11,1,-,-,-,-,-,-,12,11,1,25,19,6,12,9,3,-,-,-,13,10,3
106學年,新竹縣,29,22,7,-,-,-,-,-,-,29,22,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,22,7,-,-,-,-,-,-,29,22,7
106學年,苗栗縣,48,33,15,15,10,5,-,-,-,33,23,10,9,5,4,-,-,-,-,-,-,9,5,4,10,8,2,-,-,-,-,-,-,10,8,2,29,20,9,15,10,5,-,-,-,14,10,4
106學年,彰化縣,106,68,38,22,12,10,-,-,-,84,56,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,68,38,22,12,10,-,-,-,84,56,28
106學年,南投縣,31,25,6,16,12,4,-,-,-,15,13,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,25,6,16,12,4,-,-,-,15,13,2
106學年,雲林縣,55,40,15,41,33,8,-,-,-,14,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,40,15,41,33,8,-,-,-,14,7,7
106學年,嘉義縣,66,54,12,17,13,4,-,-,-,49,41,8,-,-,-,-,-,-,-,-,-,-,-,-,9,7,2,-,-,-,-,-,-,9,7,2,57,47,10,17,13,4,-,-,-,40,34,6
106學年,屏東縣,82,67,15,34,27,7,-,-,-,48,40,8,10,8,2,-,-,-,-,-,-,10,8,2,-,-,-,-,-,-,-,-,-,-,-,-,72,59,13,34,27,7,-,-,-,38,32,6
106學年,臺東縣,21,17,4,21,17,4,-,-,-,-,-,-,10,8,2,10,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,2,11,9,2,-,-,-,-,-,-
106學年,花蓮縣,64,45,19,13,10,3,-,-,-,51,35,16,-,-,-,-,-,-,-,-,-,-,-,-,19,14,5,-,-,-,-,-,-,19,14,5,45,31,14,13,10,3,-,-,-,32,21,11
106學年,澎湖縣,10,9,1,10,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,9,1,10,9,1,-,-,-,-,-,-
106學年,基隆市,39,27,12,14,11,3,-,-,-,25,16,9,-,-,-,-,-,-,-,-,-,-,-,-,11,6,5,-,-,-,-,-,-,11,6,5,28,21,7,14,11,3,-,-,-,14,10,4
106學年,新竹市,91,73,18,42,37,5,-,-,-,49,36,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,73,18,42,37,5,-,-,-,49,36,13
106學年,嘉義市,39,26,13,15,13,2,-,-,-,24,13,11,11,5,6,-,-,-,-,-,-,11,5,6,13,8,5,-,-,-,-,-,-,13,8,5,15,13,2,15,13,2,-,-,-,-,-,-
106學年,金門縣,15,14,1,15,14,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,14,1,15,14,1,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,2520,1876,644,834,607,227,17,13,4,1669,1256,413,134,87,47,21,13,8,-,-,-,113,74,39,224,162,62,10,5,5,-,-,-,214,157,57,2162,1627,535,803,589,214,17,13,4,1342,1025,317
105學年,新北市,280,206,74,31,20,11,-,-,-,249,186,63,11,4,7,-,-,-,-,-,-,11,4,7,68,57,11,-,-,-,-,-,-,68,57,11,201,145,56,31,20,11,-,-,-,170,125,45
105學年,臺北市,444,315,129,205,138,67,17,13,4,222,164,58,11,6,5,-,-,-,-,-,-,11,6,5,10,5,5,10,5,5,-,-,-,-,-,-,423,304,119,195,133,62,17,13,4,211,158,53
105學年,桃園市,179,138,41,28,23,5,-,-,-,151,115,36,12,10,2,-,-,-,-,-,-,12,10,2,12,8,4,-,-,-,-,-,-,12,8,4,155,120,35,28,23,5,-,-,-,127,97,30
105學年,臺中市,315,239,76,89,68,21,-,-,-,226,171,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,315,239,76,89,68,21,-,-,-,226,171,55
105學年,臺南市,228,175,53,64,44,20,-,-,-,164,131,33,18,10,8,11,5,6,-,-,-,7,5,2,9,3,6,-,-,-,-,-,-,9,3,6,201,162,39,53,39,14,-,-,-,148,123,25
105學年,高雄市,308,233,75,118,91,27,-,-,-,190,142,48,31,23,8,-,-,-,-,-,-,31,23,8,29,25,4,-,-,-,-,-,-,29,25,4,248,185,63,118,91,27,-,-,-,130,94,36
105學年,宜蘭縣,52,42,10,13,11,2,-,-,-,39,31,8,12,9,3,-,-,-,-,-,-,12,9,3,14,12,2,-,-,-,-,-,-,14,12,2,26,21,5,13,11,2,-,-,-,13,10,3
105學年,新竹縣,29,22,7,-,-,-,-,-,-,29,22,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,22,7,-,-,-,-,-,-,29,22,7
105學年,苗栗縣,52,29,23,15,10,5,-,-,-,37,19,18,9,5,4,-,-,-,-,-,-,9,5,4,13,5,8,-,-,-,-,-,-,13,5,8,30,19,11,15,10,5,-,-,-,15,9,6
105學年,彰化縣,101,70,31,19,9,10,-,-,-,82,61,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101,70,31,19,9,10,-,-,-,82,61,21
105學年,南投縣,38,30,8,19,13,6,-,-,-,19,17,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,30,8,19,13,6,-,-,-,19,17,2
105學年,雲林縣,55,41,14,39,30,9,-,-,-,16,11,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,41,14,39,30,9,-,-,-,16,11,5
