學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,專科學校計小計,專科學校計男,專科學校計女,專科學校國立小計,專科學校國立男,專科學校國立女,專科學校直轄市立小計,專科學校直轄市立男,專科學校直轄市立女,專科學校私立小計,專科學校私立男,專科學校私立女,獨立學院計小計,獨立學院計男,獨立學院計女,獨立學院國立小計,獨立學院國立男,獨立學院國立女,獨立學院直轄市立小計,獨立學院直轄市立男,獨立學院直轄市立女,獨立學院私立小計,獨立學院私立男,獨立學院私立女,大學計小計,大學計男,大學計女,大學國立小計,大學國立男,大學國立女,大學直轄市立小計,大學直轄市立男,大學直轄市立女,大學私立小計,大學私立男,大學私立女
106學年,總計,4846,3534,1312,2045,1552,493,40,26,14,2761,1956,805,105,45,60,14,11,3,-,-,-,91,34,57,176,121,55,6,1,5,-,-,-,170,120,50,4565,3368,1197,2025,1540,485,40,26,14,2500,1802,698
106學年,新北市,475,335,140,63,45,18,-,-,-,412,290,122,7,3,4,-,-,-,-,-,-,7,3,4,45,36,9,-,-,-,-,-,-,45,36,9,423,296,127,63,45,18,-,-,-,360,251,109
106學年,臺北市,1028,711,317,526,367,159,40,26,14,462,318,144,9,5,4,-,-,-,-,-,-,9,5,4,6,1,5,6,1,5,-,-,-,-,-,-,1013,705,308,520,366,154,40,26,14,453,313,140
106學年,桃園市,347,261,86,82,65,17,-,-,-,265,196,69,10,1,9,-,-,-,-,-,-,10,1,9,18,11,7,-,-,-,-,-,-,18,11,7,319,249,70,82,65,17,-,-,-,237,184,53
106學年,臺中市,610,458,152,186,144,42,-,-,-,424,314,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,610,458,152,186,144,42,-,-,-,424,314,110
106學年,臺南市,468,339,129,175,132,43,-,-,-,293,207,86,10,4,6,4,2,2,-,-,-,6,2,4,3,2,1,-,-,-,-,-,-,3,2,1,455,333,122,171,130,41,-,-,-,284,203,81
106學年,高雄市,535,387,148,242,188,54,-,-,-,293,199,94,20,8,12,-,-,-,-,-,-,20,8,12,16,13,3,-,-,-,-,-,-,16,13,3,499,366,133,242,188,54,-,-,-,257,178,79
106學年,宜蘭縣,69,60,9,26,23,3,-,-,-,43,37,6,7,4,3,-,-,-,-,-,-,7,4,3,15,14,1,-,-,-,-,-,-,15,14,1,47,42,5,26,23,3,-,-,-,21,19,2
106學年,新竹縣,44,34,10,-,-,-,-,-,-,44,34,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,34,10,-,-,-,-,-,-,44,34,10
106學年,苗栗縣,81,59,22,36,30,6,-,-,-,45,29,16,13,6,7,-,-,-,-,-,-,13,6,7,19,12,7,-,-,-,-,-,-,19,12,7,49,41,8,36,30,6,-,-,-,13,11,2
