學年別,學校級別,總計計小計,總計計教授,總計計副教授,總計計助理教授,總計計講師,總計計其他,總計國立小計,總計國立教授,總計國立副教授,總計國立助理教授,總計國立講師,總計國立其他,總計直轄市立小計,總計直轄市立教授,總計直轄市立副教授,總計直轄市立助理教授,總計直轄市立講師,總計直轄市立其他,總計私立小計,總計私立教授,總計私立副教授,總計私立助理教授,總計私立講師,總計私立其他,博士計小計,博士計教授,博士計副教授,博士計助理教授,博士計講師,博士計其他,博士國立小計,博士國立教授,博士國立副教授,博士國立助理教授,博士國立講師,博士國立其他,博士直轄市立小計,博士直轄市立教授,博士直轄市立副教授,博士直轄市立助理教授,博士直轄市立講師,博士直轄市立其他,博士私立小計,博士私立教授,博士私立副教授,博士私立助理教授,博士私立講師,博士私立其他,碩士計小計,碩士計教授,碩士計副教授,碩士計助理教授,碩士計講師,碩士計其他,碩士國立小計,碩士國立教授,碩士國立副教授,碩士國立助理教授,碩士國立講師,碩士國立其他,碩士直轄市立小計,碩士直轄市立教授,碩士直轄市立副教授,碩士直轄市立助理教授,碩士直轄市立講師,碩士直轄市立其他,碩士私立小計,碩士私立教授,碩士私立副教授,碩士私立助理教授,碩士私立講師,碩士私立其他,學士計小計,學士計教授,學士計副教授,學士計助理教授,學士計講師,學士計其他,學士國立小計,學士國立教授,學士國立副教授,學士國立助理教授,學士國立講師,學士國立其他,學士直轄市立小計,學士直轄市立教授,學士直轄市立副教授,學士直轄市立助理教授,學士直轄市立講師,學士直轄市立其他,學士私立小計,學士私立教授,學士私立副教授,學士私立助理教授,學士私立講師,學士私立其他,專科計小計,專科計教授,專科計副教授,專科計助理教授,專科計講師,專科計其他,專科國立小計,專科國立教授,專科國立副教授,專科國立助理教授,專科國立講師,專科國立其他,專科直轄市立小計,專科直轄市立教授,專科直轄市立副教授,專科直轄市立助理教授,專科直轄市立講師,專科直轄市立其他,專科私立小計,專科私立教授,專科私立副教授,專科私立助理教授,專科私立講師,專科私立其他,其他計小計,其他計教授,其他計副教授,其他計助理教授,其他計講師,其他計其他,其他國立小計,其他國立教授,其他國立副教授,其他國立助理教授,其他國立講師,其他國立其他,其他直轄市立小計,其他直轄市立教授,其他直轄市立副教授,其他直轄市立助理教授,其他直轄市立講師,其他直轄市立其他,其他私立小計,其他私立教授,其他私立副教授,其他私立助理教授,其他私立講師,其他私立其他
106學年,總計,42579,3839,4169,10890,23680,1,15077,2251,1988,4333,6505,-,508,42,57,157,252,-,26994,1546,2124,6400,16923,1,14079,2944,2634,7971,530,-,6749,1806,1360,3349,234,-,196,28,38,130,-,-,7134,1110,1236,4492,296,-,24076,559,988,1966,20562,1,6994,298,440,701,5555,-,284,13,15,22,234,-,16798,248,533,1243,14773,1,3364,278,447,740,1899,-,1031,119,146,228,538,-,24,1,3,3,17,-,2309,158,298,509,1344,-,484,16,46,89,333,-,81,5,11,9,56,-,3,-,1,2,-,-,400,11,34,78,277,-,576,42,54,124,356,-,222,23,31,46,122,-,1,-,-,-,1,-,353,19,23,78,233,-
106學年,專科學校,2123,7,41,266,1809,-,186,2,2,30,152,-,-,-,-,-,-,-,1937,5,39,236,1657,-,295,5,29,214,47,-,31,2,2,27,-,-,-,-,-,-,-,-,264,3,27,187,47,-,1581,1,7,36,1537,-,138,-,-,2,136,-,-,-,-,-,-,-,1443,1,7,34,1401,-,173,1,5,12,155,-,10,-,-,1,9,-,-,-,-,-,-,-,163,1,5,11,146,-,63,-,-,2,61,-,6,-,-,-,6,-,-,-,-,-,-,-,57,-,-,2,55,-,11,-,-,2,9,-,1,-,-,-,1,-,-,-,-,-,-,-,10,-,-,2,8,-
106學年,獨立學院,1213,42,65,234,872,-,147,4,6,14,123,-,-,-,-,-,-,-,1066,38,59,220,749,-,206,18,34,135,19,-,13,1,-,6,6,-,-,-,-,-,-,-,193,17,34,129,13,-,688,8,15,47,618,-,81,1,1,4,75,-,-,-,-,-,-,-,607,7,14,43,543,-,213,12,9,33,159,-,25,1,-,1,23,-,-,-,-,-,-,-,188,11,9,32,136,-,49,2,4,11,32,-,10,-,2,-,8,-,-,-,-,-,-,-,39,2,2,11,24,-,57,2,3,8,44,-,18,1,3,3,11,-,-,-,-,-,-,-,39,1,-,5,33,-
106學年,大學,39243,3790,4063,10390,20999,1,14744,2245,1980,4289,6230,-,508,42,57,157,252,-,23991,1503,2026,5944,14517,1,13578,2921,2571,7622,464,-,6705,1803,1358,3316,228,-,196,28,38,130,-,-,6677,1090,1175,4176,236,-,21807,550,966,1883,18407,1,6775,297,439,695,5344,-,284,13,15,22,234,-,14748,240,512,1166,12829,1,2978,265,433,695,1585,-,996,118,146,226,506,-,24,1,3,3,17,-,1958,146,284,466,1062,-,372,14,42,76,240,-,65,5,9,9,42,-,3,-,1,2,-,-,304,9,32,65,198,-,508,40,51,114,303,-,203,22,28,43,110,-,1,-,-,-,1,-,304,18,23,71,192,-
105學年,總計,45635,3564,3808,10367,24024,3872,15699,2098,1848,4112,6432,1209,666,61,81,183,306,35,29270,1405,1879,6072,17286,2628,14560,2775,2549,8459,541,236,6705,1707,1322,3326,226,124,261,43,52,164,1,1,7594,1025,1175,4969,314,111,25959,478,783,1251,21958,1489,7187,260,349,513,5529,536,369,16,26,18,301,8,18403,202,408,720,16128,945,3977,285,424,596,1328,1344,1450,117,154,233,557,389,32,2,2,1,4,23,2495,166,268,362,767,932,545,9,25,10,95,406,147,2,6,5,59,75,2,-,1,-,-,1,396,7,18,5,36,330,594,17,27,51,102,397,210,12,17,35,61,85,2,-,-,-,-,2,382,5,10,16,41,310
105學年,專科學校,2241,10,36,264,1754,177,171,1,-,32,123,15,-,-,-,-,-,-,2070,9,36,232,1631,162,323,8,25,234,56,-,32,1,-,30,1,-,-,-,-,-,-,-,291,7,25,204,55,-,1664,-,7,22,1608,27,122,-,-,1,121,-,-,-,-,-,-,-,1542,-,7,21,1487,27,185,2,4,8,90,81,9,-,-,1,1,7,-,-,-,-,-,-,176,2,4,7,89,74,60,-,-,-,-,60,6,-,-,-,-,6,-,-,-,-,-,-,54,-,-,-,-,54,9,-,-,-,-,9,2,-,-,-,-,2,-,-,-,-,-,-,7,-,-,-,-,7
105學年,獨立學院,1992,52,65,301,1057,517,137,-,-,7,39,91,-,-,-,-,-,-,1855,52,65,294,1018,426,347,29,42,255,15,6,10,-,-,6,2,2,-,-,-,-,-,-,337,29,42,249,13,4,1162,9,15,28,984,126,71,-,-,1,36,34,-,-,-,-,-,-,1091,9,15,27,948,92,298,13,7,16,56,206,24,-,-,-,1,23,-,-,-,-,-,-,274,13,7,16,55,183,80,-,1,2,2,75,14,-,-,-,-,14,-,-,-,-,-,-,66,-,1,2,2,61,105,1,-,-,-,104,18,-,-,-,-,18,-,-,-,-,-,-,87,1,-,-,-,86
105學年,大學,41402,3502,3707,9802,21213,3178,15391,2097,1848,4073,6270,1103,666,61,81,183,306,35,25345,1344,1778,5546,14637,2040,13890,2738,2482,7970,470,230,6663,1706,1322,3290,223,122,261,43,52,164,1,1,6966,989,1108,4516,246,107,23133,469,761,1201,19366,1336,6994,260,349,511,5372,502,369,16,26,18,301,8,15770,193,386,672,13693,826,3494,270,413,572,1182,1057,1417,117,154,232,555,359,32,2,2,1,4,23,2045,151,257,339,623,675,405,9,24,8,93,271,127,2,6,5,59,55,2,-,1,-,-,1,276,7,17,3,34,215,480,16,27,51,102,284,190,12,17,35,61,65,2,-,-,-,-,2,288,4,10,16,41,217
104學年,總計,46155,3451,3925,10475,25702,2602,15425,2073,1942,4132,6666,612,630,55,84,158,307,26,30100,1323,1899,6185,18729,1964,14094,2558,2510,8280,552,194,6431,1608,1311,3218,212,82,233,37,54,139,1,2,7430,913,1145,4923,339,110,26947,512,869,1440,23095,1031,7163,271,398,592,5601,301,364,16,27,18,295,8,19420,225,444,830,17199,722,3929,344,488,658,1674,765,1498,170,208,276,707,137,26,2,2,-,11,11,2405,172,278,382,956,617,577,11,25,29,159,353,98,3,5,6,41,43,4,-,1,-,-,3,475,8,19,23,118,307,608,26,33,68,222,259,235,21,20,40,105,49,3,-,-,1,-,2,370,5,13,27,117,208
104學年,專科學校,2144,9,32,231,1797,75,180,1,2,27,139,11,-,-,-,-,-,-,1964,8,30,204,1658,64,266,4,20,191,51,-,31,1,1,25,4,-,-,-,-,-,-,-,235,3,19,166,47,-,1607,2,5,26,1570,4,130,-,1,1,128,-,-,-,-,-,-,-,1477,2,4,25,1442,4,198,3,7,11,142,35,10,-,-,1,5,4,-,-,-,-,-,-,188,3,7,10,137,31,61,-,-,3,29,29,6,-,-,-,1,5,-,-,-,-,-,-,55,-,-,3,28,24,12,-,-,-,5,7,3,-,-,-,1,2,-,-,-,-,-,-,9,-,-,-,4,5
