學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
106學年,總計,42579,26685,15894,15077,9805,5272,508,275,233,26994,16605,10389,3839,3314,525,2251,1917,334,42,31,11,1546,1366,180,4169,3163,1006,1988,1476,512,57,31,26,2124,1656,468,10890,7216,3674,4333,2795,1538,157,85,72,6400,4336,2064,23680,12991,10689,6505,3617,2888,252,128,124,16923,9246,7677,1,1,-,-,-,-,-,-,-,1,1,-
106學年,專科學校,2123,1090,1033,186,106,80,-,-,-,1937,984,953,7,6,1,2,2,-,-,-,-,5,4,1,41,34,7,2,2,-,-,-,-,39,32,7,266,176,90,30,17,13,-,-,-,236,159,77,1809,874,935,152,85,67,-,-,-,1657,789,868,-,-,-,-,-,-,-,-,-,-,-,-
106學年,獨立學院,1213,698,515,147,75,72,-,-,-,1066,623,443,42,38,4,4,3,1,-,-,-,38,35,3,65,55,10,6,4,2,-,-,-,59,51,8,234,148,86,14,8,6,-,-,-,220,140,80,872,457,415,123,60,63,-,-,-,749,397,352,-,-,-,-,-,-,-,-,-,-,-,-
106學年,大學,39243,24897,14346,14744,9624,5120,508,275,233,23991,14998,8993,3790,3270,520,2245,1912,333,42,31,11,1503,1327,176,4063,3074,989,1980,1470,510,57,31,26,2026,1573,453,10390,6892,3498,4289,2770,1519,157,85,72,5944,4037,1907,20999,11660,9339,6230,3472,2758,252,128,124,14517,8060,6457,1,1,-,-,-,-,-,-,-,1,1,-
105學年,總計,45635,28648,16987,15699,10291,5408,666,360,306,29270,17997,11273,3564,3087,477,2098,1792,306,61,41,20,1405,1254,151,3808,2875,933,1848,1368,480,81,45,36,1879,1462,417,10367,6775,3592,4112,2663,1449,183,86,97,6072,4026,2046,24024,13152,10872,6432,3566,2866,306,164,142,17286,9422,7864,3872,2759,1113,1209,902,307,35,24,11,2628,1833,795
105學年,專科學校,2241,1132,1109,171,86,85,-,-,-,2070,1046,1024,10,8,2,1,1,-,-,-,-,9,7,2,36,31,5,-,-,-,-,-,-,36,31,5,264,177,87,32,17,15,-,-,-,232,160,72,1754,811,943,123,59,64,-,-,-,1631,752,879,177,105,72,15,9,6,-,-,-,162,96,66
105學年,獨立學院,1992,1212,780,137,71,66,-,-,-,1855,1141,714,52,44,8,-,-,-,-,-,-,52,44,8,65,53,12,-,-,-,-,-,-,65,53,12,301,208,93,7,3,4,-,-,-,294,205,89,1057,600,457,39,19,20,-,-,-,1018,581,437,517,307,210,91,49,42,-,-,-,426,258,168
105學年,大學,41402,26304,15098,15391,10134,5257,666,360,306,25345,15810,9535,3502,3035,467,2097,1791,306,61,41,20,1344,1203,141,3707,2791,916,1848,1368,480,81,45,36,1778,1378,400,9802,6390,3412,4073,2643,1430,183,86,97,5546,3661,1885,21213,11741,9472,6270,3488,2782,306,164,142,14637,8089,6548,3178,2347,831,1103,844,259,35,24,11,2040,1479,561
104學年,總計,46155,29146,17009,15425,10202,5223,630,349,281,30100,18595,11505,3451,2991,460,2073,1783,290,55,38,17,1323,1170,153,3925,3026,899,1942,1472,470,84,52,32,1899,1502,397,10475,6941,3534,4132,2682,1450,158,74,84,6185,4185,2000,25702,14344,11358,6666,3797,2869,307,171,136,18729,10376,8353,2602,1844,758,612,468,144,26,14,12,1964,1362,602
104學年,專科學校,2144,1103,1041,180,96,84,-,-,-,1964,1007,957,9,8,1,1,1,-,-,-,-,8,7,1,32,28,4,2,2,-,-,-,-,30,26,4,231,149,82,27,16,11,-,-,-,204,133,71,1797,873,924,139,68,71,-,-,-,1658,805,853,75,45,30,11,9,2,-,-,-,64,36,28
