學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,五專計小計,五專計男,五專計女,五專國立小計,五專國立男,五專國立女,五專直轄市立小計,五專直轄市立男,五專直轄市立女,五專私立小計,五專私立男,五專私立女,二專計小計,二專計男,二專計女,二專國立小計,二專國立男,二專國立女,二專直轄市立小計,二專直轄市立男,二專直轄市立女,二專私立小計,二專私立男,二專私立女,學士班計小計,學士班計男,學士班計女,學士班國立小計,學士班國立男,學士班國立女,學士班直轄市立小計,學士班直轄市立男,學士班直轄市立女,學士班私立小計,學士班私立男,學士班私立女,碩士班計小計,碩士班計男,碩士班計女,碩士班國立小計,碩士班國立男,碩士班國立女,碩士班直轄市立小計,碩士班直轄市立男,碩士班直轄市立女,碩士班私立小計,碩士班私立男,碩士班私立女,博士班計小計,博士班計男,博士班計女,博士班國立小計,博士班國立男,博士班國立女,博士班直轄市立小計,博士班直轄市立男,博士班直轄市立女,博士班私立小計,博士班私立男,博士班私立女
106學年,總計,1273894,629040,644854,430554,235115,195439,7675,3168,4507,835665,390757,444908,84777,20469,64308,8781,2205,6576,-,-,-,75996,18264,57732,6061,3216,2845,1047,554,493,-,-,-,5014,2662,2352,985927,494187,491740,284990,153615,131375,5276,2385,2891,695661,338187,357474,168783,92210,76573,113890,63890,50000,2171,685,1486,52722,27635,25087,28346,18958,9388,21846,14851,6995,228,98,130,6272,4009,2263
106學年,新北市,151475,72731,78744,15536,6233,9303,-,-,-,135939,66498,69441,12049,4232,7817,-,-,-,-,-,-,12049,4232,7817,848,450,398,-,-,-,-,-,-,848,450,398,125209,61316,63893,12225,4721,7504,-,-,-,112984,56595,56389,12049,5947,6102,2985,1316,1669,-,-,-,9064,4631,4433,1320,786,534,326,196,130,-,-,-,994,590,404
106學年,臺北市,263668,123589,140079,113265,58154,55111,7675,3168,4507,142728,62267,80461,10324,2619,7705,1986,524,1462,-,-,-,8338,2095,6243,758,275,483,8,4,4,-,-,-,750,271,479,191718,87985,103733,64779,31781,32998,5276,2385,2891,121663,53819,67844,50381,25989,24392,37618,20032,17586,2171,685,1486,10592,5272,5320,10487,6721,3766,8874,5813,3061,228,98,130,1385,810,575
106學年,桃園市,102983,54964,48019,14388,9287,5101,-,-,-,88595,45677,42918,6924,1059,5865,-,-,-,-,-,-,6924,1059,5865,181,109,72,-,-,-,-,-,-,181,109,72,80906,44292,36614,7876,5022,2854,-,-,-,73030,39270,33760,12647,7840,4807,5333,3409,1924,-,-,-,7314,4431,2883,2325,1664,661,1179,856,323,-,-,-,1146,808,338
106學年,臺中市,188641,88460,100181,47812,24357,23455,-,-,-,140829,64103,76726,3769,730,3039,3504,711,2793,-,-,-,265,19,246,216,36,180,83,6,77,-,-,-,133,30,103,163572,76059,87513,34953,18287,16666,-,-,-,128619,57772,70847,18346,9797,8549,8141,4577,3564,-,-,-,10205,5220,4985,2738,1838,900,1131,776,355,-,-,-,1607,1062,545
106學年,臺南市,124447,60397,64050,30532,16709,13823,-,-,-,93915,43688,50227,9850,1599,8251,1967,195,1772,-,-,-,7883,1404,6479,465,218,247,158,12,146,-,-,-,307,206,101,98128,49237,48891,16214,9251,6963,-,-,-,81914,39986,41928,13803,7835,5968,10149,5865,4284,-,-,-,3654,1970,1684,2201,1508,693,2044,1386,658,-,-,-,157,122,35
106學年,高雄市,144540,71124,73416,54213,30636,23577,-,-,-,90327,40488,49839,15881,3708,12173,737,508,229,-,-,-,15144,3200,11944,1483,958,525,141,52,89,-,-,-,1342,906,436,108187,55614,52573,38975,21703,17272,-,-,-,69212,33911,35301,16613,9283,7330,12513,7128,5385,-,-,-,4100,2155,1945,2376,1561,815,1847,1245,602,-,-,-,529,316,213
106學年,宜蘭縣,13546,6743,6803,5511,3621,1890,-,-,-,8035,3122,4913,3651,1004,2647,-,-,-,-,-,-,3651,1004,2647,-,-,-,-,-,-,-,-,-,-,-,-,8440,4905,3535,4828,3141,1687,-,-,-,3612,1764,1848,1387,799,588,671,470,201,-,-,-,716,329,387,68,35,33,12,10,2,-,-,-,56,25,31
106學年,新竹縣,15259,9546,5713,-,-,-,-,-,-,15259,9546,5713,762,457,305,-,-,-,-,-,-,762,457,305,111,77,34,-,-,-,-,-,-,111,77,34,13779,8554,5225,-,-,-,-,-,-,13779,8554,5225,607,458,149,-,-,-,-,-,-,607,458,149,-,-,-,-,-,-,-,-,-,-,-,-
106學年,苗栗縣,19806,9303,10503,7729,5217,2512,-,-,-,12077,4086,7991,6239,1364,4875,-,-,-,-,-,-,6239,1364,4875,405,184,221,-,-,-,-,-,-,405,184,221,12342,7246,5096,7304,4915,2389,-,-,-,5038,2331,2707,808,497,311,413,290,123,-,-,-,395,207,188,12,12,-,12,12,-,-,-,-,-,-,-
