學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,五專計小計,五專計男,五專計女,五專國立小計,五專國立男,五專國立女,五專直轄市立小計,五專直轄市立男,五專直轄市立女,五專私立小計,五專私立男,五專私立女,二專計小計,二專計男,二專計女,二專國立小計,二專國立男,二專國立女,二專直轄市立小計,二專直轄市立男,二專直轄市立女,二專私立小計,二專私立男,二專私立女,學士班計小計,學士班計男,學士班計女,學士班國立小計,學士班國立男,學士班國立女,學士班直轄市立小計,學士班直轄市立男,學士班直轄市立女,學士班私立小計,學士班私立男,學士班私立女,碩士班計小計,碩士班計男,碩士班計女,碩士班國立小計,碩士班國立男,碩士班國立女,碩士班直轄市立小計,碩士班直轄市立男,碩士班直轄市立女,碩士班私立小計,碩士班私立男,碩士班私立女,博士班計小計,博士班計男,博士班計女,博士班國立小計,博士班國立男,博士班國立女,博士班直轄市立小計,博士班直轄市立男,博士班直轄市立女,博士班私立小計,博士班私立男,博士班私立女
106學年,總計,1273894,629040,644854,430554,235115,195439,7675,3168,4507,835665,390757,444908,84777,20469,64308,8781,2205,6576,-,-,-,75996,18264,57732,6061,3216,2845,1047,554,493,-,-,-,5014,2662,2352,985927,494187,491740,284990,153615,131375,5276,2385,2891,695661,338187,357474,168783,92210,76573,113890,63890,50000,2171,685,1486,52722,27635,25087,28346,18958,9388,21846,14851,6995,228,98,130,6272,4009,2263
106學年,專科學校,51150,9594,41556,3199,887,2312,-,-,-,47951,8707,39244,48416,8173,40243,2384,395,1989,-,-,-,46032,7778,38254,2734,1421,1313,815,492,323,-,-,-,1919,929,990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,獨立學院,29515,15477,14038,614,218,396,-,-,-,28901,15259,13642,3665,1790,1875,-,-,-,-,-,-,3665,1790,1875,937,545,392,-,-,-,-,-,-,937,545,392,24116,12768,11348,614,218,396,-,-,-,23502,12550,10952,781,369,412,-,-,-,-,-,-,781,369,412,16,5,11,-,-,-,-,-,-,16,5,11
106學年,大學,1193229,603969,589260,426741,234010,192731,7675,3168,4507,758813,366791,392022,32696,10506,22190,6397,1810,4587,-,-,-,26299,8696,17603,2390,1250,1140,232,62,170,-,-,-,2158,1188,970,961811,481419,480392,284376,153397,130979,5276,2385,2891,672159,325637,346522,168002,91841,76161,113890,63890,50000,2171,685,1486,51941,27266,24675,28330,18953,9377,21846,14851,6995,228,98,130,6256,4004,2252
105學年,總計,1309441,646866,662575,430049,235024,195025,7631,3165,4466,871761,408677,463084,88425,21859,66566,9043,2288,6755,-,-,-,79382,19571,59811,7259,3754,3505,1296,575,721,-,-,-,5963,3179,2784,1015398,508206,507192,284139,152852,131287,5193,2347,2846,726066,353007,373059,169538,93583,75955,113269,64023,49246,2183,712,1471,54086,28848,25238,28821,19464,9357,22302,15286,7016,255,106,149,6264,4072,2192
105學年,專科學校,52392,9939,42453,3207,861,2346,-,-,-,49185,9078,40107,49480,8445,41035,2397,415,1982,-,-,-,47083,8030,39053,2912,1494,1418,810,446,364,-,-,-,2102,1048,1054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,獨立學院,53156,28507,24649,627,231,396,-,-,-,52529,28276,24253,9473,4958,4515,-,-,-,-,-,-,9473,4958,4515,2014,1234,780,-,-,-,-,-,-,2014,1234,780,40653,21812,18841,627,231,396,-,-,-,40026,21581,18445,980,486,494,-,-,-,-,-,-,980,486,494,36,17,19,-,-,-,-,-,-,36,17,19
105學年,大學,1203893,608420,595473,426215,233932,192283,7631,3165,4466,770047,371323,398724,29472,8456,21016,6646,1873,4773,-,-,-,22826,6583,16243,2333,1026,1307,486,129,357,-,-,-,1847,897,950,974745,486394,488351,283512,152621,130891,5193,2347,2846,686040,331426,354614,168558,93097,75461,113269,64023,49246,2183,712,1471,53106,28362,24744,28785,19447,9338,22302,15286,7016,255,106,149,6228,4055,2173
104學年,總計,1332445,660775,671670,428315,234656,193659,7573,3102,4471,896557,423017,473540,89143,21760,67383,9194,2307,6887,-,-,-,79949,19453,60496,8323,4230,4093,1533,598,935,-,-,-,6790,3632,3158,1035218,519902,515316,281947,151539,130408,5082,2295,2787,748189,366068,382121,170428,94884,75544,112726,64336,48390,2240,710,1530,55462,29838,25624,29333,19999,9334,22915,15876,7039,251,97,154,6167,4026,2141
104學年,專科學校,52156,9908,42248,3209,842,2367,-,-,-,48947,9066,39881,49125,8383,40742,2423,443,1980,-,-,-,46702,7940,38762,3031,1525,1506,786,399,387,-,-,-,2245,1126,1119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
