學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
105學年,總計,1309441,646866,662575,88425,21859,66566,7259,3754,3505,562,371,191,36257,9493,26764,978579,498342,480237,169538,93583,75955,28821,19464,9357
105學年,教育學門,38816,13071,25745,-,-,-,-,-,-,-,-,-,116,6,110,21558,7471,14087,14292,4250,10042,2850,1344,1506
105學年,藝術學門,31954,10024,21930,2336,726,1610,-,-,-,102,33,69,697,155,542,21852,6960,14892,6547,1967,4580,420,183,237
105學年,人文學門,107749,32695,75054,6573,1343,5230,20,10,10,-,-,-,1630,398,1232,86870,26264,60606,10443,3577,6866,2213,1103,1110
105學年,設計學門,68031,26758,41273,2642,1236,1406,145,85,60,1,-,1,1050,369,681,59679,22985,36694,3976,1801,2175,538,282,256
105學年,社會及行為科學學門,48064,20787,27277,-,-,-,-,-,-,-,-,-,-,-,-,34233,14393,19840,12203,5369,6834,1628,1025,603
105學年,傳播學門,26389,9179,17210,-,-,-,-,-,-,-,-,-,88,32,56,23502,8115,15387,2677,975,1702,122,57,65
105學年,商業及管理學門,222007,92765,129242,6000,1546,4454,1246,731,515,22,10,12,6357,2228,4129,175844,71479,104365,29628,14965,14663,2910,1806,1104
105學年,法律學門,20415,9819,10596,-,-,-,-,-,-,39,25,14,165,104,61,13562,6049,7513,6293,3387,2906,356,254,102
105學年,生命科學學門,19160,10617,8543,70,18,52,19,3,16,-,-,-,86,29,57,13579,7472,6107,3762,2027,1735,1644,1068,576
105學年,自然科學學門,22128,15919,6209,-,-,-,-,-,-,-,-,-,-,-,-,15557,11162,4395,4767,3349,1418,1804,1408,396
105學年,數學及統計學門,14698,9903,4795,-,-,-,-,-,-,-,-,-,-,-,-,12452,8388,4064,2026,1338,688,220,177,43
105學年,電算機學門,59632,40312,19320,2695,1634,1061,583,383,200,25,16,9,1131,652,479,49558,33812,15746,5256,3529,1727,384,286,98
105學年,工程學門,256213,221197,35016,4525,4187,338,862,762,100,77,69,8,2993,2471,522,193424,168237,25187,45551,37850,7701,8781,7621,1160
105學年,建築及都市規劃學門,14517,7824,6693,167,126,41,145,89,56,-,-,-,115,66,49,11620,6153,5467,2218,1223,995,252,167,85
105學年,農業科學學門,25391,12640,12751,254,127,127,180,103,77,-,-,-,5,1,4,20848,10242,10606,3415,1741,1674,689,426,263
105學年,獸醫學門,1952,933,1019,-,-,-,-,-,-,-,-,-,-,-,-,1516,709,807,319,149,170,117,75,42
105學年,醫藥衛生學門,127946,36062,91884,43468,6055,37413,1274,775,499,32,12,20,14382,1382,13000,58089,23543,34546,7246,2358,4888,3455,1937,1518
105學年,社會服務學門,31307,4908,26399,4144,319,3825,1143,158,985,-,-,-,3401,380,3021,20598,3603,16995,1896,400,1496,125,48,77
105學年,民生學門,159124,63731,95393,15083,4238,10845,1556,577,979,42,14,28,3835,1129,2706,132916,55134,77782,5535,2542,2993,157,97,60
105學年,運輸服務學門,9852,5035,4817,468,304,164,86,78,8,205,180,25,206,91,115,7872,3813,4059,941,517,424,74,52,22
105學年,環境保護學門,1787,1113,674,-,-,-,-,-,-,-,-,-,-,-,-,1420,908,512,326,180,146,41,25,16
105學年,軍警國防安全學門,1045,934,111,-,-,-,-,-,-,17,12,5,-,-,-,993,892,101,35,30,5,-,-,-
105學年,其他學門,1264,640,624,-,-,-,-,-,-,-,-,-,-,-,-,1037,558,479,186,59,127,41,23,18
104學年,總計,1332445,660775,671670,89143,21760,67383,8323,4230,4093,357,272,85,36129,9501,26628,998732,510129,488603,170428,94884,75544,29333,19999,9334
104學年,教育學門,38600,12946,25654,-,-,-,-,-,-,-,-,-,103,6,97,21563,7294,14269,14139,4311,9828,2795,1335,1460
104學年,藝術學門,31006,9454,21552,2394,731,1663,1,-,1,39,13,26,679,151,528,20894,6470,14424,6579,1903,4676,420,186,234
104學年,人文學門,110703,32948,77755,6790,1312,5478,4,-,4,-,-,-,1696,394,1302,89098,26449,62649,10854,3675,7179,2261,1118,1143
104學年,設計學門,68621,27174,41447,2791,1326,1465,201,115,86,1,-,1,987,339,648,60146,23220,36926,3978,1882,2096,517,292,225
104學年,社會及行為科學學門,48623,21111,27512,-,-,-,-,-,-,-,-,-,3,-,3,34710,14586,20124,12302,5495,6807,1608,1030,578
104學年,傳播學門,26763,9518,17245,-,-,-,-,-,-,3,2,1,87,30,57,23901,8431,15470,2657,1008,1649,115,47,68
104學年,商業及管理學門,228196,94454,133742,6386,1634,4752,1511,785,726,9,6,3,6213,2161,4052,181444,73079,108365,29755,15025,14730,2878,1764,1114
104學年,法律學門,20174,9802,10372,-,-,-,-,-,-,-,-,-,168,111,57,13689,6172,7517,5974,3276,2698,343,243,100
104學年,生命科學學門,19830,11097,8733,38,9,29,-,-,-,-,-,-,116,36,80,14106,7797,6309,3846,2118,1728,1724,1137,587
104學年,自然科學學門,22594,16447,6147,-,-,-,-,-,-,-,-,-,-,-,-,15822,11528,4294,4947,3495,1452,1825,1424,401
104學年,數學及統計學門,14889,10070,4819,-,-,-,-,-,-,-,-,-,-,-,-,12717,8540,4177,1957,1350,607,215,180,35
104學年,電算機學門,65022,44018,21004,2895,1762,1133,655,413,242,-,-,-,1286,748,538,54375,37148,17227,5406,3650,1756,405,297,108
104學年,工程學門,262444,227333,35111,4528,4214,314,924,819,105,89,81,8,2928,2445,483,198409,173034,25375,46299,38641,7658,9267,8099,1168
104學年,建築及都市規劃學門,14920,8002,6918,161,119,42,143,88,55,-,-,-,112,62,50,11976,6310,5666,2284,1256,1028,244,167,77
