學年別,領域別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
105學年,總計,1309441,646866,662575,88425,21859,66566,7259,3754,3505,562,371,191,36257,9493,26764,978579,498342,480237,169538,93583,75955,28821,19464,9357
105學年,教育,38816,13071,25745,-,-,-,-,-,-,-,-,-,116,6,110,21558,7471,14087,14292,4250,10042,2850,1344,1506
105學年,人文及藝術,207734,69477,138257,11551,3305,8246,165,95,70,103,33,70,3377,922,2455,168401,56209,112192,20966,7345,13621,3171,1568,1603
105學年,社會科學、商業及法律,316875,132550,184325,6000,1546,4454,1246,731,515,61,35,26,6610,2364,4246,247141,100036,147105,50801,24696,26105,5016,3142,1874
105學年,科學,115618,76751,38867,2765,1652,1113,602,386,216,25,16,9,1217,681,536,91146,60834,30312,15811,10243,5568,4052,2939,1113
105學年,工程、製造及營造,270730,229021,41709,4692,4313,379,1007,851,156,77,69,8,3108,2537,571,205044,174390,30654,47769,39073,8696,9033,7788,1245
105學年,農學,27343,13573,13770,254,127,127,180,103,77,-,-,-,5,1,4,22364,10951,11413,3734,1890,1844,806,501,305
105學年,醫藥衛生及社福,159253,40970,118283,47612,6374,41238,2417,933,1484,32,12,20,17783,1762,16021,78687,27146,51541,9142,2758,6384,3580,1985,1595
105學年,服務,171808,70813,100995,15551,4542,11009,1642,655,987,264,206,58,4041,1220,2821,143201,60747,82454,6837,3269,3568,272,174,98
105學年,其他,1264,640,624,-,-,-,-,-,-,-,-,-,-,-,-,1037,558,479,186,59,127,41,23,18
104學年,總計,1332445,660775,671670,89143,21760,67383,8323,4230,4093,357,272,85,36129,9501,26628,998732,510129,488603,170428,94884,75544,29333,19999,9334
104學年,教育,38600,12946,25654,-,-,-,-,-,-,-,-,-,103,6,97,21563,7294,14269,14139,4311,9828,2795,1335,1460
104學年,人文及藝術,210330,69576,140754,11975,3369,8606,206,115,91,40,13,27,3362,884,2478,170138,56139,113999,21411,7460,13951,3198,1596,1602
104學年,社會科學、商業及法律,323756,134885,188871,6386,1634,4752,1511,785,726,12,8,4,6471,2302,4169,253744,102268,151476,50688,24804,25884,4944,3084,1860
104學年,科學,122335,81632,40703,2933,1771,1162,655,413,242,-,-,-,1402,784,618,97020,65013,32007,16156,10613,5543,4169,3038,1131
104學年,工程、製造及營造,277364,235335,42029,4689,4333,356,1067,907,160,89,81,8,3040,2507,533,210385,179344,31041,48583,39897,8686,9511,8266,1245
104學年,農學,27601,13640,13961,257,126,131,185,105,80,-,-,-,1,1,-,22598,10961,11637,3701,1921,1780,859,526,333
104學年,醫藥衛生及社福,157310,40430,116880,47309,6043,41266,2544,1001,1543,25,13,12,17478,1675,15803,77522,27024,50498,8876,2709,6167,3556,1965,1591
104學年,服務,173797,71634,102163,15594,4484,11110,2155,904,1251,191,157,34,4272,1342,2930,144590,61448,83142,6727,3129,3598,268,170,98
104學年,其他,1352,697,655,-,-,-,-,-,-,-,-,-,-,-,-,1172,638,534,147,40,107,33,19,14
103學年,總計,1339849,666128,673721,89484,21456,68028,9786,4846,4940,416,308,108,36837,10047,26790,999809,511735,488074,172968,96694,76274,30549,21042,9507
103學年,教育,38704,13051,25653,-,-,-,-,-,-,-,-,-,78,7,71,21465,7241,14224,14406,4450,9956,2755,1353,1402
103學年,人文及藝術,209157,68463,140694,12105,3336,8769,266,162,104,28,14,14,3322,853,2469,168335,54870,113465,21926,7662,14264,3175,1566,1609
103學年,社會科學、商業及法律,326361,134747,191614,6604,1670,4934,2071,1069,1002,51,30,21,6736,2531,4205,254843,101416,153427,51044,24935,26109,5012,3096,1916
103學年,科學,127162,84625,42537,3355,1984,1371,752,415,337,-,-,-,1585,893,692,100371,67123,33248,16609,10925,5684,4490,3285,1205
103學年,工程、製造及營造,283167,240941,42226,4807,4423,384,909,824,85,92,87,5,3150,2645,505,214627,183223,31404,49297,40750,8547,10285,8989,1296
103學年,農學,27659,13654,14005,241,113,128,195,111,84,-,-,-,1,1,-,22405,10779,11626,3910,2075,1835,907,575,332
103學年,醫藥衛生及社福,155873,39758,116115,47178,5677,41501,2574,911,1663,68,33,35,17688,1684,16004,75797,26745,49052,8941,2726,6215,3627,1982,1645
103學年,服務,170297,70156,100141,15194,4253,10941,3019,1354,1665,177,144,33,4277,1433,2844,140657,59657,81000,6698,3130,3568,275,185,90
103學年,其他,1469,733,736,-,-,-,-,-,-,-,-,-,-,-,-,1309,681,628,137,41,96,23,11,12
102學年,總計,1345973,673876,672097,90398,21900,68498,11261,5528,5733,440,335,105,38583,10954,27629,996511,512871,483640,177305,100398,76907,31475,21890,9585
102學年,教育,38704,13165,25539,-,-,-,-,-,-,-,-,-,47,5,42,21339,7215,14124,14684,4653,10031,2634,1292,1342
102學年,人文及藝術,206684,66811,139873,12251,3203,9048,284,166,118,27,14,13,3495,876,2619,165103,53048,112055,22338,7940,14398,3186,1564,1622
102學年,社會科學、商業及法律,329393,135817,193576,7224,1860,5364,2258,1174,1084,83,47,36,7330,2842,4488,256002,101577,154425,51544,25278,26266,4952,3039,1913
102學年,科學,132409,88124,44285,4069,2427,1642,962,483,479,-,-,-,1789,1068,721,103592,69186,34406,17242,11476,5766,4755,3484,1271
102學年,工程、製造及營造,290798,248483,42315,5314,4859,455,1128,1031,97,137,123,14,3514,2970,544,218240,187025,31215,51383,42745,8638,11082,9730,1352
102學年,農學,27991,13868,14123,208,95,113,175,101,74,-,-,-,-,-,-,22609,10902,11707,4057,2160,1897,942,610,332
102學年,醫藥衛生及社福,154628,38821,115807,46892,5526,41366,2450,752,1698,69,41,28,17937,1538,16399,74431,26140,48291,9195,2828,6367,3654,1996,1658
102學年,服務,163774,67967,95807,14440,3930,10510,4004,1821,2183,124,110,14,4471,1655,2816,133760,57012,76748,6720,3272,3448,255,167,88
102學年,其他,1592,820,772,-,-,-,-,-,-,-,-,-,-,-,-,1435,766,669,142,46,96,15,8,7
101學年,總計,1355290,683446,671844,89060,21701,67359,12364,6088,6276,409,272,137,42179,12391,29788,995453,515852,479601,183094,104219,78875,32731,22923,9808
101學年,教育,39682,13727,25955,-,-,-,-,-,-,-,-,-,69,4,65,21487,7299,14188,15471,5115,10356,2655,1309,1346
101學年,人文及藝術,202999,64248,138751,11935,2930,9005,368,204,164,42,16,26,3890,912,2978,160196,50417,109779,23382,8194,15188,3186,1575,1611
101學年,社會科學、商業及法律,334219,137975,196244,7499,1984,5515,2073,1083,990,122,69,53,7774,2980,4794,259478,103072,156406,52304,25738,26566,4969,3049,1920
101學年,科學,138001,91653,46348,4605,2728,1877,1173,628,545,-,-,-,2480,1532,948,106354,70919,35435,18310,12151,6159,5079,3695,1384
101學年,工程、製造及營造,301021,258009,43012,5744,5252,492,1645,1435,210,105,86,19,4354,3673,681,223885,192512,31373,53362,44557,8805,11926,10494,1432
101學年,農學,28325,14125,14200,165,69,96,175,91,84,-,-,-,4,4,-,22808,11128,11680,4167,2205,1962,1006,628,378
101學年,醫藥衛生及社福,154532,38220,116312,46068,5171,40897,2853,799,2054,47,29,18,18803,1437,17366,73905,25962,47943,9193,2812,6381,3663,2010,1653
101學年,服務,154801,64676,90125,13044,3567,9477,4077,1848,2229,93,72,21,4805,1849,2956,125793,53785,72008,6758,3399,3359,231,156,75
101學年,其他,1710,813,897,-,-,-,-,-,-,-,-,-,-,-,-,1547,758,789,147,48,99,16,7,9
100學年,總計,1352084,683367,668717,88070,21650,66420,13230,6377,6853,472,296,176,45575,14411,31164,986938,512749,474189,184113,104188,79925,33686,23696,9990
100學年,教育,40693,14191,26502,-,-,-,-,-,-,-,-,-,84,1,83,21701,7571,14130,16239,5315,10924,2669,1304,1365
100學年,人文及藝術,198189,61183,137006,11736,2600,9136,449,212,237,91,36,55,4352,1097,3255,154746,47619,107127,23694,8122,15572,3121,1497,1624
100學年,社會科學、商業及法律,336055,137386,198669,7743,1979,5764,2067,1059,1008,119,66,53,8358,3179,5179,260677,102402,158275,52034,25594,26440,5057,3107,1950
100學年,科學,140715,92327,48388,5169,3046,2123,1307,779,528,16,16,-,3200,1955,1245,106966,70332,36634,18786,12354,6432,5271,3845,1426
100學年,工程、製造及營造,310950,267369,43581,6442,5858,584,1860,1630,230,114,95,19,5627,4902,725,230942,199176,31766,53271,44501,8770,12694,11207,1487
100學年,農學,28338,14216,14122,139,58,81,182,101,81,-,-,-,45,27,18,22803,11305,11498,4148,2091,2057,1021,634,387
100學年,醫藥衛生及社福,153773,37336,116437,45802,4995,40807,3066,760,2306,47,27,20,18876,1249,17627,73144,25526,47618,9219,2833,6386,3619,1946,1673
100學年,服務,141779,58535,83244,11039,3114,7925,4299,1836,2463,85,56,29,5033,2001,3032,114532,48055,66477,6574,3326,3248,217,147,70
100學年,其他,1592,824,768,-,-,-,-,-,-,-,-,-,-,-,-,1427,763,664,148,52,96,17,9,8
99學年,總計,1343603,681054,662549,86971,21975,64996,15818,7580,8238,423,262,161,50669,17346,33323,970544,504699,465845,185000,104894,80106,34178,24298,9880
99學年,教育,41135,14858,26277,-,-,-,-,-,-,-,-,-,1,-,1,21184,7873,13311,17410,5731,11679,2540,1254,1286
99學年,人文及藝術,192123,57741,134382,11860,2371,9489,731,321,410,79,31,48,4992,1343,3649,147723,44112,103611,23645,8081,15564,3093,1482,1611
99學年,社會科學、商業及法律,337372,137201,200171,8046,2060,5986,2695,1329,1366,114,63,51,9836,3590,6246,259636,101226,158410,51954,25807,26147,5091,3126,1965
99學年,科學,140686,91894,48792,5243,2913,2330,1528,950,578,38,35,3,3760,2386,1374,106302,69490,36812,18447,12174,6273,5368,3946,1422
99學年,工程、製造及營造,318605,275127,43478,7634,6983,651,2207,1948,259,99,81,18,7429,6627,802,234927,203127,31800,53079,44632,8447,13230,11729,1501
99學年,農學,27728,13853,13875,105,50,55,194,118,76,-,-,-,134,75,59,22035,10879,11156,4192,2055,2137,1068,676,392
99學年,醫藥衛生及社福,155225,37267,117958,45056,4960,40096,3273,746,2527,29,13,16,19222,1217,18005,74782,25565,49217,9332,2849,6483,3531,1917,1614
99學年,服務,128688,52129,76559,9027,2638,6389,5190,2168,3022,64,39,25,5295,2108,3187,102075,41506,60569,6798,3512,3286,239,158,81
99學年,其他,2041,984,1057,-,-,-,-,-,-,-,-,-,-,-,-,1880,921,959,143,53,90,18,10,8
98學年,總計,1336659,680038,656621,85614,22302,63312,22941,11490,11451,-,-,-,62860,23788,39072,948092,493233,454859,183401,105084,78317,33751,24141,9610
98學年,教育,41936,15248,26688,-,-,-,-,-,-,-,-,-,5,3,2,21636,8001,13635,17817,6026,11791,2478,1218,1260
98學年,人文及藝術,187703,55738,131965,11888,2135,9753,1293,612,681,-,-,-,6089,1599,4490,141294,41767,99527,24104,8184,15920,3035,1441,1594
98學年,社會科學、商業及法律,339149,137444,201705,8468,2137,6331,4136,1950,2186,-,-,-,13303,4699,8604,257283,99644,157639,50947,25927,25020,5012,3087,1925
98學年,科學,141447,91995,49452,5457,3092,2365,2620,1602,1018,-,-,-,4832,3176,1656,104743,68000,36743,18445,12237,6208,5350,3888,1462
98學年,工程、製造及營造,323649,280431,43218,8571,7854,717,3700,3320,380,-,-,-,11628,10416,1212,233877,202410,31467,52503,44529,7974,13370,11902,1468
98學年,農學,27513,13900,13613,86,52,34,246,140,106,-,-,-,322,161,161,21655,10795,10860,4160,2075,2085,1044,677,367
98學年,醫藥衛生及社福,155471,36812,118659,44119,4872,39247,4130,924,3206,-,-,-,20511,1315,19196,74401,25131,49270,9075,2799,6276,3235,1771,1464
98學年,服務,117535,47350,70185,7025,2160,4865,6816,2942,3874,-,-,-,6170,2419,3751,91104,36431,54673,6206,3247,2959,214,151,63
98學年,其他,2256,1120,1136,-,-,-,-,-,-,-,-,-,-,-,-,2099,1054,1045,144,60,84,13,6,7
97學年,總計,1337455,683114,654341,84787,23124,61663,32866,17451,15415,-,-,-,83443,34718,48725,922659,478620,444039,180809,105470,75339,32891,23731,9160
97學年,教育,43179,15763,27416,-,-,-,-,-,-,-,-,-,113,12,101,22431,8196,14235,18373,6429,11944,2262,1126,1136
97學年,人文及藝術,181884,53695,128189,12280,2119,10161,2009,952,1057,-,-,-,7733,2068,5665,133947,39320,94627,23042,7887,15155,2873,1349,1524
97學年,社會科學、商業及法律,345576,138901,206675,9301,2311,6990,6352,2919,3433,-,-,-,19912,6839,13073,254921,97529,157392,50088,26227,23861,5002,3076,1926
97學年,科學,142053,91931,50122,5829,3304,2525,3883,2528,1355,-,-,-,7317,4747,2570,101771,65531,36240,18095,12079,6016,5158,3742,1416
97學年,工程、製造及營造,332207,288963,43244,9917,9114,803,6945,6306,639,-,-,-,18561,16577,1984,231251,200313,30938,52255,44754,7501,13278,11899,1379
97學年,農學,26802,13594,13208,124,72,52,338,204,134,-,-,-,650,305,345,20629,10243,10386,4005,2073,1932,1056,697,359
97學年,醫藥衛生及社福,155400,35887,119513,42093,4546,37547,5390,965,4425,-,-,-,22214,1522,20692,73844,24416,49428,8834,2767,6067,3025,1671,1354
97學年,服務,108005,43313,64692,5243,1658,3585,7949,3577,4372,-,-,-,6943,2648,4295,81657,32061,49596,5985,3203,2782,228,166,62
97學年,其他,2349,1067,1282,-,-,-,-,-,-,-,-,-,-,-,-,2208,1011,1197,132,51,81,9,5,4
""
