學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立6年級小計,國立6年級男,國立6年級女,國立7年級小計,國立7年級男,國立7年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級小計,直轄市立4年級男,直轄市立4年級女,直轄市立5年級小計,直轄市立5年級男,直轄市立5年級女,直轄市立6年級小計,直轄市立6年級男,直轄市立6年級女,直轄市立7年級小計,直轄市立7年級男,直轄市立7年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立4年級小計,私立4年級男,私立4年級女,私立5年級小計,私立5年級男,私立5年級女,私立6年級小計,私立6年級男,私立6年級女,私立7年級小計,私立7年級男,私立7年級女,私立延修生小計,私立延修生男,私立延修生女
106學年,總計,1273894,629040,644854,313439,159309,154130,305876,154470,151406,293510,140578,152932,273470,128499,144971,27120,9605,17515,6038,3723,2315,4953,3320,1633,49488,29536,19952,430554,235115,195439,117964,65830,52134,113178,63114,50064,91794,48652,43142,80886,41653,39233,7067,3553,3514,3261,2103,1158,3173,2154,1019,13231,8056,5175,7675,3168,4507,2042,828,1214,1930,802,1128,1677,677,1000,1435,580,855,130,40,90,102,39,63,46,17,29,313,185,128,835665,390757,444908,193433,92651,100782,190768,90554,100214,200039,91249,108790,191149,86266,104883,19923,6012,13911,2675,1581,1094,1734,1149,585,35944,21295,14649
106學年,五專,84777,20469,64308,16218,3769,12449,17830,4554,13276,17773,4559,13214,15174,3387,11787,15664,3474,12190,-,-,-,-,-,-,2118,726,1392,8781,2205,6576,1710,442,1268,1719,436,1283,1817,468,1349,1719,430,1289,1665,366,1299,-,-,-,-,-,-,151,63,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75996,18264,57732,14508,3327,11181,16111,4118,11993,15956,4091,11865,13455,2957,10498,13999,3108,10891,-,-,-,-,-,-,1967,663,1304
106學年,二專,6061,3216,2845,2789,1494,1295,2889,1511,1378,72,44,28,33,22,11,-,-,-,-,-,-,-,-,-,278,145,133,1047,554,493,413,254,159,562,273,289,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,70,25,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5014,2662,2352,2376,1240,1136,2327,1238,1089,70,42,28,33,22,11,-,-,-,-,-,-,-,-,-,208,120,88
106學年,學士班,985927,494187,491740,223176,114211,108965,221854,112297,109557,245405,119335,126070,240075,115389,124686,5202,2277,2925,1771,1110,661,1352,903,449,47092,28665,18427,284990,153615,131375,67772,37233,30539,66596,36385,30211,68797,36289,32508,66867,34674,32193,1165,539,626,441,302,139,342,225,117,13010,7968,5042,5276,2385,2891,1290,580,710,1254,574,680,1253,548,705,1166,498,668,-,-,-,-,-,-,-,-,-,313,185,128,695661,338187,357474,154114,76398,77716,154004,75338,78666,175355,82498,92857,172042,80217,91825,4037,1738,2299,1330,808,522,1010,678,332,33769,20512,13257
106學年,碩士班,168783,92210,76573,65943,36321,29622,58379,32783,25596,25799,13701,12098,14221,7045,7176,2951,1635,1316,1402,707,695,88,18,70,-,-,-,113890,63890,50000,44007,25183,18824,40506,23409,17097,17760,9604,8156,9269,4487,4782,1655,900,755,610,291,319,83,16,67,-,-,-,2171,685,1486,721,230,491,644,210,434,388,117,271,235,66,169,105,29,76,78,33,45,-,-,-,-,-,-,52722,27635,25087,21215,10908,10307,17229,9164,8065,7651,3980,3671,4717,2492,2225,1191,706,485,714,383,331,5,2,3,-,-,-
106學年,博士班,28346,18958,9388,5313,3514,1799,4924,3325,1599,4461,2939,1522,3967,2656,1311,3303,2219,1084,2865,1906,959,3513,2399,1114,-,-,-,21846,14851,6995,4062,2718,1344,3795,2611,1184,3418,2289,1129,3031,2062,969,2582,1748,834,2210,1510,700,2748,1913,835,-,-,-,228,98,130,31,18,13,32,18,14,36,12,24,34,16,18,25,11,14,24,6,18,46,17,29,-,-,-,6272,4009,2263,1220,778,442,1097,696,401,1007,638,369,902,578,324,696,460,236,631,390,241,719,469,250,-,-,-
105學年,總計,1309441,646866,662575,329008,167145,161863,321814,162446,159368,295735,141354,154381,275413,129762,145651,28401,10084,18317,6258,3906,2352,4741,3192,1549,48071,28977,19094,430049,235024,195025,118374,66369,52005,113174,63028,50146,91282,48012,43270,80718,41665,39053,7344,3835,3509,3537,2245,1292,2977,2061,916,12643,7809,4834,7631,3165,4466,2059,859,1200,1986,793,1193,1608,646,962,1407,577,830,125,43,82,96,38,58,55,25,30,295,184,111,871761,408677,463084,208575,99917,108658,206654,98625,108029,202845,92696,110149,193288,87520,105768,20932,6206,14726,2625,1623,1002,1709,1106,603,35133,20984,14149
105學年,五專,88425,21859,66566,18335,4733,13602,18438,4844,13594,16427,3847,12580,16720,3933,12787,16525,3829,12696,-,-,-,-,-,-,1980,673,1307,9043,2288,6755,1762,453,1309,1853,487,1366,1867,483,1384,1722,382,1340,1681,418,1263,-,-,-,-,-,-,158,65,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79382,19571,59811,16573,4280,12293,16585,4357,12228,14560,3364,11196,14998,3551,11447,14844,3411,11433,-,-,-,-,-,-,1822,608,1214
105學年,二專,7259,3754,3505,3648,1971,1677,3161,1520,1641,59,40,19,27,15,12,-,-,-,-,-,-,-,-,-,364,208,156,1296,575,721,626,299,327,566,227,339,7,4,3,-,-,-,-,-,-,-,-,-,-,-,-,97,45,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5963,3179,2784,3022,1672,1350,2595,1293,1302,52,36,16,27,15,12,-,-,-,-,-,-,-,-,-,267,163,104
105學年,學士班,1015398,508206,507192,235412,119870,115542,236398,119685,116713,249142,120673,128469,240229,115712,124517,5547,2284,3263,1771,1144,627,1172,742,430,45727,28096,17631,284139,152852,131287,67943,37374,30569,66695,36441,30254,68532,35743,32789,66651,34582,32069,1289,591,698,446,293,153,195,129,66,12388,7699,4689,5193,2347,2846,1309,600,709,1256,556,700,1203,527,676,1130,480,650,-,-,-,-,-,-,-,-,-,295,184,111,726066,353007,373059,166160,81896,84264,168447,82688,85759,179407,84403,95004,172448,80650,91798,4258,1693,2565,1325,851,474,977,613,364,33044,20213,12831
