學年別,年齡別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,五專計小計,五專計男,五專計女,五專1年級小計,五專1年級男,五專1年級女,五專2年級小計,五專2年級男,五專2年級女,五專3年級小計,五專3年級男,五專3年級女,五專4年級小計,五專4年級男,五專4年級女,五專5年級小計,五專5年級男,五專5年級女,五專6年級小計,五專6年級男,五專6年級女,五專7年級小計,五專7年級男,五專7年級女,五專延修生小計,五專延修生男,五專延修生女,二專計小計,二專計男,二專計女,二專1年級小計,二專1年級男,二專1年級女,二專2年級小計,二專2年級男,二專2年級女,二專3年級小計,二專3年級男,二專3年級女,二專4年級小計,二專4年級男,二專4年級女,二專5年級小計,二專5年級男,二專5年級女,二專6年級小計,二專6年級男,二專6年級女,二專7年級小計,二專7年級男,二專7年級女,二專延修生小計,二專延修生男,二專延修生女,學士班計小計,學士班計男,學士班計女,學士班1年級小計,學士班1年級男,學士班1年級女,學士班2年級小計,學士班2年級男,學士班2年級女,學士班3年級小計,學士班3年級男,學士班3年級女,學士班4年級小計,學士班4年級男,學士班4年級女,學士班5年級小計,學士班5年級男,學士班5年級女,學士班6年級小計,學士班6年級男,學士班6年級女,學士班7年級小計,學士班7年級男,學士班7年級女,學士班延修生小計,學士班延修生男,學士班延修生女,碩士班計小計,碩士班計男,碩士班計女,碩士班1年級小計,碩士班1年級男,碩士班1年級女,碩士班2年級小計,碩士班2年級男,碩士班2年級女,碩士班3年級小計,碩士班3年級男,碩士班3年級女,碩士班4年級小計,碩士班4年級男,碩士班4年級女,碩士班5年級小計,碩士班5年級男,碩士班5年級女,碩士班6年級小計,碩士班6年級男,碩士班6年級女,碩士班7年級小計,碩士班7年級男,碩士班7年級女,碩士班延修生小計,碩士班延修生男,碩士班延修生女,博士班計小計,博士班計男,博士班計女,博士班1年級小計,博士班1年級男,博士班1年級女,博士班2年級小計,博士班2年級男,博士班2年級女,博士班3年級小計,博士班3年級男,博士班3年級女,博士班4年級小計,博士班4年級男,博士班4年級女,博士班5年級小計,博士班5年級男,博士班5年級女,博士班6年級小計,博士班6年級男,博士班6年級女,博士班7年級小計,博士班7年級男,博士班7年級女,博士班延修生小計,博士班延修生男,博士班延修生女
106學年,總計,1273894,629040,644854,330216,163884,166332,321738,158673,163065,279124,136632,142492,257907,124408,133499,62563,31767,30796,16520,9923,6597,5632,3619,2013,194,134,60,84777,20469,64308,16218,3769,12449,17830,4554,13276,17773,4559,13214,15174,3387,11787,15664,3474,12190,1756,616,1140,349,105,244,13,5,8,6061,3216,2845,2789,1494,1295,2889,1511,1378,294,156,138,76,46,30,13,9,4,-,-,-,-,-,-,-,-,-,985927,494187,491740,239953,118786,121167,237716,116500,121216,230797,115277,115520,224469,111274,113195,40632,24430,16202,10497,6694,3803,1682,1097,585,181,129,52,168783,92210,76573,65943,36321,29622,58379,32783,25596,25799,13701,12098,14221,7045,7176,2951,1635,1316,1402,707,695,88,18,70,-,-,-,28346,18958,9388,5313,3514,1799,4924,3325,1599,4461,2939,1522,3967,2656,1311,3303,2219,1084,2865,1906,959,3513,2399,1114,-,-,-
106學年,未滿16歲,14085,3106,10979,14077,3103,10974,8,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14085,3106,10979,14077,3103,10974,8,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,16至未滿17歲,17235,4311,12924,1863,523,1340,15356,3785,11571,16,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17207,4303,12904,1835,515,1320,15356,3785,11571,16,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,8,20,28,8,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,17至未滿18歲,19122,5169,13953,1203,570,633,2227,668,1559,15677,3926,11751,15,5,10,-,-,-,-,-,-,-,-,-,-,-,-,18094,4692,13402,191,100,91,2211,661,1550,15677,3926,11751,15,5,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1027,476,551,1011,469,542,16,7,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,18至未滿19歲,183519,88082,95437,167316,84225,83091,1042,466,576,1872,526,1346,13282,2863,10419,7,2,5,-,-,-,-,-,-,-,-,-,15314,3461,11853,45,23,22,145,59,86,1840,516,1324,13277,2861,10416,7,2,5,-,-,-,-,-,-,-,-,-,452,261,191,451,260,191,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167752,84360,83392,166820,83942,82878,895,406,489,32,10,22,5,2,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,19至未滿20歲,209234,100443,108791,33641,17587,16054,159190,78921,80269,1221,564,657,1690,441,1249,13489,2930,10559,3,-,3,-,-,-,-,-,-,15372,3463,11909,28,11,17,35,15,20,162,76,86,1655,431,1224,13489,2930,10559,3,-,3,-,-,-,-,-,-,918,492,426,310,176,134,608,316,292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,192940,96486,96454,33299,17398,15901,158547,78590,79957,1059,488,571,35,10,25,-,-,-,-,-,-,-,-,-,-,-,-,4,2,2,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,20至未滿21歲,232992,113214,119778,16565,6697,9868,41862,21838,20024,169603,83024,86579,1546,664,882,1966,466,1500,1450,525,925,-,-,-,-,-,-,3650,1091,2559,14,7,7,17,11,6,51,22,29,162,66,96,1956,460,1496,1450,525,925,-,-,-,-,-,-,591,319,272,174,107,67,350,187,163,67,25,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,228722,111791,116931,16348,6570,9778,41495,21640,19855,169485,82977,86508,1384,598,786,10,6,4,-,-,-,-,-,-,-,-,-,29,13,16,29,13,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,21至未滿22歲,229205,111018,118187,5679,2747,2932,17286,7017,10269,37779,19869,17910,167528,81055,86473,421,183,238,246,72,174,266,75,191,-,-,-,732,233,499,7,2,5,11,5,6,15,8,7,36,13,23,153,59,94,244,71,173,266,75,191,-,-,-,367,216,151,126,80,46,183,106,77,51,26,25,7,4,3,-,-,-,-,-,-,-,-,-,-,-,-,227787,110431,117356,5246,2533,2713,17073,6900,10173,37713,19835,17878,167485,81038,86447,268,124,144,2,1,1,-,-,-,-,-,-,314,134,180,295,128,167,19,6,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,1,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,22至未滿23歲,100335,55089,45246,23886,14102,9784,5564,2674,2890,10327,5480,4847,36192,18736,17456,24144,13994,10150,152,74,78,62,27,35,8,2,6,185,73,112,7,2,5,3,-,3,4,4,-,13,7,6,41,18,23,50,16,34,59,24,35,8,2,6,253,153,100,94,61,33,121,71,50,28,14,14,10,7,3,-,-,-,-,-,-,-,-,-,-,-,-,78347,41921,36426,2557,1261,1296,5124,2442,2682,10289,5459,4830,36169,18722,17447,24103,13976,10127,102,58,44,3,3,-,-,-,-,21483,12893,8590,21162,12729,8433,315,161,154,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,49,18,66,49,17,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,23至未滿24歲,60625,36123,24502,11590,6902,4688,22132,13428,8704,3569,2038,1531,8916,4972,3944,9447,5849,3598,4919,2915,2004,47,16,31,5,3,2,44,15,29,4,1,3,2,-,2,1,1,-,3,1,2,7,2,5,7,3,4,15,4,11,5,3,2,189,123,66,89,56,33,77,52,25,13,11,2,7,4,3,3,-,3,-,-,-,-,-,-,-,-,-,30757,17714,13043,1711,865,846,2342,1152,1190,3421,1961,1460,8902,4965,3937,9437,5847,3590,4912,2912,2000,32,12,20,-,-,-,29371,18069,11302,9593,5838,3755,19642,12166,7476,132,63,69,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,264,202,62,193,142,51,69,58,11,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
