學年別,洲別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
106學年,總計,875,568,307,327,229,98,10,8,2,538,331,207,114,102,12,70,66,4,5,4,1,39,32,7,69,53,16,28,22,6,-,-,-,41,31,10,169,124,45,82,58,24,2,2,-,85,64,21,523,289,234,147,83,64,3,2,1,373,204,169,-,-,-,-,-,-,-,-,-,-,-,-
106學年,亞洲,482,245,237,161,82,79,4,3,1,317,160,157,34,30,4,16,15,1,2,2,-,16,13,3,29,20,9,11,8,3,-,-,-,18,12,6,81,45,36,34,15,19,-,-,-,47,30,17,338,150,188,100,44,56,2,1,1,236,105,131,-,-,-,-,-,-,-,-,-,-,-,-
106學年,大洋洲,18,18,-,7,7,-,-,-,-,11,11,-,5,5,-,3,3,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,-,3,3,-,-,-,-,6,6,-,4,4,-,1,1,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,非洲,9,8,1,1,1,-,-,-,-,8,7,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,2,2,-,1,1,-,-,-,-,1,1,-,6,5,1,-,-,-,-,-,-,6,5,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,歐洲,159,123,36,57,51,6,2,2,-,100,70,30,24,23,1,15,15,-,1,1,-,8,7,1,16,13,3,4,4,-,-,-,-,12,9,3,28,25,3,19,16,3,1,1,-,8,8,-,91,62,29,19,16,3,-,-,-,72,46,26,-,-,-,-,-,-,-,-,-,-,-,-
106學年,美洲,207,174,33,101,88,13,4,3,1,102,83,19,51,44,7,36,33,3,2,1,1,13,10,3,23,19,4,13,10,3,-,-,-,10,9,1,49,43,6,25,23,2,1,1,-,23,19,4,84,68,16,27,22,5,1,1,-,56,45,11,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,846,581,265,322,234,88,8,7,1,516,340,176,115,102,13,75,69,6,3,3,-,37,30,7,53,46,7,26,23,3,-,-,-,27,23,4,139,97,42,73,47,26,2,2,-,64,48,16,463,279,184,127,75,52,3,2,1,333,202,131,76,57,19,21,20,1,-,-,-,55,37,18
105學年,亞洲,441,249,192,159,92,67,4,3,1,278,154,124,40,36,4,23,21,2,2,2,-,15,13,2,19,17,2,10,9,1,-,-,-,9,8,1,63,35,28,35,16,19,-,-,-,28,19,9,280,136,144,81,37,44,2,1,1,197,98,99,39,25,14,10,9,1,-,-,-,29,16,13
105學年,大洋洲,14,13,1,3,3,-,-,-,-,11,10,1,2,2,-,1,1,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,4,4,-,1,1,-,-,-,-,3,3,-,5,4,1,1,1,-,-,-,-,4,3,1,2,2,-,-,-,-,-,-,-,2,2,-
105學年,非洲,6,4,2,1,1,-,-,-,-,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,4,2,2,1,1,-,-,-,-,3,1,2,1,1,-,-,-,-,-,-,-,1,1,-
105學年,歐洲,164,128,36,56,49,7,2,2,-,106,77,29,19,17,2,12,11,1,1,1,-,6,5,1,18,16,2,8,8,-,-,-,-,10,8,2,25,18,7,13,10,3,1,1,-,11,7,4,90,69,21,21,18,3,-,-,-,69,51,18,12,8,4,2,2,-,-,-,-,10,6,4
105學年,美洲,221,187,34,103,89,14,2,2,-,116,96,20,54,47,7,39,36,3,-,-,-,15,11,4,15,12,3,8,6,2,-,-,-,7,6,1,46,39,7,24,20,4,1,1,-,21,18,3,84,68,16,23,18,5,1,1,-,60,49,11,22,21,1,9,9,-,-,-,-,13,12,1
104學年,總計,797,556,241,316,232,84,5,5,-,476,319,157,108,97,11,77,73,4,1,1,-,30,23,7,56,46,10,29,24,5,-,-,-,27,22,5,137,99,38,58,40,18,2,2,-,77,57,20,436,269,167,130,77,53,2,2,-,304,190,114,60,45,15,22,18,4,-,-,-,38,27,11
104學年,亞洲,390,223,167,144,83,61,1,1,-,245,139,106,26,23,3,17,15,2,-,-,-,9,8,1,18,14,4,11,9,2,-,-,-,7,5,2,61,35,26,26,12,14,-,-,-,35,23,12,255,130,125,76,35,41,1,1,-,178,94,84,30,21,9,14,12,2,-,-,-,16,9,7
104學年,大洋洲,17,14,3,4,3,1,-,-,-,13,11,2,3,2,1,1,-,1,-,-,-,2,2,-,1,1,-,1,1,-,-,-,-,-,-,-,7,6,1,1,1,-,-,-,-,6,5,1,4,3,1,-,-,-,-,-,-,4,3,1,2,2,-,1,1,-,-,-,-,1,1,-
104學年,非洲,5,5,-,1,1,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,2,2,-
104學年,歐洲,170,128,42,61,51,10,2,2,-,107,75,32,25,23,2,14,14,-,1,1,-,10,8,2,17,13,4,5,4,1,-,-,-,12,9,3,25,20,5,13,11,2,1,1,-,11,8,3,91,64,27,27,20,7,-,-,-,64,44,20,12,8,4,2,2,-,-,-,-,10,6,4
104學年,美洲,215,186,29,106,94,12,2,2,-,107,90,17,54,49,5,45,44,1,-,-,-,9,5,4,20,18,2,12,10,2,-,-,-,8,8,-,42,36,6,17,15,2,1,1,-,24,20,4,85,71,14,27,22,5,1,1,-,57,48,9,14,12,2,5,3,2,-,-,-,9,9,-
103學年,總計,773,535,238,306,222,84,6,5,1,461,308,153,100,87,13,67,60,7,1,1,-,32,26,6,54,41,13,29,22,7,-,-,-,25,19,6,127,92,35,57,38,19,2,2,-,68,52,16,432,273,159,137,90,47,3,2,1,292,181,111,60,42,18,16,12,4,-,-,-,44,30,14
103學年,亞洲,396,227,169,151,90,61,2,1,1,243,136,107,29,26,3,19,17,2,-,-,-,10,9,1,18,12,6,11,7,4,-,-,-,7,5,2,57,33,24,26,11,15,-,-,-,31,22,9,260,135,125,85,47,38,2,1,1,173,87,86,32,21,11,10,8,2,-,-,-,22,13,9
103學年,大洋洲,17,14,3,4,2,2,-,-,-,13,12,1,4,2,2,2,-,2,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,1,1,-,-,-,-,5,5,-,5,4,1,-,-,-,-,-,-,5,4,1,2,2,-,1,1,-,-,-,-,1,1,-
103學年,非洲,6,6,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,3,3,-,-,-,-,-,-,-,3,3,-,2,2,-,-,-,-,-,-,-,2,2,-
