學年別,洲別,總計,教育學門,藝術學門,人文學門,設計學門,社會及行為科學學門,傳播學門,商業及管理學門,法律學門,生命科學學門,自然科學學門,數學及統計學門,電算機學門,工程學門,建築及都市規劃學門,農業科學學門,獸醫學門,醫藥衛生學門,社會服務學門,民生學門,運輸服務學門,環境保護學門,軍警國防安全學門,其他學門
105學年,總計,846,8,43,393,14,29,6,52,13,9,11,2,5,28,10,3,-,41,-,38,1,-,-,140
105學年,亞洲,441,1,24,216,8,14,2,26,5,5,2,1,2,13,6,1,-,22,-,21,-,-,-,72
105學年,大洋洲,14,1,-,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,7
105學年,非洲,6,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
105學年,歐洲,164,3,4,94,2,10,-,6,3,-,2,-,-,5,1,-,-,3,-,12,-,-,-,19
105學年,美洲,221,3,15,80,2,3,4,19,5,4,7,1,3,10,3,2,-,16,-,4,1,-,-,39
104學年,總計,797,19,42,381,14,24,6,46,11,12,15,2,3,21,11,4,-,40,-,38,1,-,-,107
104學年,亞洲,390,7,18,199,8,7,2,19,2,6,3,-,1,11,5,1,-,23,-,25,1,-,-,52
104學年,大洋洲,17,2,-,4,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,3,-,-,-,5
104學年,非洲,5,-,-,1,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1
104學年,歐洲,170,5,11,96,3,11,2,8,4,-,1,-,-,2,2,1,-,2,-,7,-,-,-,15
104學年,美洲,215,5,13,81,3,4,2,17,5,6,11,1,1,8,4,2,-,15,-,3,-,-,-,34
103學年,總計,773,30,42,381,9,14,5,25,5,12,12,2,4,22,10,2,-,41,-,48,-,-,-,109
103學年,亞洲,396,16,20,203,4,2,2,12,-,6,1,1,1,11,6,-,-,23,-,32,-,-,-,56
103學年,大洋洲,17,3,-,3,1,-,-,-,1,-,-,-,2,-,-,-,-,-,-,2,-,-,-,5
103學年,非洲,6,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
103學年,歐洲,146,3,10,84,2,7,2,5,-,-,2,-,-,2,2,1,-,3,-,9,-,-,-,14
103學年,美洲,208,8,12,89,2,4,1,8,4,6,9,1,1,9,2,1,-,15,-,5,-,-,-,31
102學年,總計,796,44,49,351,8,16,6,46,2,11,20,2,2,45,12,3,1,34,5,43,1,-,-,95
102學年,亞洲,403,30,19,191,5,5,1,15,-,4,3,1,-,24,8,-,1,18,1,26,1,-,-,50
102學年,大洋洲,17,2,-,4,-,-,-,-,1,-,-,-,1,-,-,1,-,2,-,3,-,-,-,3
102學年,非洲,8,-,-,4,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
102學年,歐洲,144,3,19,69,1,10,1,5,-,-,5,-,-,6,3,1,-,1,1,6,-,-,-,13
102學年,美洲,224,9,11,83,2,1,4,25,1,7,12,1,1,15,1,1,-,13,3,8,-,-,-,26
101學年,總計,769,21,42,368,9,19,7,42,10,12,10,3,5,36,16,4,1,33,3,32,-,-,-,96
101學年,亞洲,394,12,21,215,5,6,1,12,3,3,2,2,1,19,10,-,1,16,2,18,-,-,-,45
101學年,大洋洲,21,1,-,6,-,1,-,1,1,-,-,1,1,-,-,1,-,1,-,3,-,-,-,4
101學年,非洲,7,-,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
101學年,歐洲,138,4,11,71,2,9,-,7,3,-,2,-,1,5,2,2,-,2,-,3,-,-,-,14
101學年,美洲,209,4,10,73,2,3,6,21,3,9,6,-,2,12,4,1,-,14,1,8,-,-,-,30
100學年,總計,769,13,48,365,9,17,4,43,11,18,13,6,5,36,8,-,1,58,4,27,-,-,-,83
100學年,亞洲,356,6,23,196,3,4,1,14,1,2,1,2,2,17,6,-,1,19,2,15,-,-,-,41
100學年,大洋洲,18,1,-,5,-,-,-,2,1,-,-,1,1,-,-,-,-,1,-,2,-,-,-,4
100學年,非洲,5,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
100學年,歐洲,141,4,11,67,4,10,-,9,5,1,-,-,1,3,2,-,-,4,-,6,-,-,-,14
100學年,美洲,249,2,14,95,2,3,3,18,4,15,12,3,1,16,-,-,-,34,2,4,-,-,-,21
99學年,總計,667,13,40,312,3,16,4,35,10,15,6,6,12,41,8,1,1,41,4,21,-,-,-,78
99學年,亞洲,285,3,21,156,1,1,1,10,1,2,3,2,2,14,3,-,1,14,1,15,-,-,-,34
99學年,大洋洲,13,1,-,2,-,-,-,2,1,1,-,-,1,-,-,1,-,1,-,1,-,-,-,2
99學年,非洲,4,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
99學年,歐洲,135,5,11,74,1,12,-,6,2,1,-,-,1,4,1,-,-,3,-,4,-,-,-,10
99學年,美洲,230,4,8,78,1,3,3,17,6,11,3,4,8,23,4,-,-,23,3,1,-,-,-,30
98學年,總計,734,8,37,318,13,26,5,38,8,20,19,6,13,54,12,1,1,37,6,22,-,-,-,90
98學年,亞洲,296,2,17,152,5,2,2,7,2,3,5,2,2,14,5,-,1,14,2,14,-,-,-,45
98學年,大洋洲,18,1,-,3,-,-,-,3,-,-,-,-,1,1,-,1,-,2,-,1,-,-,-,5
98學年,非洲,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,歐洲,139,3,11,68,6,16,-,8,2,1,-,-,1,5,2,-,-,2,-,4,-,-,-,10
98學年,美洲,277,2,9,91,2,8,3,20,4,16,14,4,9,34,5,-,-,19,4,3,-,-,-,30
97學年,總計,684,8,38,328,5,15,3,61,9,12,15,8,5,49,9,1,1,20,3,23,3,-,-,68
97學年,亞洲,263,2,15,153,2,3,1,10,1,2,4,2,3,13,4,-,1,7,1,15,-,-,-,24
97學年,大洋洲,14,-,-,4,-,-,-,2,1,-,1,-,1,1,-,-,-,2,-,-,-,-,-,2
97學年,非洲,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,歐洲,141,3,13,72,3,8,-,13,2,1,2,-,1,5,2,-,-,1,-,6,-,-,-,9
97學年,美洲,264,3,10,97,-,4,2,36,5,9,8,6,-,30,3,1,-,10,2,2,3,-,-,33
""
