學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
106學年,總計,875,568,307,327,229,98,10,8,2,538,331,207,114,102,12,70,66,4,5,4,1,39,32,7,69,53,16,28,22,6,-,-,-,41,31,10,169,124,45,82,58,24,2,2,-,85,64,21,523,289,234,147,83,64,3,2,1,373,204,169,-,-,-,-,-,-,-,-,-,-,-,-
106學年,專科學校,12,6,6,-,-,-,-,-,-,12,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,11,6,5,-,-,-,-,-,-,11,6,5,-,-,-,-,-,-,-,-,-,-,-,-
106學年,獨立學院,10,6,4,2,1,1,-,-,-,8,5,3,1,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,3,1,2,1,1,-,-,-,-,2,-,2,5,3,2,1,-,1,-,-,-,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,大學,853,556,297,325,228,97,10,8,2,518,320,198,113,101,12,70,66,4,5,4,1,38,31,7,68,52,16,28,22,6,-,-,-,40,30,10,165,123,42,81,57,24,2,2,-,82,64,18,507,280,227,146,83,63,3,2,1,358,195,163,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,846,581,265,322,234,88,8,7,1,516,340,176,115,102,13,75,69,6,3,3,-,37,30,7,53,46,7,26,23,3,-,-,-,27,23,4,139,97,42,73,47,26,2,2,-,64,48,16,463,279,184,127,75,52,3,2,1,333,202,131,76,57,19,21,20,1,-,-,-,55,37,18
105學年,專科學校,13,6,7,-,-,-,-,-,-,13,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,11,5,6,-,-,-,-,-,-,11,5,6,1,1,-,-,-,-,-,-,-,1,1,-
105學年,獨立學院,18,11,7,1,1,-,-,-,-,17,10,7,2,1,1,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,1,1,-,-,-,-,3,2,1,10,6,4,-,-,-,-,-,-,10,6,4,2,1,1,-,-,-,-,-,-,2,1,1
105學年,大學,815,564,251,321,233,88,8,7,1,486,324,162,113,101,12,75,69,6,3,3,-,35,29,6,53,46,7,26,23,3,-,-,-,27,23,4,134,94,40,72,46,26,2,2,-,60,46,14,442,268,174,127,75,52,3,2,1,312,191,121,73,55,18,21,20,1,-,-,-,52,35,17
104學年,總計,797,556,241,316,232,84,5,5,-,476,319,157,108,97,11,77,73,4,1,1,-,30,23,7,56,46,10,29,24,5,-,-,-,27,22,5,137,99,38,58,40,18,2,2,-,77,57,20,436,269,167,130,77,53,2,2,-,304,190,114,60,45,15,22,18,4,-,-,-,38,27,11
104學年,專科學校,14,7,7,-,-,-,-,-,-,14,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,2,1,1,10,4,6,-,-,-,-,-,-,10,4,6,2,2,-,-,-,-,-,-,-,2,2,-
