學年別,洲別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
106學年,總計,1058,846,212,448,371,77,3,3,-,607,472,135,183,163,20,115,105,10,-,-,-,68,58,10,239,193,46,125,102,23,-,-,-,114,91,23,381,294,87,149,123,26,-,-,-,232,171,61,255,196,59,59,41,18,3,3,-,193,152,41,-,-,-,-,-,-,-,-,-,-,-,-
106學年,亞洲,423,294,129,180,135,45,1,1,-,242,158,84,66,59,7,40,37,3,-,-,-,26,22,4,107,80,27,49,38,11,-,-,-,58,42,16,185,125,60,77,56,21,-,-,-,108,69,39,65,30,35,14,4,10,1,1,-,50,25,25,-,-,-,-,-,-,-,-,-,-,-,-
106學年,大洋洲,36,30,6,14,14,-,-,-,-,22,16,6,8,7,1,6,6,-,-,-,-,2,1,1,7,6,1,3,3,-,-,-,-,4,3,1,15,11,4,4,4,-,-,-,-,11,7,4,6,6,-,1,1,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,非洲,12,11,1,2,2,-,-,-,-,10,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,3,3,-,9,8,1,2,2,-,-,-,-,7,6,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,歐洲,245,206,39,107,93,14,-,-,-,138,113,25,40,34,6,28,24,4,-,-,-,12,10,2,66,55,11,34,29,5,-,-,-,32,26,6,95,80,15,36,33,3,-,-,-,59,47,12,44,37,7,9,7,2,-,-,-,35,30,5,-,-,-,-,-,-,-,-,-,-,-,-
106學年,美洲,342,305,37,145,127,18,2,2,-,195,176,19,69,63,6,41,38,3,-,-,-,28,25,3,59,52,7,39,32,7,-,-,-,20,20,-,83,75,8,32,30,2,-,-,-,51,45,6,131,115,16,33,27,6,2,2,-,96,86,10,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,1060,848,212,448,367,81,3,3,-,609,478,131,150,134,16,96,89,7,-,-,-,54,45,9,223,178,45,116,92,24,-,-,-,107,86,21,325,249,76,121,102,19,-,-,-,204,147,57,168,127,41,36,21,15,3,3,-,129,103,26,194,160,34,79,63,16,-,-,-,115,97,18
105學年,亞洲,419,293,126,178,133,45,1,1,-,240,159,81,53,45,8,35,31,4,-,-,-,18,14,4,102,78,24,50,40,10,-,-,-,52,38,14,162,107,55,57,41,16,-,-,-,105,66,39,40,18,22,11,3,8,1,1,-,28,14,14,62,45,17,25,18,7,-,-,-,37,27,10
105學年,大洋洲,35,28,7,14,13,1,-,-,-,21,15,6,6,6,-,6,6,-,-,-,-,-,-,-,4,2,2,1,1,-,-,-,-,3,1,2,13,9,4,3,3,-,-,-,-,10,6,4,2,2,-,-,-,-,-,-,-,2,2,-,10,9,1,4,3,1,-,-,-,6,6,-
105學年,非洲,12,10,2,3,2,1,-,-,-,9,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,3,3,-,6,5,1,2,2,-,-,-,-,4,3,1,3,2,1,1,-,1,-,-,-,2,2,-
105學年,歐洲,239,202,37,100,87,13,-,-,-,139,115,24,33,30,3,21,20,1,-,-,-,12,10,2,51,40,11,24,18,6,-,-,-,27,22,5,84,74,10,37,35,2,-,-,-,47,39,8,25,18,7,3,1,2,-,-,-,22,17,5,46,40,6,15,13,2,-,-,-,31,27,4
105學年,美洲,355,315,40,153,132,21,2,2,-,200,181,19,58,53,5,34,32,2,-,-,-,24,21,3,66,58,8,41,33,8,-,-,-,25,25,-,63,56,7,24,23,1,-,-,-,39,33,6,95,84,11,20,15,5,2,2,-,73,67,6,73,64,9,34,29,5,-,-,-,39,35,4
104學年,總計,1078,860,218,451,366,85,2,2,-,625,492,133,143,129,14,89,81,8,-,-,-,54,48,6,225,182,43,120,97,23,-,-,-,105,85,20,337,259,78,127,109,18,-,-,-,210,150,60,179,136,43,33,19,14,2,2,-,144,115,29,194,154,40,82,60,22,-,-,-,112,94,18
104學年,亞洲,417,289,128,175,131,44,1,1,-,241,157,84,51,44,7,31,27,4,-,-,-,20,17,3,97,75,22,51,42,9,-,-,-,46,33,13,157,105,52,56,43,13,-,-,-,101,62,39,44,21,23,9,3,6,1,1,-,34,17,17,68,44,24,28,16,12,-,-,-,40,28,12
104學年,大洋洲,33,26,7,13,12,1,-,-,-,20,14,6,6,6,-,6,6,-,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,3,2,1,12,7,5,3,3,-,-,-,-,9,4,5,3,3,-,-,-,-,-,-,-,3,3,-,9,8,1,4,3,1,-,-,-,5,5,-
104學年,非洲,11,9,2,3,2,1,-,-,-,8,7,1,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,5,4,1,1,1,-,-,-,-,4,3,1,3,2,1,1,-,1,-,-,-,2,2,-
104學年,歐洲,239,201,38,99,84,15,-,-,-,140,117,23,30,28,2,19,18,1,-,-,-,11,10,1,50,39,11,24,18,6,-,-,-,26,21,5,88,76,12,38,35,3,-,-,-,50,41,9,31,23,8,4,1,3,-,-,-,27,22,5,40,35,5,14,12,2,-,-,-,26,23,3
104學年,美洲,378,335,43,161,137,24,1,1,-,216,197,19,55,50,5,32,29,3,-,-,-,23,21,2,75,66,9,45,37,8,-,-,-,30,29,1,78,69,9,30,28,2,-,-,-,48,41,7,96,85,11,19,14,5,1,1,-,76,70,6,74,65,9,35,29,6,-,-,-,39,36,3
103學年,總計,1092,878,214,444,360,84,3,3,-,645,515,130,143,128,15,90,81,9,-,-,-,53,47,6,222,184,38,113,94,19,-,-,-,109,90,19,336,259,77,120,97,23,-,-,-,216,162,54,201,154,47,34,21,13,3,3,-,164,130,34,190,153,37,87,67,20,-,-,-,103,86,17
103學年,亞洲,409,285,124,160,121,39,1,1,-,248,163,85,47,39,8,27,22,5,-,-,-,20,17,3,93,73,20,47,38,9,-,-,-,46,35,11,159,108,51,50,37,13,-,-,-,109,71,38,51,24,27,9,3,6,1,1,-,41,20,21,59,41,18,27,21,6,-,-,-,32,20,12
103學年,大洋洲,30,27,3,12,12,-,-,-,-,18,15,3,5,5,-,5,5,-,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,3,2,1,9,7,2,3,3,-,-,-,-,6,4,2,4,4,-,-,-,-,-,-,-,4,4,-,9,9,-,4,4,-,-,-,-,5,5,-
103學年,非洲,11,9,2,3,2,1,-,-,-,8,7,1,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,5,4,1,1,1,-,-,-,-,4,3,1,3,2,1,1,-,1,-,-,-,2,2,-
103學年,歐洲,243,208,35,101,86,15,-,-,-,142,122,20,34,32,2,22,21,1,-,-,-,12,11,1,53,44,9,24,21,3,-,-,-,29,23,6,83,68,15,37,30,7,-,-,-,46,38,8,34,28,6,4,2,2,-,-,-,30,26,4,39,36,3,14,12,2,-,-,-,25,24,1
103學年,美洲,399,349,50,168,139,29,2,2,-,229,208,21,56,51,5,35,32,3,-,-,-,21,19,2,73,65,8,42,35,7,-,-,-,31,30,1,83,74,9,30,27,3,-,-,-,53,47,6,107,94,13,20,15,5,2,2,-,85,77,8,80,65,15,41,30,11,-,-,-,39,35,4
102學年,總計,1105,880,225,426,347,79,9,8,1,670,525,145,138,117,21,88,78,10,-,-,-,50,39,11,207,178,29,96,81,15,-,-,-,111,97,14,349,262,87,123,99,24,-,-,-,226,163,63,224,168,56,37,24,13,2,2,-,185,142,43,187,155,32,82,65,17,7,6,1,98,84,14
102學年,亞洲,414,295,119,157,121,36,7,6,1,250,168,82,47,38,9,27,22,5,-,-,-,20,16,4,82,71,11,40,35,5,-,-,-,42,36,6,170,109,61,54,38,16,-,-,-,116,71,45,57,31,26,11,6,5,-,-,-,46,25,21,58,46,12,25,20,5,7,6,1,26,20,6
102學年,大洋洲,31,27,4,10,10,-,-,-,-,21,17,4,5,5,-,5,5,-,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,3,2,1,11,8,3,2,2,-,-,-,-,9,6,3,4,4,-,-,-,-,-,-,-,4,4,-,8,8,-,3,3,-,-,-,-,5,5,-
102學年,非洲,10,9,1,2,2,-,-,-,-,8,7,1,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,5,4,1,1,1,-,-,-,-,4,3,1,2,2,-,-,-,-,-,-,-,2,2,-
102學年,歐洲,232,194,38,90,77,13,-,-,-,142,117,25,25,23,2,17,16,1,-,-,-,8,7,1,51,43,8,21,18,3,-,-,-,30,25,5,80,64,16,33,28,5,-,-,-,47,36,11,39,31,8,5,3,2,-,-,-,34,28,6,37,33,4,14,12,2,-,-,-,23,21,2
102學年,美洲,418,355,63,167,137,30,2,2,-,249,216,33,60,50,10,38,34,4,-,-,-,22,16,6,70,61,9,35,28,7,-,-,-,35,33,2,87,80,7,34,31,3,-,-,-,53,49,4,119,98,21,20,14,6,2,2,-,97,82,15,82,66,16,40,30,10,-,-,-,42,36,6
