學年別,洲別,總計,教育學門,藝術學門,人文學門,設計學門,社會及行為科學學門,傳播學門,商業及管理學門,法律學門,生命科學學門,自然科學學門,數學及統計學門,電算機學門,工程學門,建築及都市規劃學門,農業科學學門,獸醫學門,醫藥衛生學門,社會服務學門,民生學門,運輸服務學門,環境保護學門,軍警國防安全學門,其他學門
105學年,總計,1060,9,37,481,13,49,5,71,5,26,62,12,3,78,10,8,-,26,4,27,1,2,-,131
105學年,亞洲,419,5,13,198,5,19,2,25,1,9,35,5,3,37,4,6,-,15,1,15,-,1,-,20
105學年,大洋洲,35,1,2,15,1,2,-,3,-,1,1,1,-,1,-,-,-,1,-,3,-,-,-,3
105學年,非洲,12,-,-,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
105學年,歐洲,239,-,14,108,5,16,3,12,3,8,11,2,-,20,4,-,-,4,-,5,-,-,-,24
105學年,美洲,355,3,8,155,2,12,-,30,1,8,15,4,-,20,2,2,-,6,3,4,1,1,-,78
104學年,總計,1078,9,42,501,12,46,6,69,3,20,58,15,4,77,11,6,-,40,3,32,-,2,-,122
104學年,亞洲,417,6,15,200,4,20,2,27,-,6,30,6,3,34,5,4,-,18,1,17,-,1,-,18
104學年,大洋洲,33,1,2,13,1,2,-,3,-,1,1,1,-,1,-,-,-,-,-,3,-,-,-,4
104學年,非洲,11,-,-,5,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5
104學年,歐洲,239,-,14,112,6,15,2,13,3,8,12,2,-,18,3,-,-,4,-,5,-,-,-,22
104學年,美洲,378,2,11,171,1,9,2,26,-,5,15,5,1,24,3,2,-,18,2,7,-,1,-,73
103學年,總計,1092,6,42,522,12,43,5,61,4,22,57,13,4,76,10,7,-,37,4,29,-,1,-,137
103學年,亞洲,409,3,15,205,5,17,2,24,-,6,30,5,3,34,5,4,-,16,1,15,-,-,-,19
103學年,大洋洲,30,-,3,15,-,1,-,3,-,-,1,-,-,1,-,-,-,-,-,2,-,-,-,4
103學年,非洲,11,-,-,4,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6
103學年,歐洲,243,-,13,115,6,14,1,10,4,9,11,2,-,19,2,-,-,7,-,6,-,-,-,24
103學年,美洲,399,3,11,183,1,11,2,24,-,7,15,5,1,22,3,3,-,14,3,6,-,1,-,84
102學年,總計,1105,10,42,537,14,44,7,66,4,20,54,12,5,75,8,5,-,31,5,28,-,1,-,137
102學年,亞洲,414,4,14,212,6,16,2,25,-,7,28,5,3,35,4,3,-,18,2,10,-,-,-,20
102學年,大洋洲,31,-,3,15,-,1,-,3,-,-,1,-,-,1,-,-,-,-,-,3,-,-,-,4
102學年,非洲,10,-,-,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6
102學年,歐洲,232,1,12,113,7,14,1,11,4,6,10,2,-,16,1,-,-,5,-,7,-,-,-,22
102學年,美洲,418,5,13,194,1,13,4,27,-,7,15,4,2,23,3,2,-,8,3,8,-,1,-,85
101學年,總計,1102,8,42,553,12,45,5,65,3,15,53,14,6,83,9,4,1,30,3,27,1,-,-,123
101學年,亞洲,423,3,12,216,5,17,1,29,-,5,29,5,4,40,5,2,1,16,2,15,1,-,-,15
101學年,大洋洲,29,-,2,14,-,2,-,1,-,-,1,2,-,1,-,-,-,-,-,2,-,-,-,4
101學年,非洲,9,-,-,4,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4
101學年,歐洲,235,1,12,119,7,12,-,15,3,4,9,2,-,19,-,-,-,6,-,6,-,-,-,20
101學年,美洲,406,4,16,200,-,14,4,20,-,6,14,4,2,23,4,2,-,8,1,4,-,-,-,80
100學年,總計,1077,10,40,575,10,46,6,58,3,14,51,13,7,74,10,4,1,26,2,23,1,2,-,101
100學年,亞洲,407,4,13,215,4,17,1,25,-,4,26,5,4,35,6,2,1,13,2,15,1,1,-,13
100學年,大洋洲,28,-,2,15,-,1,1,1,-,-,1,1,-,-,-,-,-,-,-,3,-,-,-,3
100學年,非洲,11,-,-,5,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5
100學年,歐洲,221,1,10,124,5,13,1,10,3,5,6,1,-,16,1,-,-,5,-,3,-,-,-,17
100學年,美洲,410,5,15,216,1,15,3,22,-,5,18,5,3,23,3,2,-,8,-,2,-,1,-,63
99學年,總計,1071,14,39,578,12,40,6,57,4,17,40,12,9,74,9,4,1,28,2,19,1,-,-,105
99學年,亞洲,385,3,14,203,5,15,1,24,-,4,18,4,4,36,7,2,1,16,2,10,1,-,-,15
99學年,大洋洲,29,-,1,16,-,1,1,1,-,1,1,1,-,-,-,-,-,1,-,1,-,-,-,4
99學年,非洲,10,-,-,5,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4
99學年,歐洲,213,3,11,118,6,13,1,9,3,3,5,1,-,16,-,-,-,4,-,4,-,-,-,16
99學年,美洲,434,8,13,236,1,11,3,23,1,9,16,5,5,22,2,2,-,7,-,4,-,-,-,66
98學年,總計,1059,13,35,597,12,38,8,48,3,17,40,11,7,70,9,5,1,24,2,19,-,-,-,100
