學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
106學年,總計,1058,846,212,448,371,77,3,3,-,607,472,135,183,163,20,115,105,10,-,-,-,68,58,10,239,193,46,125,102,23,-,-,-,114,91,23,381,294,87,149,123,26,-,-,-,232,171,61,255,196,59,59,41,18,3,3,-,193,152,41,-,-,-,-,-,-,-,-,-,-,-,-
106學年,專科學校,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,-,-,-,-,-,-,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,獨立學院,12,11,1,-,-,-,-,-,-,12,11,1,1,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,4,4,-,-,-,-,-,-,-,4,4,-,6,5,1,-,-,-,-,-,-,6,5,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,大學,1041,831,210,448,371,77,3,3,-,590,457,133,182,162,20,115,105,10,-,-,-,67,57,10,237,191,46,125,102,23,-,-,-,112,89,23,377,290,87,149,123,26,-,-,-,228,167,61,245,188,57,59,41,18,3,3,-,183,144,39,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,1060,848,212,448,367,81,3,3,-,609,478,131,150,134,16,96,89,7,-,-,-,54,45,9,223,178,45,116,92,24,-,-,-,107,86,21,325,249,76,121,102,19,-,-,-,204,147,57,168,127,41,36,21,15,3,3,-,129,103,26,194,160,34,79,63,16,-,-,-,115,97,18
105學年,專科學校,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,3,2,1,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-
105學年,獨立學院,9,7,2,-,-,-,-,-,-,9,7,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,-,-,-,-,-,-,4,3,1,3,2,1,-,-,-,-,-,-,3,2,1
105學年,大學,1046,837,209,448,367,81,3,3,-,595,467,128,150,134,16,96,89,7,-,-,-,54,45,9,220,175,45,116,92,24,-,-,-,104,83,21,324,248,76,121,102,19,-,-,-,203,146,57,161,122,39,36,21,15,3,3,-,122,98,24,191,158,33,79,63,16,-,-,-,112,95,17
104學年,總計,1078,860,218,451,366,85,2,2,-,625,492,133,143,129,14,89,81,8,-,-,-,54,48,6,225,182,43,120,97,23,-,-,-,105,85,20,337,259,78,127,109,18,-,-,-,210,150,60,179,136,43,33,19,14,2,2,-,144,115,29,194,154,40,82,60,22,-,-,-,112,94,18
104學年,專科學校,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,4,3,1,-,-,-,-,-,-,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,獨立學院,8,6,2,-,-,-,-,-,-,8,6,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,2,-,-,-,-,-,-,6,4,2,-,-,-,-,-,-,-,-,-,-,-,-
104學年,大學,1065,850,215,451,366,85,2,2,-,612,482,130,143,129,14,89,81,8,-,-,-,54,48,6,223,180,43,120,97,23,-,-,-,103,83,20,336,258,78,127,109,18,-,-,-,209,149,60,169,129,40,33,19,14,2,2,-,134,108,26,194,154,40,82,60,22,-,-,-,112,94,18
103學年,總計,1092,878,214,444,360,84,3,3,-,645,515,130,143,128,15,90,81,9,-,-,-,53,47,6,222,184,38,113,94,19,-,-,-,109,90,19,336,259,77,120,97,23,-,-,-,216,162,54,201,154,47,34,21,13,3,3,-,164,130,34,190,153,37,87,67,20,-,-,-,103,86,17
103學年,專科學校,6,5,1,-,-,-,-,-,-,6,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,獨立學院,23,19,4,-,-,-,-,-,-,23,19,4,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,7,5,2,-,-,-,-,-,-,7,5,2,13,11,2,-,-,-,-,-,-,13,11,2,1,1,-,-,-,-,-,-,-,1,1,-
103學年,大學,1063,854,209,444,360,84,3,3,-,616,491,125,143,128,15,90,81,9,-,-,-,53,47,6,220,182,38,113,94,19,-,-,-,107,88,19,328,253,75,120,97,23,-,-,-,208,156,52,183,139,44,34,21,13,3,3,-,146,115,31,189,152,37,87,67,20,-,-,-,102,85,17
102學年,總計,1105,880,225,426,347,79,9,8,1,670,525,145,138,117,21,88,78,10,-,-,-,50,39,11,207,178,29,96,81,15,-,-,-,111,97,14,349,262,87,123,99,24,-,-,-,226,163,63,224,168,56,37,24,13,2,2,-,185,142,43,187,155,32,82,65,17,7,6,1,98,84,14
102學年,專科學校,6,5,1,-,-,-,-,-,-,6,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-
